year,avait_VERB armé_VERB,avait_VERB charmé_VERB
1800,1.2576657582030748e-07,5.0306631749208464e-08
1801,1.571580554582397e-07,2.3811825400343878e-08
1802,1.5217312920867698e-07,2.6854081625060644e-08
1803,1.677291692203653e-07,3.1205427575287104e-08
1804,5.19088700912107e-08,4.2021465418429216e-08
1805,1.904728037516179e-07,3.4114531644036106e-08
1806,1.2103009794373065e-07,4.610670600868616e-08
1807,1.6512339584551228e-07,1.1387820464392462e-08
1808,1.6768947830314573e-07,3.852325747288887e-08
1809,1.603911670144953e-07,7.454800510231507e-08
1810,3.978215445954447e-08,9.360507036149102e-09
1811,2.983421438784717e-07,5.515568801683912e-08
1812,1.7870294755084615e-07,6.13457871168066e-08
1813,2.386865673997818e-07,1.0640243885973177e-07
1814,2.3285410577500443e-07,2.8320094713762956e-08
1815,3.020890346761007e-07,3.506390555685357e-08
1816,1.9931393069327896e-07,5.3304887615013286e-08
1817,1.8682480629195197e-07,4.3592454090912724e-08
1818,1.871624846216946e-07,3.9339884239097955e-08
1819,2.908645058141701e-07,4.45095160728215e-08
1820,2.444495237341471e-07,6.051905643289501e-08
1821,2.6626017302078253e-07,4.141825016290568e-08
1822,3.3084532446991943e-07,7.318699601910339e-08
1823,2.9450407623698993e-07,7.115534828017189e-08
1824,2.896862838497327e-07,6.82110155025839e-08
1825,3.240403145809978e-07,8.629334047327575e-08
1826,3.1268345423995925e-07,5.725189922145546e-08
1827,3.6592572882909735e-07,4.977327350275118e-08
1828,3.751471240320825e-07,5.870272801189458e-08
1829,3.7464778301909973e-07,1.1059397309054475e-07
1830,2.682266710962722e-07,8.662573947049168e-08
1831,1.8397622625343502e-07,4.2096257146795324e-08
1832,1.97537559643024e-07,8.253281436054749e-08
1833,2.5252310820178536e-07,5.6759780875381693e-08
1834,2.6323377255721425e-07,5.974099792638299e-08
1835,2.0571599179675104e-07,6.277362984974388e-08
1836,2.50011908065062e-07,6.38471249203576e-08
1837,2.7135774871567264e-07,6.053365098068753e-08
1838,2.8467849233493325e-07,8.521418237705802e-08
1839,2.265237952769894e-07,6.012668762878093e-08
1840,3.3823047829173447e-07,7.771020449354182e-08
1841,1.95184668427828e-07,5.8426991245141835e-08
1842,2.414975313058676e-07,5.433694738599115e-08
1843,2.7998757445857336e-07,6.852016554148577e-08
1844,3.1120143262342026e-07,9.056125804818294e-08
1845,2.5613246634748066e-07,1.4229581779545697e-07
1846,2.8160150122857885e-07,7.903576459966644e-08
1847,2.7505441835273814e-07,1.2781940483819199e-07
1848,1.9067175571763073e-07,6.114368744647436e-08
1849,2.2289243872819497e-07,4.524883934209356e-08
1850,2.790277449093992e-07,1.0047713772110001e-07
1851,2.1218653500909568e-07,1.2834382800974709e-07
1852,2.0768639785728737e-07,1.0286661478176029e-07
1853,2.627650133035786e-07,8.539862506040663e-08
1854,2.2705053481786308e-07,7.58567040293201e-08
1855,2.2023789369995939e-07,9.97704177052583e-08
1856,1.9103828208244522e-07,9.836659842221707e-08
1857,1.737817285629717e-07,8.981976407085313e-08
1858,2.5740735054569086e-07,8.417122643322728e-08
1859,2.2609249583638302e-07,1.1711998837427018e-07
1860,2.535759904276347e-07,1.2816114747238316e-07
1861,1.7071788249722886e-07,9.384768162590262e-08
1862,1.9879139756540098e-07,1.581295236974256e-07
1863,2.0328106131728418e-07,9.040263648785185e-08
1864,1.8603545015594136e-07,9.925086885687051e-08
1865,2.2216305239908252e-07,9.084209295906476e-08
1866,1.9997669653548655e-07,8.563478814949121e-08
1867,2.0867089745024714e-07,8.395363693125546e-08
1868,2.2723421011505707e-07,8.150792041305976e-08
1869,1.8117856370736263e-07,1.1085588624837328e-07
1870,2.293619445481454e-07,1.0263947558541986e-07
1871,1.890569620854876e-07,6.585129597169725e-08
1872,1.9049119259761937e-07,1.1248051379197932e-07
1873,1.8496753284580336e-07,7.003625057677709e-08
1874,1.887976424086446e-07,6.990292433783907e-08
1875,2.0597497041308088e-07,9.783811094621342e-08
1876,1.5356877725025697e-07,1.0036384878731042e-07
1877,1.805966292067751e-07,7.8547159887421e-08
1878,1.3648340768668277e-07,9.964496427983249e-08
1879,1.6739551256250707e-07,8.797428563411813e-08
1880,1.83550397991894e-07,1.0974517294926045e-07
1881,1.6106491784739774e-07,7.878933416805012e-08
1882,1.3710094037833187e-07,8.91821585469188e-08
1883,1.0932456717682726e-07,9.03665480223026e-08
1884,1.5381954199256143e-07,9.506443632290029e-08
1885,1.1795513188417317e-07,9.410628365458251e-08
1886,1.490750207722158e-07,6.066255764380912e-08
1887,8.74875922818319e-08,1.0185122079064968e-07
1888,1.2110574232337967e-07,1.014498351992188e-07
1889,1.2342319166691595e-07,1.1527851739856487e-07
1890,1.1142456912693888e-07,7.275369284798217e-08
1891,1.434199532468483e-07,9.05139216911266e-08
1892,7.334159590755007e-08,9.778879217492431e-08
1893,1.3918021579684137e-07,8.683367269668452e-08
1894,1.2224985823650059e-07,7.939939195011902e-08
1895,1.0051086007933918e-07,7.643640742571733e-08
1896,1.3858017666734668e-07,6.427761434224522e-08
1897,1.0604618694287637e-07,7.050323347357335e-08
1898,8.883617397259513e-08,6.167606869666997e-08
1899,1.276870591482293e-07,7.241127519819202e-08
1900,9.447716564636721e-08,9.084342877940799e-08
1901,9.05375685533727e-08,1.0227392266415336e-07
1902,7.119911771269472e-08,7.954659508868644e-08
1903,7.236295118673297e-08,7.506306332061286e-08
1904,1.0211788037395308e-07,9.083116481178877e-08
1905,7.741138574601791e-08,6.967025001358707e-08
1906,8.539346652014501e-08,6.327346824264168e-08
1907,9.874258921627188e-08,6.839981381290272e-08
1908,7.367083298959187e-08,4.125566732682273e-08
1909,8.526524197804974e-08,6.436150812305641e-08
1910,7.000837598525322e-08,8.44375804831543e-08
1911,7.608134922065801e-08,5.3735778493546604e-08
1912,7.553660452686017e-08,7.397377999041055e-08
1913,9.015082724772583e-08,5.674198888527826e-08
1914,1.1116594578197692e-07,4.955590426902745e-08
1915,4.123266705846618e-08,4.2410743361642744e-08
1916,8.899844061716067e-08,3.4061130804730055e-08
1917,8.224818515145671e-08,6.579854527899442e-08
1918,7.810736235569493e-08,8.844509835626013e-08
1919,8.01082791213048e-08,6.813807829075813e-08
1920,1.0676846784463123e-07,4.770506123463747e-08
1921,6.891200143854803e-08,7.19411019645122e-08
1922,6.49258353746518e-08,7.082817887749115e-08
