year,auront_VERB assez_ADV,auront_VERB chassé_VERB
1800,9.432493186523061e-08,6.288328968651058e-09
1801,1.9049460320275102e-07,0.0
1802,7.161088433349505e-08,4.475680270843441e-09
1803,1.911332390136522e-07,0.0
1804,8.898663139689234e-08,2.4718509461507665e-09
1805,9.950071699904584e-08,3.695740957709859e-08
1806,1.2391177506287931e-07,2.881669125542885e-09
1807,1.0249038240317532e-07,5.124519120158766e-08
1808,6.798222074166915e-08,4.5321479902327155e-09
1809,2.710836710662079e-08,0.0
1810,8.190443878675069e-08,2.3401267590372754e-09
1811,7.019814773912003e-08,0.0
1812,1.226915742336132e-07,3.200649700829672e-08
1813,7.476928232108548e-08,0.0
1814,1.604805390797992e-07,3.1466771410748606e-09
1815,9.710004889029733e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,9.963989811012652e-08,7.784366928831332e-09
1818,6.795070817133819e-08,7.152706427149269e-09
1819,1.2524770909294602e-07,1.035105001712111e-09
1820,1.1154492085552192e-07,0.0
1821,7.691961201317099e-08,7.88919063410276e-09
1822,8.622029668003961e-08,6.015369535816717e-09
1823,5.5343047478118024e-08,1.9765373782121287e-09
1824,7.242157096243318e-08,0.0
1825,9.862095851076447e-08,4.0505039322624725e-08
1826,1.0569581121444571e-07,4.403992281964975e-09
1827,9.493790997794349e-08,2.488663675137559e-08
1828,7.704733206992387e-08,9.172301251858528e-10
1829,5.915491385621863e-08,3.8579290873030914e-08
1830,1.2106730196137505e-07,0.0
1831,9.042899762334855e-08,3.1182412207897414e-09
1832,1.1635773944362882e-07,1.2176972319366541e-08
1833,6.718504863556518e-08,2.3167257001688313e-09
1834,1.166816332442977e-07,1.0267983796552471e-08
1835,8.773182003096736e-08,1.2100940693926532e-08
1836,1.0081124912630912e-07,1.3441500135158435e-09
1837,7.931995327226105e-08,4.174734336004349e-09
1838,1.009945904684173e-07,6.312161904276081e-09
1839,9.927894950578775e-08,8.38977065598101e-09
1840,9.809320289377865e-08,3.1848443882154243e-09
1841,9.052973126699726e-08,1.2841097074556274e-08
1842,8.45241387992246e-08,8.720745015011744e-09
1843,8.860366307317236e-08,3.721353891705803e-08
1844,7.190015338665035e-08,2.0472333517318475e-07
1845,8.426144404438674e-08,2.3213748079342622e-07
1846,1.2470087540350505e-07,5.2690513285824636e-08
1847,8.089835290547853e-08,1.294373674909366e-07
1848,6.838438793010937e-08,2.091757700384278e-08
1849,9.720121596501485e-08,5.865590679832167e-09
1850,1.1066063621001376e-07,3.055048125588655e-08
1851,7.67483214758613e-08,3.0957306051959677e-08
1852,8.398603768000612e-08,3.906327350478023e-08
1853,1.1585547810000207e-07,2.329053394589664e-08
