year,profond_ADJ hommage_NOUN
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,3.3567602031325805e-08
1803,9.751696339321825e-09
1804,9.887403784603066e-09
1805,1.7057265822018053e-08
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,0.0
1810,1.8721014072298203e-08
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,2.6972236000233352e-08
1816,0.0
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,3.1053151161586356e-09
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,0.0
1826,0.0
1827,3.6869092223668076e-09
1828,5.503380862137419e-09
1829,1.714635211591542e-09
1830,0.0
1831,0.0
1832,2.705993873419743e-09
1833,0.0
1834,9.334530925997342e-10
1835,2.2689263801112247e-09
1836,6.72075017860152e-09
1837,0.0
1838,0.0
1839,0.0
1840,3.821813088222825e-09
1841,1.2841097074556274e-09
1842,6.708265054555795e-10
1843,8.269675610961258e-09
1844,9.330554107123135e-09
1845,1.2276501593078137e-08
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,7.24069959545659e-09
1849,3.3517659758786067e-09
1850,9.504594444820214e-09
1851,6.449438760824933e-09
1852,6.510545436100301e-10
1853,1.7915795513800958e-09
1854,5.195664343204953e-09
1855,5.837630823180007e-09
1856,9.318940286107136e-09
1857,4.881509085841174e-10
1858,5.872411001917044e-09
1859,1.5276520048956854e-09
1860,5.034902272882391e-09
1861,2.357981809808507e-09
1862,1.8071945051545413e-09
1863,2.9967726078439227e-09
1864,5.753673537611803e-09
1865,8.47231973466478e-09
1866,2.919367858567057e-09
1867,7.279217228983725e-09
1868,3.951899252285784e-09
1869,2.441759683335931e-09
1870,3.4404292748035914e-09
1871,9.559059321873065e-09
1872,8.4662747923403e-09
1873,8.979006871356887e-09
1874,2.9873046258899194e-09
1875,4.577221712764867e-09
1876,0.0
1877,2.4739263970730008e-09
1878,7.2469061862534545e-09
1879,6.720257683667796e-09
1880,0.0
1881,2.091752326904839e-09
1882,1.1314154946262533e-08
1883,3.791603475633565e-09
1884,2.6406787867472303e-09
1885,7.090199094506033e-09
1886,1.097088819790315e-08
1887,1.1099172247952538e-08
1888,8.876860135842435e-09
1889,8.14467782106476e-09
1890,1.0487018364813139e-08
1891,9.561330394092238e-09
1892,4.387958441043338e-09
1893,5.542574843531156e-09
1894,4.411077725308132e-09
1895,3.0093072478365457e-09
1896,1.2973464080801023e-08
1897,6.409385022720926e-09
1898,1.2448380992680086e-08
1899,1.6582735185011188e-09
1900,8.824790675987515e-09
1901,5.588738916095792e-10
1902,4.419255628107521e-09
1903,2.1600881083827517e-09
1904,3.7622376325430196e-09
1905,5.676835002077496e-09
1906,3.600929110447737e-09
1907,5.142843484406967e-09
1908,1.276961114626829e-08
1909,2.7504918342913243e-09
1910,9.085056262847502e-09
1911,2.128149656499545e-09
1912,4.167536982180309e-09
1913,7.954484182448596e-09
1914,3.3483718020477227e-09
1915,0.0
1916,1.7579939282086343e-08
1917,1.0966424213165737e-08
1918,1.722956355365568e-08
1919,1.3811772170413406e-08
1920,4.543339038320937e-09
1921,6.815472630705699e-09
1922,4.426761179843197e-09
1923,7.431163684401554e-09
1924,3.867487219366694e-09
1925,1.4297631523163545e-08
1926,7.802296586589819e-09
1927,5.574612327308159e-09
1928,1.2568645679778001e-08
1929,1.6710609784809094e-08
1930,8.402882833991043e-09
1931,1.2545892325022123e-08
1932,4.383814644626227e-09
1933,5.735331320977366e-09
1934,1.5576054224197833e-08
1935,1.555876849579363e-08
1936,3.6374143697059935e-09
1937,1.1332006444320086e-08
1938,3.8895642262559704e-09
1939,1.2235240376412548e-08
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,4.7683483828109274e-09
1948,1.0871888278529696e-08
1949,1.0798709482173763e-08
1950,9.571825110299415e-09
1951,5.330700769690111e-09
1952,5.272402070488624e-09
1953,3.232148326759443e-09
1954,8.795282724349818e-09
1955,3.754243138587299e-09
1956,1.0465369904011368e-08
1957,9.718541527092839e-09
1958,2.4816730892496253e-09
1959,6.975672928177801e-09
1960,1.3841666479663672e-08
1961,5.55852741612739e-09
1962,3.805173953708163e-09
1963,9.052474325699222e-09
1964,5.475571551727398e-09
1965,4.377634699181954e-09
1966,4.985167390003653e-09
1967,7.888536934785861e-09
1968,9.88111459321317e-09
1969,4.995933444718048e-09
1970,6.438214850135182e-09
1971,4.624557625731995e-09
