year,étaient_VERB au_ADP,etaient_VERB au_ADP
1800,2.1694734186894493e-06,9.432493897065797e-09
1801,2.033529881373397e-06,9.524730337773235e-09
1802,1.859645180957159e-06,4.475680270843441e-09
1803,1.7631066384637961e-06,5.851017448321727e-09
1804,2.75611387223762e-06,2.4718509461507665e-09
1805,1.5237824300129432e-06,5.685755422035754e-09
1806,2.0171682990621775e-06,2.881669125542885e-09
1807,2.7957098609476816e-06,2.562259560079383e-08
1808,1.7312805766778183e-06,9.064295980465431e-09
1809,2.1234886844467837e-06,6.7770917766551975e-09
1810,1.8721013930189656e-06,9.360507036149102e-09
1811,2.602345603008871e-06,7.521229861140455e-09
1812,2.4725020466576098e-06,5.3344164641089264e-09
1813,2.8124752589064883e-06,8.627225156487839e-09
1814,2.4481148557242705e-06,6.293354282149721e-09
1815,3.4389599932183046e-06,8.091670444798638e-09
1816,2.667562057467876e-06,4.6352077731626196e-09
1817,3.0390169740712736e-06,6.227493631882908e-09
1818,3.3045503187167924e-06,7.152706427149269e-09
1819,3.2046850719780196e-06,1.449147024601416e-08
1820,3.6691160403279355e-06,9.493184904840746e-09
1821,3.6517092212307034e-06,1.1833785507064931e-08
1822,3.895954250765499e-06,1.1028177482330648e-08
1823,3.928368187189335e-06,5.929612356680991e-09
1824,3.823185124929296e-06,3.3684450784221553e-09
1825,4.0434592847304884e-06,1.4969252504215547e-08
1826,4.03669901061221e-06,1.145037931138404e-08
1827,4.1560683712305035e-06,1.8434546111834038e-09
1828,4.0486538637196645e-06,1.1006761724274838e-08
1829,4.4186149352754e-06,1.3717081692732336e-08
1830,4.233180789015023e-06,1.0436835395921662e-08
1831,3.857264346152078e-06,1.7150327380477393e-08
1832,3.97104622607003e-06,1.488296597074168e-08
1833,4.524565156316385e-06,4.6334514003376626e-09
1834,4.264947165211197e-06,6.534171426153534e-09
1835,4.693652499554446e-06,7.563087933704082e-09
1836,4.4121725295553915e-06,1.1425274948351216e-08
1837,4.761284799315035e-06,6.957891152126194e-09
1838,4.91906757815741e-06,2.5248647617104325e-09
1839,4.674500360124512e-06,6.9914749545318955e-09
1840,5.05434809383587e-06,7.0066574764382494e-09
1841,4.245266609359533e-06,2.5682194149112547e-09
1842,4.996986717742402e-06,1.2745703159566801e-08
1843,4.280147550161928e-06,7.678984559333912e-09
1844,4.924886070512002e-06,8.232841963717874e-09
1845,4.824665211344836e-06,3.9061593959388574e-09
1846,4.671306669479236e-06,7.025401593807601e-09
1847,4.455881480680546e-06,1.4022381478184798e-08
1848,4.74507169201388e-06,1.126331028444838e-08
1849,4.828219061892014e-06,5.02764896381791e-09
1850,4.4013063416059595e-06,3.394498016007219e-09
1851,4.518476998782717e-06,9.674158363282004e-09
1852,4.175212779955473e-06,3.906327261660181e-09
1853,4.333233846409712e-06,9.555090940693844e-09
1854,3.9892311178846285e-06,4.676098175337984e-09
1855,4.282167537894566e-06,3.1841622671890946e-09
1856,4.1267376218456775e-06,2.5885946719483854e-09
1857,4.2073725126101635e-06,2.9289055625270066e-09
1858,4.4273087951296475e-06,9.787352039936081e-10
1859,4.499953774939058e-06,8.147477359443656e-09
1860,4.176222773821792e-06,7.323494255473406e-09
1861,4.23069104726892e-06,6.6023493339173456e-09
1862,4.236967470205855e-06,4.066187830886747e-09
1863,4.0910940697358456e-06,5.9935452156878455e-09
1864,3.9407868825946935e-06,4.315255264231155e-09
1865,4.070949671586277e-06,2.3534221238463715e-09
1866,4.2929304981953464e-06,3.4059290943133647e-09
1867,4.091890787094599e-06,3.396968040192405e-09
1868,4.14307260143687e-06,2.9639244392143382e-09
1869,4.11241126130335e-06,5.371870948067681e-09
1870,3.881951215589652e-06,5.160643912205387e-09
1871,3.78538766199199e-06,1.0621177271019633e-09
1872,4.21136701334035e-06,2.4189357183956872e-09
1873,4.1447096919000614e-06,3.591602570907071e-09
1874,4.081255610799417e-06,2.9873046258899194e-09
1875,3.979894245276228e-06,1.1443054281912168e-09
1876,3.81261702386837e-06,3.02300739996042e-09
1877,3.814176125160884e-06,2.4739263970730008e-09
1878,4.129528861085419e-06,1.2078177347163432e-09
1879,3.949067831854336e-06,1.832797580370027e-09
1880,3.460502739471849e-06,3.8507077526617195e-09
1881,3.898328941431828e-06,4.183504653809678e-09
1882,3.810207999777049e-06,8.652000893505374e-09
1883,3.6304602417658316e-06,3.159669414998234e-09
1884,3.974881565227406e-06,1.3203393933736152e-09
1885,3.7474926557479193e-06,3.86738152613475e-09
1886,3.839811142825056e-06,7.744156427236248e-09
1887,3.6026606267114403e-06,1.9586774424595887e-09
1888,3.5957625641458435e-06,1.9021844099853524e-09
1889,3.7960462577757426e-06,1.8795409673089125e-09
1890,3.5537882467906456e-06,1.3108772956016423e-09
1891,3.5026339446631027e-06,6.3742202627281586e-09
1892,3.6576768707163865e-06,1.8805537127519756e-09
1893,3.6032895422977163e-06,3.695050043717174e-09
1894,3.5465063774609007e-06,5.671385139294216e-09
1895,3.866960014420329e-06,0.0
1896,3.521116013871506e-06,3.5382172747233653e-09
1897,3.4936974770971574e-06,8.157399200570126e-09
1898,3.3757744404283585e-06,3.3950129374460403e-09
1899,3.62166929335217e-06,4.9748205555033564e-09
1900,3.5968807878816733e-06,4.15284251431558e-09
1901,3.4996683098142967e-06,5.58873880507349e-09
1902,2.8484555514296517e-06,1.4730852093691738e-09
1903,3.230411721233395e-06,7.020286574288548e-09
1904,3.3897761113621527e-06,3.7622376325430196e-09
1905,3.271921286795987e-06,3.096455536422127e-09
1906,3.265528448537225e-06,1.0288369045596824e-09
1907,3.146905783069087e-06,2.5714217422034835e-09
1908,3.2405343972641276e-06,4.4202499438483756e-09
1909,3.084401441810769e-06,1.6502950117569526e-09
1910,3.1557210604660213e-06,3.740905363258662e-09
1911,3.1523215966444695e-06,4.25629931299909e-09
1912,3.172016477037687e-06,5.2094213387476884e-09
1913,3.0428554964601062e-06,2.121195885607108e-09
1914,3.036303496628534e-06,2.678697486047099e-09
1915,3.3021476610883838e-06,2.3561523843085297e-09
1916,3.0347371193784056e-06,4.394984820521586e-09
1917,3.315150024718605e-06,2.1932848870420685e-09
1918,3.2460500278830295e-06,4.594550517822427e-09
1919,3.025699015779537e-06,3.6831393490643904e-09
1920,2.9478699161700206e-06,3.786115865267448e-09
1921,2.620170562295243e-06,7.572747762196741e-09
1922,2.785170636343537e-06,2.2133805899215986e-09
1923,2.840827619365882e-06,1.0615948120573648e-08
1924,2.858073230527225e-06,9.02413699321869e-09
1925,2.730847654675017e-06,0.0
1926,2.749752411546069e-06,0.0
1927,2.836362909874879e-06,2.2298449753321847e-09
1928,2.548007159930421e-06,3.4278122562625413e-09
1929,2.779531314445194e-06,0.0
1930,2.826519676091266e-06,0.0
1931,2.7384262466512155e-06,4.5621426636444085e-09
1932,2.7102933017886244e-06,4.383814644626227e-09
1933,2.677252496141591e-06,4.588264879146209e-09
1934,2.5844267383945407e-06,2.3963160344919743e-09
1935,2.4295616185554536e-06,4.787313656606784e-09
1936,2.4976911845442373e-06,2.424942913137329e-09
1937,2.6453940336068626e-06,1.0072894518486919e-08
1938,2.414122945992858e-06,2.5930428915188486e-09
1939,2.3048135062708752e-06,0.0
1940,2.6093205178767676e-06,2.5357829169792012e-09
1941,2.390717099842732e-06,8.854508237732261e-09
1942,2.3666852939641103e-06,6.068423541449874e-09
