year,doit_VERB armer_VERB,doit_VERB charmer_VERB
1800,4.4018303668735825e-08,0.0
1801,1.4287095950749062e-08,4.7623650800687756e-08
1802,1.1189200677108602e-08,3.8043282302169246e-08
1803,3.900678446910888e-09,1.950339223455444e-09
1804,1.730295728918918e-08,4.943701981119375e-08
1805,5.1171799242411e-08,4.8328921309348516e-08
1806,5.76333825108577e-09,6.051505163640059e-08
1807,3.701041606518629e-08,2.562259560079383e-08
1808,1.1330369531492579e-08,4.078933102391602e-08
1809,4.743964154840796e-08,2.0331274441787173e-08
1810,4.680253518074551e-09,4.680253518074551e-09
1811,1.7549536934780008e-08,1.2535384286138651e-08
1812,3.200649700829672e-08,1.0668832928217853e-08
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,0.0,3.776012391654149e-08
1815,1.8880564667256294e-08,8.091670444798638e-09
1816,3.0128852301913867e-08,2.3176038865813098e-08
1817,1.2454987263765815e-08,9.341240669868967e-09
1818,1.7881765401739358e-08,2.8610826152686286e-08
1819,2.6912729822470283e-08,1.6561680027393777e-08
1820,3.322614716694261e-08,4.153268307049984e-08
1821,2.1695274909916407e-08,4.832129363308013e-08
1822,1.0025615893027862e-08,1.9048670196752937e-08
1823,1.581229902569703e-08,3.06363294733103e-08
1824,3.705289586264371e-08,4.7158230209731755e-08
1825,3.522177216552791e-09,1.937197424695114e-08
1826,2.1139161532346407e-08,1.0569580766173203e-08
1827,3.3182182335167454e-08,2.1199728195142598e-08
1828,1.1923991571904935e-08,7.3378408349533686e-09
1829,1.0287811491593857e-08,5.143905745796928e-09
1830,1.6698937344017395e-08,1.982998831806526e-08
1831,1.5591206548037917e-08,2.9623292263636358e-08
1832,6.764984572527055e-09,2.3000948701223933e-08
1833,1.2741991461950875e-08,1.50587169400751e-08
1834,1.8669062740173104e-08,1.4935249481595747e-08
1835,2.3445572594482655e-08,1.739510224751939e-08
1836,8.064899859050456e-09,1.4785650037651976e-08
1837,9.74104708006962e-09,1.113262537710824e-08
1838,1.2624323808552163e-08,1.5780404760690203e-08
1839,2.307186797168015e-08,1.4682097426721441e-08
1840,2.5478755105723394e-08,2.6115722917552375e-08
1841,2.1829865914924085e-08,3.659712533021775e-08
1842,1.7441490030023488e-08,1.341653010911159e-08
1843,5.906910960362666e-09,7.678984559333912e-09
1844,1.5367971784030487e-08,1.97588213013411e-08
1845,2.3436957263811564e-08,8.928364714222425e-09
1846,2.2832555401919308e-08,1.8148954783470117e-08
1847,3.9909856752728956e-08,5.3932236454556914e-09
1848,2.172209789819135e-08,8.84974404868899e-09
1849,1.9272654583346593e-08,3.1841775438579134e-08
1850,5.431196825611551e-09,1.5614691761811628e-08
1851,1.1608989325395669e-08,3.8696632564949596e-09
1852,7.812654523320361e-09,9.765818376195057e-09
1853,1.4332636411040767e-08,2.209614846648833e-08
1854,5.195664343204953e-09,5.195664343204953e-09
1855,6.8990182455763716e-09,1.4859423913549108e-08
1856,7.765783571755946e-09,2.7439103433835044e-08
1857,3.4170564155999728e-09,8.298565390418844e-09
1858,8.31924928945682e-09,1.5659764096565e-08
1859,1.629495471888731e-08,1.2730433596175317e-08
1860,1.876645328025006e-08,2.5174511364411956e-08
1861,4.6688040100661965e-08,1.6034276129062164e-08
1862,2.755971628687348e-08,3.027050965442868e-08
1863,9.989241434027463e-09,9.989241434027463e-09
1864,3.835782358407869e-09,2.0617330065419992e-08
1865,7.0602665935837194e-09,8.47231973466478e-09
1866,2.0435575009969398e-08,2.919367858567057e-09
1867,1.94112459439566e-08,1.3102591012170706e-08
1868,1.4819621974027086e-08,1.1855697756857353e-08
1869,1.2208797528501236e-08,2.4417595057002472e-08
1870,8.601073631098188e-09,1.6628741050794815e-08
1871,8.496941816815706e-09,4.248470908407853e-09
1872,1.3908880269752899e-08,3.628403577593531e-09
1873,1.3767810003173508e-08,2.993002112816612e-08
1874,2.3898436563030145e-09,1.3741600746186577e-08
1875,1.602027666081085e-08,5.149374260327022e-09
1876,3.627608879952504e-09,6.04601479992084e-09
1877,1.0514186854493346e-08,3.401648740464225e-08
1878,1.3889904337816006e-08,3.200716847118201e-08
