year,beaucoup_ADV eu_VERB,beaucoup_ADV tu_VERB
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,0.0
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,1.7057265822018053e-08,5.685755422035754e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,1.4234775136401367e-08,0.0
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,2.384235386898581e-08,0.0
1819,1.449147024601416e-08,1.035105001712111e-09
1820,1.898636980968149e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,1.680056804787e-08,0.0
1824,5.894778887238772e-09,1.6842225392110777e-09
1825,2.8177417732422327e-08,0.0
1826,9.688783109140786e-09,0.0
1827,6.452091305675367e-09,0.0
1828,5.503380862137419e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,2.4353944638733083e-08,0.0
1833,1.3900354645102198e-08,2.3167257001688313e-09
1834,5.600718555598405e-09,0.0
1835,2.0420337421001022e-08,7.563087933704082e-10
1836,1.4113575197427508e-08,0.0
1837,1.8090515752078318e-08,2.7831563720326358e-09
1838,2.840472923537618e-08,1.2624323808552163e-09
1839,7.690622361167243e-09,1.1885507689157748e-08
1840,1.6561189752906103e-08,1.9109065441114126e-09
1841,1.219904177673925e-08,6.420548537278137e-10
1842,1.2745703159566801e-08,0.0
1843,2.9534556134080958e-08,5.906911071384968e-10
1844,1.2623690537338916e-08,1.097712254427563e-09
1845,1.674068350610014e-08,0.0
1846,1.8734404250153602e-08,1.1709002656346001e-09
1847,1.5101026207275936e-08,5.393223645455691e-10
1848,1.448139919091318e-08,2.413566457803995e-09
1849,7.54147322368226e-09,1.6758829879393033e-09
1850,1.9009188889640427e-08,3.394498016007219e-09
1851,9.674158363282004e-09,1.9348316282474798e-09
1852,1.1067927019325907e-08,6.510545436100301e-10
1853,6.569124799682413e-09,1.1943863675867306e-09
1854,1.2989160858012383e-08,5.195664454227256e-10
1855,2.7065379271107304e-08,4.2455496895854594e-09
1856,1.0354378687793542e-08,5.177189232874468e-10
1857,1.5620829074691756e-08,3.905207268672939e-09
1858,1.2723557318849998e-08,1.9574704079872163e-09
1859,4.582956236731661e-09,5.092173349652285e-10
1860,1.0985241161165504e-08,9.154367819341758e-10
1861,1.5091083938045813e-08,3.772770984511453e-09
1862,1.536115412648087e-08,1.3553959066214816e-09
1863,1.1487627737949424e-08,9.989241656072068e-10
1864,1.726102105692462e-08,4.794727948009836e-10
1865,1.0825742080555756e-08,9.41368871743009e-10
1866,1.751620715140234e-08,2.432806400776144e-09
1867,1.3102591012170706e-08,4.367530337390235e-09
1868,1.3831646938911035e-08,9.87974813071446e-10
1869,1.4162205630441349e-08,1.4650557433881772e-09
