year,trop_ADV oser_VERB,trop_ADV poser_VERB
1800,2.829747991484055e-08,0.0
1801,9.28661236798689e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,3.213406074564773e-08,0.0
1805,2.55858996212055e-08,0.0
1806,3.458002950651462e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,3.510190182964834e-08,0.0
1811,6.267691787797958e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,5.176335093892703e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,5.60474440192138e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,3.3123360054787554e-08,0.0
1820,4.390598107306687e-08,7.119888678630559e-09
1821,2.6626018723163725e-08,0.0
1822,3.408709403629473e-08,0.0
1823,2.7671523739059012e-08,0.0
1824,2.105278085196005e-08,2.5263338088166165e-09
1825,6.692136622632461e-08,0.0
1826,1.5854372037438225e-08,0.0
1827,3.041700225026034e-08,0.0
1828,2.109629271274116e-08,0.0
1829,2.4862210068476998e-08,0.0
1830,4.174734158368665e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,1.352996914505411e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,2.8739734148075513e-08,0.0
1836,8.064899859050456e-09,0.0
1837,2.2265250976261086e-08,0.0
1838,1.64116205070286e-08,1.2624323808552163e-09
1839,1.677954131196202e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,2.2808102073668124e-08,0.0
1843,3.7804230856863796e-08,2.3627644285539873e-09
1844,1.3721403568922597e-08,0.0
1845,1.562463758375543e-08,0.0
1846,3.3956109035671034e-08,0.0
1847,3.235934187273415e-08,1.0786447290911383e-09
1848,1.528592186161859e-08,8.045221711050488e-10
1849,1.005529792763582e-08,2.513824481908955e-09
1850,9.504594444820214e-09,6.788996032014438e-10
1851,1.2253933867611977e-08,0.0
1852,3.190167419120371e-08,0.0
1853,2.6276499198729653e-08,0.0
1854,5.0397943596180994e-08,1.0391328908454511e-09
1855,3.92713346286655e-08,0.0
1856,2.2779632402603056e-08,0.0
1857,1.757343248698362e-08,9.274867096564776e-09
1858,4.0128142586581816e-08,2.4468380654951716e-09
1859,3.7172863898149444e-08,9.165912473463322e-09
1860,2.3801355553132453e-08,4.577183909670879e-10
1861,3.914249901981748e-08,1.4147891747029462e-09
1862,3.8402884428023754e-08,9.035972525772706e-10
1863,3.49623441309177e-08,7.491931519609807e-09
1864,4.650886253898534e-08,9.589455896019672e-10
1865,1.7415324293779122e-08,0.0
1866,2.6274308950746672e-08,0.0
1867,4.0278337110066786e-08,1.94112459439566e-09
1868,1.975949714960734e-08,9.87974813071446e-10
1869,3.125452252561445e-08,4.395167341186834e-09
1870,2.408300403544672e-08,2.8670243956696595e-09
1871,3.611200227737754e-08,0.0
1872,2.4794090336399677e-08,6.047339295989218e-10
1873,3.23244258026989e-08,0.0
1874,3.1665429389704514e-08,2.9873046258899194e-09
