year,trop_ADV été_VERB,trop_ADV pété_VERB
1800,3.144164395507687e-08,0.0
1801,6.905429472681135e-08,0.0
1802,5.370816325012129e-08,0.0
1803,4.095712213825209e-08,0.0
1804,7.168367943677367e-08,0.0
1805,9.097208675257207e-08,0.0
1806,1.152667650217154e-08,0.0
1807,3.131650672116848e-08,0.0
1808,5.4385775882792586e-08,0.0
1809,4.0662548883574345e-08,0.0
1810,1.1700633706368535e-07,2.3401267590372754e-09
1811,4.262030373070047e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,5.463909147351842e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,7.161617787687646e-08,0.0
1818,6.556647491606782e-08,0.0
1819,4.864993385922389e-08,0.0
1820,4.746592452420373e-08,1.1866481131050932e-09
1821,7.100271659510327e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,5.435477845594505e-08,0.0
1824,5.810567671460376e-08,0.0
1825,6.251864448358901e-08,8.805443041381977e-10
1826,4.4039921931471326e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,1.7427371545863934e-08,0.0
1829,5.1439055681612444e-08,0.0
1830,2.400472176589119e-08,0.0
1831,4.5214498811674275e-08,0.0
1832,5.547287429408243e-08,0.0
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,6.254136053485126e-08,0.0
1835,4.310960122211327e-08,0.0
1836,2.2850549896702432e-08,0.0
1837,3.6181031504156635e-08,0.0
1838,4.102905393210676e-08,0.0
1839,1.957613093850341e-08,0.0
1840,5.86011346115356e-08,0.0
1841,2.1829865914924085e-08,0.0
1842,2.5491406319133603e-08,0.0
1843,2.539971788451112e-08,0.0
1844,3.1284798751585186e-08,0.0
1845,3.124927516751086e-08,0.0
1846,5.561776106333127e-08,0.0
1847,3.235934187273415e-08,0.0
1848,2.091757700384278e-08,0.0
1849,1.256912263158938e-08,8.379414939696517e-10
1850,3.59816780814981e-08,0.0
1851,3.224719336003545e-08,0.0
1852,2.6042181744401205e-08,0.0
1853,3.1054046445433414e-08,0.0
1854,2.8576154775805662e-08,0.0
1855,2.7596072982305486e-08,0.0
1856,2.485050742961903e-08,0.0
1857,4.539803555303479e-08,0.0
1858,2.9851424443450014e-08,0.0
1859,1.0693564256314403e-08,0.0
