year,trop_ADV heureux_ADJ,trop_ADV peureux_ADJ
1800,3.7855740515624348e-06,9.432493897065797e-09
1801,4.4337620579426584e-06,7.143547975374531e-09
1802,3.0636031169706257e-06,0.0
1803,3.2824208346937667e-06,0.0
1804,3.571824606751761e-06,0.0
1805,5.15982299020834e-06,2.842877711017877e-09
1806,3.962295011206152e-06,0.0
1807,2.4227587402947393e-06,0.0
1808,3.5305432106724766e-06,6.798221985349073e-09
1809,3.2349317962143687e-06,4.518061036407062e-09
1810,4.457941599866899e-06,1.6380887757350138e-08
1811,3.567570161067124e-06,0.0
1812,3.632737559655652e-06,0.0
1813,3.980026406225079e-06,0.0
1814,3.3103044074778154e-06,0.0
1815,2.562362311664401e-06,2.697223555614414e-09
1816,2.7718541844024003e-06,6.952811659743929e-09
1817,4.019847096969897e-06,1.556873407970727e-09
1818,4.214136254176992e-06,0.0
1819,3.8485204640892334e-06,0.0
1820,4.040536737193179e-06,0.0
1821,5.118112198942981e-06,4.930744257336528e-09
1822,4.078420488440315e-06,0.0
1823,3.6061924220121e-06,9.882686891060644e-10
1824,4.258556771219446e-06,2.5263338088166165e-09
1825,3.5767709789524815e-06,8.805443041381977e-10
1826,2.9533171357343235e-06,0.0
1827,2.8536677518786746e-06,2.7651818612639545e-09
1828,3.195629801666655e-06,9.172301251858528e-10
1829,3.0580520160583546e-06,0.0
1830,3.2834286400884594e-06,5.218417697960831e-09
1831,2.669214438810741e-06,3.1182412207897414e-09
1832,3.410905321743485e-06,2.705993873419743e-09
1833,2.825246923521263e-06,2.3167257001688313e-09
1834,2.760220866093732e-06,2.8003592777992026e-09
1835,2.783216274337974e-06,0.0
1836,2.495414605618862e-06,2.688300027031687e-09
1837,2.2947124307393096e-06,6.957890930081589e-10
1838,2.411245773714654e-06,1.2624323808552163e-09
1839,2.0834596483609857e-06,6.9914749545318955e-09
1840,2.4166598961983254e-06,7.0066574764382494e-09
1841,2.372392742699958e-06,1.2841097074556274e-09
1842,2.270747700094944e-06,6.708265054555795e-10
1843,2.161338656492262e-06,2.953455480181333e-09
1844,2.103765581296102e-06,1.4270259640625227e-08
1845,2.2203727212399826e-06,6.696273757711424e-09
1846,1.9998977052182454e-06,7.025401593807601e-09
1847,1.871448603196768e-06,5.9325460100012606e-09
1848,1.973492842921587e-06,8.045221711050488e-10
1849,1.7370526705917655e-06,2.513824481908955e-09
1850,1.945726296526118e-06,0.0
1851,1.8316405601126462e-06,1.9348316282474798e-09
1852,1.8756881985382279e-06,2.6042181744401205e-09
1853,2.1719916674101114e-06,1.1943863675867306e-09
1854,2.503271190334999e-06,3.117398783558656e-09
1855,2.2915355373243074e-06,4.2455496895854594e-09
1856,2.165618369076583e-06,5.177189232874468e-10
