year,trop_ADV eu_VERB,trop_ADV pu_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,3.095537337571841e-08,0.0
1802,1.3427040812530322e-08,2.2378401354217203e-09
1803,2.5354410126965377e-08,3.900678446910888e-09
1804,1.4831105232815389e-08,9.887403784603066e-09
1805,6.822906328807221e-08,8.528632911009026e-09
1806,3.458002950651462e-08,0.0
1807,1.7081731584767113e-08,1.1387820464392462e-08
1808,2.2660739062985158e-08,4.5321479902327155e-09
1809,8.584316191218022e-08,2.259030518203531e-09
1810,2.106114038724627e-08,0.0
1811,4.262030373070047e-08,0.0
1812,6.934741492159446e-08,5.3344164641089264e-09
1813,3.4508900625951355e-08,5.751483289628823e-09
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,1.0788894222457657e-08
1816,3.244645441213834e-08,2.3176038865813098e-09
1817,5.60474440192138e-08,1.556873407970727e-09
1818,1.1921176934492905e-08,2.384235475716423e-09
1819,5.175525075173937e-08,5.175524897538253e-09
1820,5.102586797534059e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,1.97229765852569e-09
1822,2.3058916553964082e-08,7.017931125119503e-09
1823,2.8659792761231984e-08,0.0
1824,1.2631669044083083e-08,4.210556348027694e-09
1825,2.1133063299316746e-08,2.641632912414593e-09
1826,2.4662355713189754e-08,6.1655889282974385e-09
1827,1.3825909306319772e-08,1.2904182611350734e-08
1828,1.0089530988466322e-08,0.0
1829,1.800366966620004e-08,8.57317605795771e-10
1830,2.2961039292113128e-08,1.0436835840010872e-09
1831,2.0268567268999504e-08,0.0
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,1.50587169400751e-08,6.950177322551099e-09
1834,1.213489042584115e-08,0.0
1835,2.7983425354705105e-08,0.0
1836,3.024337402735e-08,2.688300027031687e-09
1837,1.1132625488130543e-08,0.0
1838,1.830527018853445e-08,4.418513555037862e-09
1839,1.957613093850341e-08,1.1885507689157748e-08
1840,5.732719632334238e-09,8.917564464638872e-09
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,1.609983613093391e-08,3.3541325272778977e-09
1843,3.0125246297529884e-08,0.0
1844,1.0977122322231025e-08,0.0
1845,2.0088821273134272e-08,5.580227946389016e-10
1846,8.781752214304106e-09,5.854501328173001e-10
1847,1.5640349459999925e-08,1.6179670936367074e-09
1848,2.252662056889676e-08,4.02261068899179e-09
1849,1.1731181359664333e-08,5.865590679832167e-09
1850,2.0366988096043315e-08,6.788996032014438e-09
1851,2.3217978650791338e-08,0.0
1852,1.7578472011337e-08,1.1067927019325907e-08
1853,1.2541057081705276e-08,1.1943863675867306e-09
1854,2.4419623656513068e-08,2.5978321716024766e-09
1855,2.865746040470185e-08,9.552486801567284e-09
1856,1.7084724746041502e-08,5.177189232874468e-10
1857,1.4156376515472857e-08,1.9526036343364694e-09
1858,1.0766087576996597e-08,1.9574704079872163e-09
1859,2.036869339860914e-08,6.110608019582742e-09
1860,2.242820151820979e-08,4.119465657481669e-09
1861,2.87673795895671e-08,4.715963730639317e-10
1862,1.9427341513278407e-08,2.2589932147099034e-09
1863,1.2486552236623538e-08,4.994620717013731e-09
1864,3.5001512799226475e-08,1.9178911792039344e-09
1865,1.694463946932956e-08,2.3534221238463715e-09
1866,2.0435575009969398e-08,4.865612912574591e-10
1867,1.067618526917613e-08,9.7056229719783e-10
1868,4.44588676984381e-09,4.939874287401835e-09
1869,1.8557372527538973e-08,9.767038289254515e-10
1870,2.8096838633473453e-08,5.734048791339319e-09
1871,1.1683295220166201e-08,3.18635318130589e-09
1872,1.814201766592305e-08,1.8142017887967654e-09
1873,3.292302608315367e-08,0.0
1874,1.4936523129449597e-08,5.974609140757536e-10
1875,3.032409523484603e-08,5.721527251978387e-09
1876,1.934724735974669e-08,3.627608879952504e-09
1877,2.3502300550148902e-08,6.184815992682502e-10
1878,3.32149880932775e-08,1.2078177347163432e-09
1879,2.1993571408529533e-08,1.832797580370027e-09
1880,8.343199908722454e-09,1.1552122813895949e-08
1881,1.324776466304911e-08,3.4862537301449947e-09
1882,9.317538740560849e-09,0.0
1883,1.9589950994713945e-08,4.423537092179686e-09
1884,1.4523733327109767e-08,1.9805090900604227e-09
1885,7.090199094506033e-09,1.2891271383708158e-09
1886,1.2906927970846027e-08,3.2267319927115068e-09
1887,1.3057849024278312e-08,6.528924623161458e-10
1888,1.9021843655764314e-08,1.268122939990235e-09
1889,2.6313573542324775e-08,1.2530273485467092e-09
1890,1.3764211992395303e-08,5.243509182406569e-09
1891,1.9122660788184476e-08,4.461953917456185e-09
1892,1.4417578242387208e-08,4.387958441043338e-09
1893,1.847524977449666e-08,6.158416554491453e-10
1894,7.561847148451761e-09,6.301539290376468e-10
1895,1.023164486468886e-08,1.2037228991346183e-09
1896,2.1229304536518612e-08,0.0
1897,1.1070755867592652e-08,5.826713334045053e-09
1898,1.5277558773618694e-08,1.6975064687230201e-09
1899,6.080336234504102e-09,1.6582735185011188e-09
1900,7.786579381274805e-09,0.0
1901,1.4530721514915967e-08,2.794369402536745e-09
1902,9.820567470342212e-09,1.4730852093691738e-09
1903,1.6200660368781428e-08,1.0800440541913758e-09
1904,2.3110889202371254e-08,1.0749250378694342e-09
1905,8.257214467732865e-09,2.0643036169332163e-09
1906,9.773950537805831e-09,2.572092316910357e-09
1907,1.0285686968813934e-08,0.0
1908,9.822778146428846e-09,1.4734167219643268e-09
1909,1.7603147384193107e-08,2.2003934230241384e-09
1910,9.085056262847502e-09,2.137660271017694e-09
1911,1.9153347352585115e-08,1.0640748282497725e-09
1912,1.3544495303108306e-08,5.730363294986773e-09
1913,5.833288518886093e-09,2.121195885607108e-09
1914,1.5402511266415786e-08,0.0
1915,1.4136913861761968e-08,0.0
1916,1.8678685265172135e-08,1.0987462051303964e-09
1917,1.4256351654751143e-08,1.0966424435210342e-09
1918,1.6080926812378493e-08,1.1486376294556067e-09
1919,9.207848705727883e-09,3.6831393490643904e-09
1920,6.057785384427916e-09,0.0
1921,1.3630945261411398e-08,7.572747429129834e-10
1922,1.549366501762961e-08,0.0
1923,4.246379248229459e-09,0.0
1924,1.5469948877466777e-08,0.0
1925,1.4297631523163545e-08,1.0998177923937646e-09
1926,1.5604593173179637e-08,0.0
1927,1.2264147031260109e-08,0.0
1928,9.14083297942625e-09,1.1426041224282812e-09
1929,1.5596569369336066e-08,0.0
1930,1.6805765667982087e-08,0.0
1931,1.8248570654577634e-08,5.7026783295555106e-09
1932,1.53433514782364e-08,0.0
1933,2.1794258842078307e-08,1.1470662197865522e-09
1934,2.156684431042777e-08,1.1981580172459871e-09
1935,1.4361940969820353e-08,0.0
1936,8.487299751891442e-09,1.2124714565686645e-09
1937,1.3850230295986421e-08,0.0
1938,1.4261735792331365e-08,0.0
1939,1.5294050470515685e-08,3.058810094103137e-09
1940,1.0143131667916805e-08,0.0
1941,3.246652724442356e-08,0.0
1942,1.8205270180260413e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,0.0
1944,1.927911696952833e-08,0.0
1945,2.178504132643866e-08,0.0
1946,6.960552134671616e-09,0.0
1947,2.622591566137089e-08,0.0
1948,2.2830963786191205e-08,3.2615663503321457e-09
1949,1.1780409536754632e-08,1.9634016634739737e-09
1950,2.7651939404904624e-08,0.0
1951,2.0256663901818683e-08,3.1984206394497505e-09
1952,1.370824520563474e-08,0.0
1953,2.3702419582605216e-08,0.0
1954,9.772536557761669e-09,9.772536113672459e-10
1955,1.5016972554349195e-08,9.385607846468247e-10
1956,2.703553825256222e-08,0.0
1957,3.268964121616591e-08,1.7670075402875796e-09
1958,9.099467845885556e-09,4.9633461784992505e-09
1959,1.1626121398933265e-08,0.0
1960,1.1765417085030094e-08,1.3841666701708277e-09
1961,2.014966149488373e-08,6.948159270159238e-10
1962,2.029426049432459e-08,0.0
1963,1.3578711488548834e-08,0.0
1964,7.300761772910391e-09,1.2167936658258327e-09
1965,1.6963333848707407e-08,5.472043373977442e-10
1966,1.9940669560014612e-08,5.539074754423723e-10
1967,1.6763140209263838e-08,0.0
1968,2.515192853991266e-08,2.245707841908029e-09
1969,2.043791091921321e-08,9.083515606356229e-10
1970,1.7015283404475667e-08,0.0
1971,2.2608949379332444e-08,0.0
1972,1.5903454553267693e-08,0.0
1973,1.598829157956061e-08,3.3079223804577396e-09
1974,1.406392957647995e-08,5.625571675160757e-10
1975,1.1994108817248161e-08,0.0
1976,2.171140245366132e-08,1.7140580066410394e-09
1977,2.4682483612537e-08,1.7630346071939584e-09
1978,1.0693064211864112e-08,1.7821774056514528e-09
1979,1.1703946256602649e-08,1.1703946700691858e-09
1980,3.013130012163856e-08,0.0
1981,2.5934753011824796e-08,6.325549528618524e-10
1982,1.8622506203769262e-08,6.207502289967692e-10
1983,1.6419821946556112e-08,1.2630632095778083e-09
1984,9.858314165001048e-09,0.0
1985,1.6242006850575308e-08,0.0
1986,1.978180286243969e-08,5.994485463567401e-10
1987,1.588812459374367e-08,2.4443267410134695e-09
1988,1.2592763276586538e-08,5.996553809062277e-10
1989,1.9757239400064464e-08,0.0
1990,1.3076762783725826e-08,1.089730194969718e-09
1991,1.934283488935762e-08,0.0
1992,1.652983172562017e-08,1.65298330578878e-09
1993,1.606370148010683e-08,5.539207426075166e-10
1994,2.0572214154412904e-08,0.0
1995,1.9520822291951845e-08,1.0844901643380922e-09
1996,2.081855932090093e-08,5.338092190498855e-10
1997,2.205651483677684e-08,0.0
1998,1.954932926651054e-08,1.9072516899143466e-09
1999,1.0968483010742602e-08,2.285100553223174e-09
2000,1.8113929911578452e-08,4.4180314962005696e-10
2001,1.9277331730904734e-08,4.3812117822561447e-10
2002,1.0514931148009055e-08,4.38122149670761e-10
2003,1.583430631058036e-08,8.333845835650777e-10
2004,2.422635247967264e-08,3.0833537945085254e-09
2005,1.7564623533417034e-08,1.3511248786457486e-09
2006,1.523619275189958e-08,8.235779835885637e-10
2007,1.7176262190332636e-08,1.5977917877663117e-09
2008,2.0009967016676455e-08,1.2772318758180745e-09
2009,2.86091541568112e-08,2.384096253749135e-09
2010,3.4011311100812236e-08,9.447586046817946e-10
2011,3.6710130046913036e-08,1.1471915639660324e-09
