year,trop_ADV punir_VERB
1800,5.973912209356058e-08
1801,1.6668277424969347e-08
1802,2.4616241489638924e-08
1803,6.241085515057421e-08
1804,1.9774807569206132e-08
1805,5.685755422035754e-09
1806,0.0
1807,8.540865792383556e-09
1808,2.039466551195801e-08
1809,1.129515236897305e-08
1810,4.680253518074551e-09
1811,7.270522672797597e-08
1812,0.0
1813,2.300593315851529e-08
1814,4.405347908686963e-08
1815,5.394447111228828e-09
1816,5.0987285504788815e-08
1817,4.0478710161551135e-08
1818,2.741870730460505e-08
1819,1.7596784473994376e-08
1820,2.4919611263385377e-08
1821,2.859831660373402e-08
1822,1.4035862250239006e-08
1823,1.9765373782121287e-09
1824,2.189489300974401e-08
1825,7.924898959288385e-09
1826,3.787433300317389e-08
1827,2.3964910056406552e-08
1828,6.420610709767516e-09
1829,3.429270378774163e-08
1830,8.349468672008697e-09
1831,1.7150327380477393e-08
1832,1.6235963684607668e-08
1833,9.266902800675325e-09
1834,3.173740381612333e-08
1835,2.4201881387853064e-08
1836,8.736974699274924e-09
1837,7.653680356156656e-09
1838,1.0730675015224733e-08
1839,1.1885507689157748e-08
1840,4.458782232319436e-09
1841,9.630822361827995e-09
1842,4.695785538189057e-09
1843,1.1813821920725331e-08
1844,1.0977122322231025e-08
1845,5.580227835366713e-09
1846,2.9272506640865004e-09
1847,7.011190739092399e-09
1848,8.045221711050488e-10
1849,7.54147322368226e-09
1850,7.467895635215882e-09
1851,6.449438760824933e-09
1852,5.208436348880241e-09
1853,2.09017620989016e-08
1854,2.3900057044556888e-08
1855,1.6451505047143655e-08
1856,1.4496129630003907e-08
1857,1.513267733344037e-08
1858,6.8511463169329545e-09
1859,9.675129142294736e-09
1860,2.746310290291376e-09
1861,4.715963619617014e-09
1862,3.162590411776023e-09
1863,2.4973103585068657e-09
1864,5.753673537611803e-09
1865,9.413688495385486e-09
1866,5.352174259343201e-09
1867,1.455843445796745e-09
1868,5.433861360870651e-09
1869,1.953407657850903e-09
1870,1.2614907340946502e-08
1871,9.559059321873065e-09
1872,4.8378714367913744e-09
1873,4.788803575905831e-09
1874,5.377148060148329e-09
1875,5.721527140956084e-10
1876,3.627608879952504e-09
1877,3.710889595609501e-09
1878,8.4547240319921e-09
1879,4.887460214320072e-09
1880,1.0268554007097919e-08
1881,3.4862537301449947e-09
1882,3.3276925659464496e-09
1883,1.2638677659992936e-08
1884,5.281357573494461e-09
1885,6.445635691854079e-10
1886,1.936039106809062e-09
1887,1.3057849246322917e-09
1888,5.706553452000662e-09
1889,7.51816386923565e-09
1890,3.2771931834929546e-09
1891,9.561330394092238e-09
1892,6.268512375839919e-10
1893,3.079208221734575e-09
1894,1.2603078580752936e-09
1895,0.0
1896,3.5382172747233653e-09
1897,5.826713556089658e-10
1898,2.26334195829736e-09
1899,6.633094074004475e-09
1900,3.633737311048435e-09
1901,1.676621730339889e-09
1902,3.928227076954727e-09
1903,0.0
1904,1.0749250378694342e-09
1905,3.096455536422127e-09
1906,2.572092316910357e-09
1907,2.057137349353866e-09
1908,1.4734167219643268e-09
1909,3.850688656825696e-09
1910,1.6032452032632705e-09
1911,0.0
1912,2.6047106693738442e-09
1913,1.590896969716482e-09
1914,0.0
1915,1.5314990164938536e-08
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,2.2972752589112133e-09
1919,8.287063479883727e-09
1920,7.572231730534895e-10
1921,3.7863738810983705e-09
1922,1.4755870969551665e-09
1923,4.246379248229459e-09
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,0.0
1927,1.1149224654616319e-08
1928,3.4278122562625413e-09
1929,2.2280812750352652e-09
1930,0.0
1931,3.4216069977333063e-09
1932,9.863582839386709e-09
1933,1.1470662197865522e-09
1934,1.1981580172459871e-09
1935,0.0
1936,0.0
1937,0.0
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,0.0
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,2.0322646676618206e-08
1944,0.0
1945,4.357008087652048e-09
1946,1.3921104269343232e-09
1947,3.5762612871081956e-09
1948,2.174377566888097e-09
1949,1.3743811422273211e-08
1950,1.1698897850465073e-08
1951,1.1727541604500402e-08
1952,0.0
1953,0.0
1954,0.0
1955,3.754243138587299e-09
1956,4.360570571293465e-09
1957,6.184526224473075e-09
1958,2.4816730892496253e-09
1959,0.0
1960,6.920833350854139e-10
1961,6.948159270159238e-10
1962,1.9025869768540815e-09
1963,0.0
1964,3.6503808864551957e-09
1965,1.6416130677043839e-09
1966,3.8773522170743036e-09
1967,4.437302081328198e-09
1968,2.6948494546985557e-09
1969,1.8167031212712459e-09
1970,1.8394900047624674e-09
1971,2.0553589941130213e-09
1972,5.130146973897354e-09
1973,3.3079223804577396e-09
1974,1.1251143350321513e-09
1975,5.140332159925265e-09
1976,0.0
1977,1.7630346071939584e-09
1978,5.940591352171509e-10
1979,5.851973350345929e-10
1980,2.2740602734216964e-09
1981,2.5302198114474095e-09
1982,1.2415004579935385e-09
1983,1.2630632095778083e-09
1984,5.799008495621649e-10
1985,1.8046674155058895e-09
1986,0.0
1987,6.110816852533674e-10
1988,1.1993107618124554e-09
1989,2.7440609784434855e-09
1990,5.44865097484859e-10
1991,1.1722930404189924e-09
1992,3.856960972825618e-09
1993,0.0
1994,3.6924485691258724e-09
1995,2.7112254663563817e-09
1996,5.338092190498855e-10
1997,9.58978896292706e-10
1998,9.536258449571733e-10
1999,2.285100553223174e-09
2000,3.97622823555821e-09
2001,1.7524847129024579e-09
2002,1.3143663935011318e-09
2003,1.6667691671301554e-09
2004,2.642874807889939e-09
2005,4.954124666056714e-09
2006,1.2353669198716943e-09
2007,3.994479469415779e-10
2008,2.1287198670449925e-09
2009,9.53638501499654e-10
2010,9.447586046817946e-10
2011,1.911985902935953e-09
2012,3.404252713057332e-10
2013,1.3945624655065103e-09
2014,8.661780737106994e-10
2015,2.21657536769726e-09
2016,2.0713399884186856e-09
2017,2.0124890642847504e-09
2018,2.0651733656507076e-09
2019,3.06118530524202e-09
