year,trop_ADV ouverte_ADJ,trop_ADV couverte_ADJ
1800,4.087413785214267e-08,3.144164395507687e-08
1801,1.262026785298076e-07,1.904946067554647e-08
1802,9.84649659585557e-08,2.2378401354217203e-09
1803,2.9255089017965474e-08,1.950339267864365e-08
1804,9.887403784603066e-09,4.2021465418429216e-08
1805,8.528632911009026e-09,5.685755422035754e-09
1806,7.492339904047185e-08,1.729001475325731e-08
1807,1.0249038240317532e-07,0.0
1808,2.7192887941396293e-08,9.064295980465431e-09
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,3.2761775514700275e-08,0.0
1811,1.5543875520052097e-07,0.0
1812,6.934741492159446e-08,2.6672082320544632e-09
1813,6.326631307729258e-08,0.0
1814,5.349351184236184e-08,9.440030979135372e-09
1815,1.1598061178119679e-07,0.0
1816,3.7081662185300956e-08,0.0
1817,2.9580593974287694e-08,6.227493631882908e-09
1818,3.457141417584353e-08,2.384235475716423e-09
1819,3.415846450138815e-08,2.173720581311045e-08
1820,5.458581142647745e-08,7.119888678630559e-09
1821,7.494730880353018e-08,1.97229765852569e-09
1822,4.210758675071702e-08,5.012807946513931e-09
1823,3.5577674140085946e-08,0.0
1824,2.189489300974401e-08,8.421112696055388e-10
1825,3.610231757988913e-08,7.044354433105582e-09
1826,4.844391554570393e-08,4.403992281964975e-09
1827,2.8573547083965423e-08,9.217273055917019e-10
1828,3.5771975603893225e-08,1.8344602503717056e-09
1829,4.029392641768936e-08,3.429270423183084e-09
1830,3.757260813586072e-08,1.0436835840010872e-09
1831,6.236482441579483e-09,0.0
1832,2.705993873419743e-09,1.2176972319366541e-08
1833,4.865124125785769e-08,1.0425265983826648e-08
1834,4.2005389389032644e-08,7.467624740797874e-09
1835,1.8151411040889798e-08,2.2689263801112247e-09
1836,2.8899226123257904e-08,2.688300027031687e-09
1837,3.6181031504156635e-08,6.957891152126194e-09
1838,4.292270006089893e-08,2.5248647617104325e-09
1839,3.0063343814390464e-08,2.0974426639952526e-09
1840,2.229391071750797e-08,7.64362617644565e-09
1841,2.6966304744746594e-08,1.926164561183441e-09
1842,4.628702754416736e-08,1.2745703159566801e-08
1843,3.18973185642335e-08,9.451057714215949e-09
1844,3.951764071530306e-08,6.037417232818143e-09
1845,2.2320911341466854e-08,3.348136878855712e-09
1846,2.6930706553685013e-08,3.5127007969038004e-09
1847,3.721324404182269e-08,3.235934187273415e-09
1848,4.183515400768556e-08,1.6090443422100975e-09
1849,6.619738002200393e-08,0.0
1850,2.851378333446064e-08,6.788996032014438e-10
1851,1.7413483988093503e-08,1.9348316282474798e-09
1852,2.018269107395554e-08,3.2552727180501506e-09
1853,2.508211416341055e-08,2.9859659189668264e-09
1854,2.234135720868835e-08,5.195664343204953e-09
1855,2.2289135870323662e-08,2.1227748447927297e-09
1856,2.7439103433835044e-08,5.177189232874468e-10
1857,2.5871997877402464e-08,4.393358121745905e-09
1858,5.1872966366772744e-08,4.893676019968041e-10
1859,3.819129901216911e-08,5.601390462572908e-09
1860,3.249800428761773e-08,0.0
1861,1.650587222457034e-08,1.8863854922557266e-09
1862,5.1505043785482485e-08,1.3553959066214816e-09
1863,2.7470415275843152e-08,2.4973103585068657e-09
1864,2.7809422320501653e-08,9.589455896019672e-10
1865,3.577201823645737e-08,9.41368871743009e-10
1866,2.2868380966656332e-08,3.4059290943133647e-09
1867,1.94112459439566e-08,5.338092634588065e-09
1868,3.655506830568811e-08,4.44588676984381e-09
1869,1.8069020057964735e-08,0.0
1870,2.8096838633473453e-08,1.7202146374017957e-09
1871,3.080141297573391e-08,2.1242354542039266e-09
1872,3.084143074261192e-08,2.4189357183956872e-09
1873,2.8732820567256567e-08,5.986004469882289e-10
1874,1.7923827755339516e-08,5.974609140757536e-10
1875,3.2612703648737806e-08,9.154443425529735e-09
1876,4.0508300713781864e-08,2.418405919968336e-09
1877,1.7317484335421796e-08,3.0924081073635534e-09
1878,2.717589886458427e-08,1.2078177347163432e-09
1879,3.5434087664043545e-08,3.665595160740054e-09
1880,3.7223507831640745e-08,1.0268554007097919e-08
1881,2.091752193678076e-08,3.4862537301449947e-09
1882,2.3959387362992857e-08,0.0
1883,3.2860562271253e-08,6.319338829996468e-09
1884,3.6969503014461225e-08,5.941527270181268e-09
1885,3.545099502844096e-08,5.156508553483263e-09
1886,3.033127882190456e-08,1.936039106809062e-09
1887,3.395040693021656e-08,3.264462256069578e-09
1888,3.360525724360741e-08,1.268122939990235e-09
1889,2.6313573542324775e-08,1.8795409673089125e-09
1890,2.6217545467943637e-08,1.8352281472289178e-08
1891,2.2309770031370135e-08,1.9122659011827636e-09
1892,2.6954603882245465e-08,5.641661360300532e-09
1893,1.6627724974682678e-08,2.463366621796581e-09
1894,1.449354058991048e-08,3.150769645188234e-09
1895,2.046328972937772e-08,4.814891596538473e-09
1896,2.94851449922362e-08,1.179405795248556e-09
1897,2.5637540090883704e-08,5.2440420894583895e-09
1898,3.281845906144554e-08,1.6975064687230201e-09
1899,2.8743407654019393e-08,3.3165470370022376e-09
1900,3.945200433008722e-08,5.191053142894475e-10
1901,2.6825947685438223e-08,2.235495566438317e-09
1902,2.356936334990678e-08,5.892340837476695e-09
1903,3.6181475593366486e-08,7.020286574288548e-09
1904,3.493506284257819e-08,1.0749250378694342e-09
1905,2.115911179600971e-08,1.5482277682110634e-09
1906,3.4980455865252225e-08,2.0576738091193647e-09
1907,2.2114226894132116e-08,3.0857059130084963e-09
1908,3.5361999550787004e-08,3.437972351250096e-09
1909,3.850688656825696e-08,2.2003934230241384e-09
1910,4.221879024157715e-08,5.344150677544235e-10
1911,3.1390207766435196e-08,0.0
1912,5.0010442009806866e-08,1.0418842455450772e-09
1913,3.8711824856818566e-08,2.121195885607108e-09
1914,4.553785615257766e-08,2.678697486047099e-09
1915,2.9451904026700504e-08,0.0
1916,4.0653610255958483e-08,8.789969641043172e-09
1917,2.3029491202919417e-08,5.483212106582869e-09
1918,2.1824114071478107e-08,6.89182577673364e-09
1919,3.775218004875569e-08,4.603924352863942e-09
1920,2.1959472462640406e-08,0.0
1921,2.4232791773215467e-08,0.0
1922,3.541408943874558e-08,4.426761179843197e-09
1923,1.8047112249064412e-08,2.1231896241147297e-09
