year,trop_ADV oser_VERB,trop_ADV causer_VERB
1800,2.829747991484055e-08,3.144164484325529e-09
1801,9.28661236798689e-08,0.0
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,1.5602713787643552e-08,0.0
1804,3.213406074564773e-08,0.0
1805,2.55858996212055e-08,0.0
1806,3.458002950651462e-08,2.305335300434308e-08
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,1.5862518409903714e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,3.510190182964834e-08,2.3401267590372754e-09
1811,6.267691787797958e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,5.176335093892703e-08,1.1502966579257645e-08
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,5.60474440192138e-08,1.556873407970727e-09
1818,1.3113295338484932e-08,1.1921177378582115e-09
1819,3.3123360054787554e-08,0.0
1820,4.390598107306687e-08,4.746592452420373e-09
1821,2.6626018723163725e-08,1.4792232327920374e-08
1822,3.408709403629473e-08,1.0025615893027862e-09
1823,2.7671523739059012e-08,9.882686891060644e-10
1824,2.105278085196005e-08,3.3684450784221553e-09
1825,6.692136622632461e-08,1.7610886082763955e-09
1826,1.5854372037438225e-08,3.5231937367541377e-09
1827,3.041700225026034e-08,1.8434546111834038e-09
1828,2.109629271274116e-08,7.337841001486822e-09
1829,2.4862210068476998e-08,8.57317605795771e-10
1830,4.174734158368665e-08,5.218417697960831e-09
1831,2.9623292263636358e-08,4.677361609140007e-09
1832,1.352996914505411e-08,4.058990921151917e-09
1833,1.0425265983826648e-08,1.9692167896323554e-08
1834,2.5203233278148218e-08,2.8003592777992026e-09
1835,2.8739734148075513e-08,5.294161553592858e-09
1836,8.064899859050456e-09,4.032449929525228e-09
1837,2.2265250976261086e-08,3.478945576063097e-09
1838,1.64116205070286e-08,1.8936485712828244e-09
1839,1.677954131196202e-08,1.3982950353153e-09
1840,1.2739377552861697e-08,3.821813088222825e-09
1841,1.6051371787284552e-08,4.494383976094696e-09
1842,2.2808102073668124e-08,6.708265054555795e-10
1843,3.7804230856863796e-08,7.678984559333912e-09
1844,1.3721403568922597e-08,4.9397050894128824e-09
1845,1.562463758375543e-08,2.7901139176833567e-09
1846,3.3956109035671034e-08,2.9272506640865004e-09
1847,3.235934187273415e-08,1.0786447290911383e-09
1848,1.528592186161859e-08,0.0
1849,1.005529792763582e-08,0.0
1850,9.504594444820214e-09,1.3577992064028876e-09
1851,1.2253933867611977e-08,7.094382858952031e-09
1852,3.190167419120371e-08,5.859490670445666e-09
1853,2.6276499198729653e-08,4.777545470346922e-09
1854,5.0397943596180994e-08,2.0782657816909023e-09
1855,3.92713346286655e-08,1.0613874223963649e-08
1856,2.2779632402603056e-08,0.0
1857,1.757343248698362e-08,4.881509085841174e-10
1858,4.0128142586581816e-08,1.1255455234504552e-08
1859,3.7172863898149444e-08,8.147477359443656e-09
1860,2.3801355553132453e-08,1.373155145145688e-09
1861,3.914249901981748e-08,8.960331143725853e-09
1862,3.8402884428023754e-08,5.873382225018986e-09
1863,3.49623441309177e-08,4.994620828036034e-10
1864,4.650886253898534e-08,5.274200631788517e-09
1865,1.7415324293779122e-08,1.2708479601997169e-08
1866,2.6274308950746672e-08,2.432806400776144e-09
1867,4.0278337110066786e-08,9.220341823379385e-09
1868,1.975949714960734e-08,7.409810987013543e-09
1869,3.125452252561445e-08,1.0255390314739543e-08
1870,2.408300403544672e-08,1.0321287824410774e-08
1871,3.611200227737754e-08,5.3105884134652115e-09
1872,2.4794090336399677e-08,6.652073114565837e-09
1873,3.23244258026989e-08,9.577607151811662e-09
1874,3.1665429389704514e-08,8.961913877669758e-09
1875,2.9751941355016243e-08,3.432916173551348e-09
1876,2.6602464231473277e-08,1.209202959984168e-09
1877,4.762308236649915e-08,3.0924081073635534e-09
1878,2.5968081018845623e-08,3.0195443923020093e-09
1879,1.588424503040642e-08,1.221865097988939e-08
1880,3.7223507831640745e-08,2.5671385017744797e-09
1881,2.1614773970668466e-08,6.972507571312292e-10
1882,5.590523599607877e-08,8.652000893505374e-09
1883,2.338155447034751e-08,1.8958017378167824e-09
1884,2.2445769687351458e-08,7.2618666635548834e-09
1885,1.9981470700258797e-08,8.379326565943757e-09
1886,2.2587123282846733e-08,1.2906927748801422e-09
1887,1.9586773092328258e-08,4.570247291724172e-09
1888,4.12139939953704e-08,3.1703073499755874e-09
1889,2.6313573542324775e-08,0.0
1890,1.9663159989136147e-08,3.2771931834929546e-09
1891,1.784781566982474e-08,5.099376032546843e-09
1892,2.1312942521944933e-08,1.002961980134387e-08
1893,2.8328715373504565e-08,1.2932674486876294e-08
1894,4.0329851458409394e-08,1.2603078580752936e-09
1895,3.8519132772307785e-08,2.4074457982692365e-09
1896,2.94851449922362e-08,2.948514543632541e-09
1897,2.5637540090883704e-08,5.2440420894583895e-09
1898,4.413516663248629e-08,3.3950129374460403e-09
1899,5.30647525920358e-08,4.4220627160029835e-09
1900,3.9971109089265155e-08,3.114631885736685e-09
1901,3.912117207960364e-08,7.824234593556412e-09
1902,2.7497589982772297e-08,2.455141867585553e-09
1903,3.67214987306852e-08,3.2401321625741275e-09
1904,4.6759240035498806e-08,1.0749250378694342e-09
1905,3.044847929345451e-08,2.0643036169332163e-09
1906,3.858138342138773e-08,1.0288369267641428e-08
1907,3.9085609415678846e-08,5.142843373384665e-10
1908,3.045061092166179e-08,4.4202499438483756e-09
1909,3.245580160182726e-08,1.1001967115120692e-09
1910,4.3287620599130605e-08,0.0
1911,3.405039450399272e-08,6.384448969498635e-09
1912,3.750783150735515e-08,6.251305251225858e-09
1913,3.818152549683873e-08,4.772690687104841e-09
1914,2.343860217024485e-08,3.3483718020477227e-09
1915,2.9451904026700504e-08,3.534228465440492e-09
1916,5.16410700868164e-08,2.197492410260793e-09
1917,2.52227767560953e-08,2.1932848870420685e-09
1918,2.5270027848023346e-08,3.44591288836682e-09
1919,1.749491218561161e-08,2.762354567309444e-09
1920,3.256059599721084e-08,4.543339038320937e-09
1921,2.120369302360814e-08,2.2718242842501013e-09
1922,3.9103056792555435e-08,7.377935484775833e-10
1923,3.3971033985835675e-08,3.1847844361720945e-09
1924,3.351822286390416e-08,2.578324886925998e-09
1925,3.8493624288094e-08,3.299453377181294e-09
1926,5.238685218955652e-08,1.114613823460786e-08
1927,3.0102906833917586e-08,1.7838759802657478e-08
1928,3.427812345080383e-08,2.2852082448565625e-09
1929,3.342121956961819e-08,2.2280812750352652e-09
1930,2.7309368988426286e-08,1.0503603542488804e-09
1931,3.079446386777818e-08,1.1405356659111021e-09
1932,2.7398842306070037e-08,3.287861094491973e-09
1933,2.867665571670841e-08,3.4411986593596566e-09
1934,2.7557634396657704e-08,2.3963160344919743e-09
1935,2.0346082152400413e-08,1.196828414151696e-09
1936,4.122403041151301e-08,0.0
1937,5.162358363008934e-08,1.2591118148108649e-09
1938,4.797129449229942e-08,2.5930428915188486e-09
1939,1.8352860564618823e-08,3.058810094103137e-09
1940,3.550096039361961e-08,3.0429394115571995e-08
1941,2.066051862925633e-08,0.0
1942,2.1239483061208375e-08,6.068423541449874e-09
1943,4.935499831049128e-08,0.0
1944,2.2492303131116387e-08,0.0
1945,3.485606470121638e-08,0.0
