year,trop_ADV ouvert_ADJ,trop_ADV couvert_ADJ
1800,4.4018303668735825e-08,8.489244152087849e-08
1801,1.5239568540437176e-07,5.000483582762172e-08
1802,7.832440473976021e-08,5.370816325012129e-08
1803,9.751695984050457e-08,1.755305234496518e-08
1804,3.9549615138412264e-08,5.438072037122765e-08
1805,1.250866148438945e-07,8.528632911009026e-09
1806,4.3225035994964855e-08,4.8988376022407465e-08
1807,1.7081731584767113e-08,1.1387820464392462e-08
1808,5.6651849433819734e-08,2.945896149242344e-08
1809,5.1957702140725814e-08,2.0331274441787173e-08
1810,3.7442028144596406e-08,1.8721014072298203e-08
1811,6.267691787797958e-08,3.760615285841595e-08
1812,1.8670457180292033e-08,0.0
1813,2.5881675469463516e-08,4.026038169513413e-08
1814,3.4613449884091096e-08,5.034683425719777e-08
1815,3.236668177919455e-08,1.3486118000116676e-08
1816,9.270415546325239e-09,2.0858434979231788e-08
1817,5.4490570278176165e-08,2.6466848268569265e-08
1818,2.6226590676969863e-08,2.1458118837358597e-08
1819,3.415846450138815e-08,2.3807414706311647e-08
1820,6.645229433388522e-08,5.3399165977907614e-08
1821,3.648750634965836e-08,2.859831660373402e-08
1822,3.0076847679083585e-08,1.4035862250239006e-08
1823,1.087095569118901e-08,1.680056804787e-08
1824,2.947389532437228e-08,5.894778887238772e-09
1825,4.3146670236637874e-08,2.905796137042671e-08
1826,2.906634755106552e-08,7.0463874735082754e-09
1827,6.359918103271411e-08,4.608636583469661e-09
1828,2.2930752408001354e-08,1.7427371545863934e-08
1829,3.5150023336427694e-08,1.0287811491593857e-08
1830,3.444155893816969e-08,1.7742621594152297e-08
1831,3.897801548191637e-08,1.870944643656003e-08
1832,3.111892965534935e-08,4.058990654698391e-08
1833,2.0850531967653296e-08,6.950177322551099e-09
1834,3.640467127752345e-08,1.120143711119681e-08
1835,2.4201881387853064e-08,1.3613558280667348e-08
1836,3.5619975857770214e-08,1.4785650037651976e-08
1837,2.7831564608504777e-08,1.1828414692161004e-08
1838,2.7773513266993177e-08,1.1361890983607736e-08
1839,4.754203075663099e-08,7.690622361167243e-09
1840,5.095751021144679e-08,6.3696887764308485e-09
1841,2.5682194149112547e-08,1.7977535904378783e-08
1842,1.9453969102301016e-08,4.22620693996123e-08
1843,1.8902115428431898e-08,2.126487963494128e-08
1844,2.0307677539577185e-08,1.0428266250528395e-08
1845,2.1204865419122143e-08,7.812318791877715e-09
1846,2.7516156686502313e-08,1.7563504428608212e-08
1847,1.5101026207275936e-08,2.0494249852731627e-08
1848,6.999342616609283e-08,1.769948809737798e-08
1849,3.1841775438579134e-08,3.3517659758786067e-09
1850,3.258718184184772e-08,4.752297222410107e-09
1851,3.0312362842011e-08,2.257303499675345e-08
1852,2.669323651005584e-08,1.8880582430824688e-08
1853,3.4637203327747557e-08,7.763511611358354e-09
1854,2.7017454939937124e-08,1.1950028522278444e-08
1855,1.9104973603134567e-08,1.0083180512765466e-08
1856,1.6567004990086787e-08,2.329735160344626e-08
1857,2.880090299584026e-08,8.298565390418844e-09
1858,2.936205589776364e-08,2.0064071293290908e-08
1859,2.036869339860914e-08,3.5645213447565993e-09
1860,4.851814949802247e-08,1.876645328025006e-08
1861,2.923897596263103e-08,2.4051415081771665e-08
1862,2.891511208247266e-08,1.3102160245637151e-08
1863,4.095589045682857e-08,1.2986014041871385e-08
1864,2.589153069720851e-08,1.9178912680217763e-08
1865,2.2592853810010638e-08,1.2237795665726026e-08
1866,1.0217787504984699e-08,6.811858188626729e-09
1867,3.105799351033056e-08,1.4073153309368536e-08
1868,2.173544610961642e-08,1.531360993567432e-08
1869,3.4672986259920435e-08,1.6115613732381462e-08
1870,2.3509600488580418e-08,1.548193218070537e-08
1871,1.5931766128574054e-08,3.18635318130589e-09
1872,4.23313738506792e-08,2.4189357183956872e-09
1873,4.130343017605398e-08,1.1373408881354408e-08
1874,4.062734104692822e-08,1.4339061493728877e-08
1875,2.1741803024610817e-08,7.437985338754061e-09
1876,2.7811667635546655e-08,5.441413541973361e-09
1877,5.504486111362894e-08,7.421779191219002e-09
1878,1.7513357875031943e-08,2.3552445327368332e-08
1879,5.498392852132383e-08,8.55305515301552e-09
1880,2.1820676820993867e-08,1.0910338410496934e-08
1881,2.2312024228199334e-08,2.5798277292210514e-08
1882,4.326000402343766e-08,7.320923423037584e-09
1883,4.044376772371905e-08,1.4534479397809719e-08
1884,3.300848305798354e-08,9.902545450302114e-09
1885,3.7384687345820566e-08,1.8692343672910283e-08
1886,3.033127882190456e-08,7.098810428374236e-09
1887,2.2198344495905076e-08,1.6322312390570914e-08
1888,3.804368731152863e-08,6.340614699951175e-09
1889,2.944614241329191e-08,1.1903759755682586e-08
1890,9.831579994568074e-09,1.1797895993481688e-08
1891,1.6572972327821844e-08,1.0198752065093686e-08
1892,2.8835156484774416e-08,1.3790726782758611e-08
1893,2.278614097406262e-08,1.0469308087124318e-08
