year,trop_ADV ouvert_VERB
1800,1.8864987794131594e-08
1801,2.6193008650921e-08
1802,2.2378401354217203e-09
1803,2.3404069793286908e-08
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,2.881669125542885e-09
1807,2.2775640928784924e-08
1808,2.2660739062985158e-08
1809,2.259030518203531e-09
1810,4.212228077449254e-08
1811,0.0
1812,5.3344164641089264e-09
1813,2.300593315851529e-08
1814,3.1466772298927026e-08
1815,0.0
1816,4.4034472068688046e-08
1817,2.490997452753163e-08
1818,1.3113295338484932e-08
1819,7.24573512300708e-09
1820,1.898636980968149e-08
1821,3.35290586406245e-08
1822,4.912551787583652e-08
1823,5.830785099192326e-08
1824,3.452656116564867e-08
1825,6.163809906922779e-09
1826,1.4973572604048968e-08
1827,3.133872894522938e-08
1828,2.4765213879618386e-08
1829,2.914879893012312e-08
1830,1.1480519646056564e-08
1831,3.1182412207897414e-09
1832,6.764984572527055e-09
1833,2.3167256557599103e-08
1834,1.120143711119681e-08
1835,1.9664028627630614e-08
1836,9.409050427677812e-09
1837,1.7394727436226276e-08
1838,5.049729523420865e-09
1839,4.194885327990505e-09
1840,8.280594876453051e-09
1841,1.6693427085101575e-08
1842,1.475818312002275e-08
1843,1.1223130869097986e-08
1844,6.586273748609983e-09
1845,1.0044410636567136e-08
1846,4.0981511517657054e-09
1847,1.6179670936367074e-08
1848,2.735375304041554e-08
1849,1.0893239199560867e-08
1850,8.146795238417326e-09
1851,1.6768540334055615e-08
1852,9.114764054629632e-09
1853,5.971931837933653e-09
1854,1.246959496770117e-08
1855,1.8043586180738203e-08
1856,2.1226476576430287e-08
1857,1.6597130780837688e-08
1858,1.6149130865894534e-08
1859,1.2221216039165483e-08
1860,4.119465657481669e-09
1861,5.187560159214399e-09
1862,2.5752521892741242e-08
1863,3.995696662428827e-09
1864,6.233146443435089e-09
1865,2.7770381549885315e-08
1866,6.811858188626729e-09
1867,1.164674756637396e-08
1868,1.778354707937524e-08
1869,1.0255390314739543e-08
1870,5.734048791339319e-09
1871,1.0621176826930423e-08
1872,1.0280476914203973e-08
1873,1.2570609442263958e-08
1874,2.0313670745508716e-08
1875,2.1169650921137873e-08
1876,2.5997863417615008e-08
1877,1.855444864418132e-08
1878,3.140326043649111e-08
1879,2.3826368433788048e-08
1880,2.3104245627791897e-08
1881,6.9725074602899895e-09
1882,9.983077475794744e-09
1883,8.21514056781325e-09
1884,1.4523733327109767e-08
1885,1.740321664556177e-08
1886,1.8069698626277386e-08
1887,1.8933882017790893e-08
1888,1.268122939990235e-08
1889,1.7542383545787743e-08
1890,1.5075089621063853e-08
1891,1.9122660788184476e-08
1892,2.3193495124473884e-08
1893,1.1085149687062312e-08
1894,2.2685540557176864e-08
1895,2.467631965430428e-08
1896,2.948514543632541e-09
1897,1.1070755867592652e-08
1898,1.810673566637888e-08
1899,1.713549302451156e-08
1900,1.142031713641245e-08
1901,2.2913829056392387e-08
1902,1.7677022512430085e-08
1903,1.1340463013098656e-08
1904,1.3436562973367927e-08
1905,2.4255568220610257e-08
1906,1.697580892523476e-08
1907,1.4399961223432456e-08
1908,1.817213934884876e-08
1909,1.430255680556769e-08
1910,1.2825961626106164e-08
1911,1.702519725199636e-08
1912,2.9693701164568154e-08
1913,2.4393752795504042e-08
1914,1.4063162190325329e-08
1915,1.4136913861761968e-08
1916,1.0987461607214755e-08
1917,2.0836205649743533e-08
1918,3.331049214239101e-08
1919,3.498982437122322e-08
1920,2.8017257847068322e-08
1921,1.6660044011018726e-08
1922,1.9920426197472807e-08
1923,1.8047111804975202e-08
1924,1.933743609683347e-08
1925,1.3197813508725176e-08
1926,1.0031524610987219e-08
1927,6.689535148041159e-09
1928,1.82816659588525e-08
1929,6.684243825105796e-09
1930,1.3654684494213143e-08
1931,2.8513390759599133e-08
1932,2.30150272173546e-08
1933,2.867665571670841e-08
1934,2.036868629318178e-08
1935,7.180970484910176e-09
1936,7.274828739411987e-09
1937,2.6441348666139675e-08
1938,9.075650453382877e-09
1939,2.2941076593951948e-08
1940,7.607348528892999e-09
1941,2.3612020783048138e-08
1942,1.2136847082899749e-08
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,2.832055301382752e-08
1946,1.5313215584455975e-08
1947,1.3112957830685446e-08
1948,1.1959077061973744e-08
1949,1.2762110479513922e-08
1950,1.0635361036293034e-08
1951,7.462981344019681e-09
1952,8.435843135146115e-09
1953,1.1851209791302608e-08
1954,1.3681550115052232e-08
1955,2.5341140741375057e-08
1956,1.1337483840634377e-08
1957,2.2087593976038988e-08
1958,2.2335056470978998e-08
1959,1.007597205671118e-08
1960,1.3841667145797487e-08
