year,beaucoup_ADV osé_VERB,beaucoup_ADV causé_VERB
1800,0.0,6.288328968651058e-09
1801,2.1430643926123594e-08,4.7623651688866175e-09
1802,0.0,5.147032311469957e-08
1803,0.0,2.9255089017965474e-08
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,5.4751712497136396e-08
1807,0.0,2.8469551160981155e-09
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,0.0,2.0331274441787173e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,3.467370746079723e-08
1813,0.0,1.1502966579257645e-08
1814,2.8320094713762956e-08,0.0
1815,2.697223555614414e-09,1.8880564667256294e-08
1816,0.0,0.0
1817,7.784366928831332e-09,2.1796227045456362e-08
1818,3.5763532135746345e-09,6.079800130009971e-08
1819,0.0,2.070210003424222e-09
1820,0.0,2.4919611263385377e-08
1821,5.9168927535324656e-09,1.577838126820552e-08
1822,3.0076847679083585e-09,2.606660132187244e-08
1823,0.0,8.499110748516614e-08
1824,8.421112696055388e-09,7.831634718513669e-08
1825,8.805443041381977e-10,3.9624492131906663e-08
1826,1.2331177856594877e-08,2.4662355713189754e-08
1827,9.217273055917019e-10,2.5808365222701468e-08
1828,4.586150570418113e-09,1.7427371545863934e-08
1829,2.571952872898464e-09,3.257806824308318e-08
1830,2.0873671680021744e-09,7.410153557430021e-08
1831,6.236482441579483e-09,6.080570513766759e-08
1832,0.0,2.3000948701223933e-08
1833,1.1583628500844156e-09,1.0425265983826648e-08
1834,0.0,4.853955992700776e-08
1835,5.294161553592858e-09,2.647080776796429e-08
1836,1.344150035720304e-08,1.8818100855355624e-08
1837,9.74104708006962e-09,2.6439986200443855e-08
1838,3.787297142565649e-09,1.5780404538645598e-08
1839,5.5931801412612e-09,1.957613093850341e-08
1840,9.554533164646273e-09,1.273937771939515e-08
1841,1.4125206782011901e-08,2.953452238330101e-08
1842,3.3541325272778977e-09,3.7566284305512454e-08
1843,4.134837805480629e-09,2.0674189471492355e-08
1844,1.2074834465636286e-08,7.683985892015244e-09
1845,1.9530798311961917e-08,7.812318791877715e-09
1846,1.3465353276842507e-08,1.6978054517835517e-08
1847,4.853901280910122e-09,1.7258315665458213e-08
1848,8.84974404868899e-09,4.424871846708811e-08
1849,2.513824481908955e-09,7.54147322368226e-09
1850,1.0183494048021657e-08,4.752297044774423e-08
1851,3.8696632564949596e-09,1.2253933867611977e-08
1852,1.7578472011337e-08,1.8880582430824688e-08
1853,3.5831591027601917e-09,1.851298847554972e-08
1854,8.313063126763609e-09,5.195664343204953e-08
1855,2.1227748447927297e-08,4.2986190607052777e-08
1856,1.5531567143511893e-09,2.019103817474388e-08
1857,5.857811125054013e-09,3.270611159678083e-08
1858,7.34051397444091e-09,3.034079298913639e-08
1859,1.8331824946926645e-08,5.754155907311542e-08
1860,9.15436793036406e-09,5.53839250017063e-08
1861,1.3204698667834691e-08,2.87673795895671e-08
1862,8.132375661773494e-09,5.511943260150254e-08
1863,1.548332484446746e-08,6.493007020935693e-08
1864,1.582260189536555e-08,3.691940619887646e-08
1865,8.47231973466478e-09,4.565638889175716e-08
1866,1.702964524952222e-08,6.227984528095476e-08
1867,8.249779526181555e-09,3.202855580752839e-08
1868,5.433861360870651e-09,2.222943251695142e-08
1869,8.790334682373668e-09,3.2231227464762924e-08
1870,1.1468097582678638e-08,4.4152177025580386e-08
1871,5.3105884134652115e-09,2.8677177965619194e-08
1872,1.814201766592305e-08,5.382132073350476e-08
1873,2.9930022904522957e-09,2.573981916498269e-08
1874,1.1949218281515073e-09,5.377148326601855e-08
1875,5.721527251978387e-09,4.005068987567029e-08
1876,3.627608879952504e-09,6.106474614853141e-08
1877,8.040260901509555e-09,1.1132669008873108e-08
1878,6.039088673581716e-10,3.804625947623208e-08
1879,3.665595160740054e-09,2.1382637882538802e-08
1880,5.776061406947974e-09,4.8775632421893533e-08
1881,1.6036766581351003e-08,6.554157266913663e-08
1882,1.4641846846075168e-08,5.923292789589141e-08
1883,1.3270612164717477e-08,1.2765065093844896e-07
1884,1.3203393933736152e-08,7.261866841190567e-08
1885,9.023890079618013e-09,3.222817768211428e-08
1886,9.034849313138693e-09,4.1947515683204983e-08
1887,1.9586774424595887e-09,3.982643903555072e-08
1888,9.510921827882157e-09,4.56524276160053e-08
1889,2.0674951528576457e-08,8.019375030698939e-08
1890,1.3108772733971819e-08,5.046877760150892e-08
1891,1.2748440081367107e-09,3.569563133964948e-08
