year,trop_ADV analyser_VERB
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,1.5664880947952042e-08
1803,1.3652374342143503e-08
1804,2.4718509461507665e-09
1805,0.0
1806,1.729001475325731e-08
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,0.0
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.2454987263765815e-08
1818,1.1921176934492905e-08
1819,5.175524897538253e-09
1820,2.3732962262101864e-09
1821,6.903041693817613e-09
1822,1.0025615893027862e-09
1823,0.0
1824,5.894778887238772e-09
1825,3.522177216552791e-09
1826,8.807984341885344e-10
1827,1.8434546111834038e-09
1828,0.0
1829,7.715858174606183e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,3.4957374772659477e-09
1840,0.0
1841,4.494383976094696e-09
1842,2.0124795163667386e-09
1843,4.134837805480629e-09
1844,7.683985892015244e-09
1845,0.0
1846,1.1709002656346001e-09
1847,0.0
1848,3.218088684420195e-09
1849,1.5920887719289567e-08
1850,1.3577992064028876e-09
1851,1.1608989325395669e-08
1852,6.510545436100301e-10
1853,7.166318205520383e-09
1854,1.0391328908454511e-09
1855,1.0613874223963649e-09
1856,3.6240324075009767e-09
1857,3.4170564155999728e-09
1858,2.4468380654951716e-09
1859,0.0
1860,0.0
1861,2.357981809808507e-09
1862,9.035972525772706e-10
1863,1.4983863039219614e-09
1864,1.4384183844029508e-09
1865,9.41368871743009e-10
1866,3.8924903300596725e-09
1867,4.367530337390235e-09
1868,5.9278488784286765e-09
1869,4.395167341186834e-09
1870,1.7202146374017957e-09
1871,3.18635318130589e-09
1872,5.442605477412599e-09
1873,5.986004469882289e-10
1874,2.9873046258899194e-09
1875,5.721527140956084e-10
1876,6.04601479992084e-09
1877,7.421779191219002e-09
1878,0.0
1879,6.109325489944695e-09
1880,3.8507077526617195e-09
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,9.479008689083912e-09
1884,6.601696966868076e-10
1885,6.445635691854079e-10
1886,4.5174246565693466e-09
