year,beaucoup_ADV oser_VERB,beaucoup_ADV causer_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,4.3136125782439194e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,5.394447111228828e-09
1816,2.3176038865813098e-08,1.3905623319487859e-08
1817,2.1796227045456362e-08,0.0
1818,5.960588467246453e-09,0.0
1819,0.0,9.315945348475907e-09
1820,0.0,0.0
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,6.917880934764753e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,3.522177216552791e-09,1.2327619813845558e-08
1826,8.807984341885344e-10,0.0
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,2.2930752408001354e-08,1.7427371545863934e-08
1829,2.4004892296147773e-08,5.143905745796928e-09
1830,1.878630406793036e-08,1.3567886369969528e-08
1831,2.0268567268999504e-08,2.9623292263636358e-08
1832,2.705993873419743e-09,2.705993873419743e-09
1833,1.1583628278799551e-08,1.0425265983826648e-08
1834,1.120143711119681e-08,3.733812370398937e-09
1835,1.285724948729694e-08,6.050470346963266e-09
1836,1.8818100855355624e-08,6.048674894287842e-09
1837,4.87052354003481e-09,3.478945576063097e-09
1838,1.0730675015224733e-08,3.1560809521380406e-09
1839,1.1885507689157748e-08,6.9914751765765e-10
1840,2.293087852933695e-08,6.369688665408546e-10
1841,1.4125206782011901e-08,1.1556987367100646e-08
1842,2.817471411731276e-08,2.0124795163667386e-09
1843,3.18973185642335e-08,8.269675610961258e-09
1844,3.2382512671347286e-08,4.9397050894128824e-09
1845,3.2923345827384765e-08,7.812318791877715e-09
1846,3.2785209214125643e-08,1.1709002656346001e-09
1847,8.629157832729106e-09,1.0786447290911383e-09
1848,1.689496542667257e-08,2.413566457803995e-09
1849,2.3462362719328667e-08,3.3517659758786067e-09
1850,2.0366988096043315e-08,3.394498016007219e-09
1851,2.1283147688677673e-08,3.2247193804124663e-09
1852,1.4323200403509873e-08,7.812654523320361e-09
1853,1.4929829816878737e-08,2.269334054005867e-08
1854,1.1950028522278444e-08,3.117398783558656e-09
1855,1.5920811335945473e-08,1.326734277995456e-08
1856,9.836659486950339e-09,1.5531567143511893e-09
1857,2.7336451324799782e-08,5.369659827891837e-09
1858,2.5447114637699997e-08,1.0276719919488642e-08
1859,2.800695320104296e-08,8.147477359443656e-09
1860,1.9224172476128842e-08,6.408057640072684e-09
1861,2.6409397335669382e-08,5.187560159214399e-09
1862,5.0149647989883306e-08,1.355395884417021e-08
1863,2.1976331865403154e-08,9.989241434027463e-09
1864,7.1920918109924514e-09,6.233146443435089e-09
1865,9.413688495385486e-09,3.294791106611683e-09
1866,1.8489329178805747e-08,2.432806400776144e-09
1867,9.7056229719783e-09,5.338092634588065e-09
1868,2.5687345583946808e-08,4.939874287401835e-09
1869,1.2697149998075474e-08,1.0255390314739543e-08
1870,2.3509599600401998e-08,1.834895613228582e-08
1871,3.292564798584863e-08,8.496941816815706e-09
1872,7.256807155187062e-09,8.4662747923403e-09
1873,1.3767810003173508e-08,1.3169209722718733e-08
1874,1.7923827755339516e-08,1.0754296120296658e-08
1875,3.432916173551348e-09,1.830888685105947e-08
1876,3.748529309177684e-08,9.069021977836655e-09
1877,3.3398006138440905e-08,1.0514186854493346e-08
1878,2.2344627481629686e-08,6.6429977074733415e-09
1879,2.3826368433788048e-08,7.94212251520321e-09
1880,1.2835692508872398e-08,1.4119262203848848e-08
1881,9.761510710859511e-09,6.9725074602899895e-09
1882,2.861815673327328e-08,7.320923423037584e-09
1883,9.479008689083912e-09,2.1485751844352308e-08
1884,1.650424152899177e-08,3.9610181801208455e-09
1885,2.4493415295978593e-08,1.6758653131887513e-08
1886,8.38950331427668e-09,1.677900662855336e-08
1887,2.0239665943222462e-08,9.140494583448344e-09
1888,1.775372027168487e-08,3.804368819970705e-09
1889,3.132568426877924e-09,1.7542383545787743e-08
1890,1.7041404731799048e-08,8.520702365899524e-09
1891,1.2748440525456317e-08,6.3742202627281586e-09
1892,1.191017329205124e-08,9.402768341715273e-09
1893,8.621783287310336e-09,8.621783287310336e-09
1894,6.9316934414587195e-09,1.0082462864602348e-08
1895,2.166701307260155e-08,1.444467478961542e-08
1896,1.8870492723976895e-08,5.897029087265082e-09
1897,9.322741689743452e-09,8.157399200570126e-09
1898,5.092519295146758e-09,2.093591255913907e-08
1899,1.2713430308508578e-08,1.4371703827009696e-08
1900,7.786579381274805e-09,8.824790675987515e-09
1901,2.235495566438317e-09,1.1736351446245408e-08
1902,1.4730852093691738e-09,2.2096276808269977e-08
1903,4.320176216765503e-09,1.674068350610014e-08
1904,1.1824175416563776e-08,1.3974025492302644e-08
1905,5.160758931310738e-09,9.805441791854719e-09
1906,6.173021205313489e-09,8.230695236477459e-09
1907,8.742834012309686e-09,4.6285588695127444e-09
1908,4.4202499438483756e-09,1.7189861978295085e-08
1909,2.2003934230241384e-09,1.320236009405562e-08
1910,1.336037680488289e-08,8.550641084070776e-09
1911,1.3832972989291648e-08,8.51259862599818e-09
1912,1.1981668990301841e-08,2.135862686714063e-08
1913,3.71209285532359e-09,1.1666577037772186e-08
1914,0.0,7.366418142140674e-09
1915,4.712304768617059e-09,1.1780762143587253e-08
1916,5.493730803607377e-09,6.592477230782379e-09
1917,3.289927441585405e-09,1.0966424435210342e-09
1918,9.189101035644853e-09,4.594550517822427e-09
1919,9.207848372660976e-10,7.366278698128781e-09
1920,5.300562211374427e-09,9.843901693784574e-09
1921,1.817459427400081e-08,6.058197943303867e-09
1922,0.0,1.1804696775641332e-08
1923,4.246379248229459e-09,5.307974060286824e-09
1924,1.4180787211159895e-08,1.675911143195208e-08
1925,2.1996355847875293e-09,8.798542339150117e-09
1926,5.57306911730393e-09,1.671920735191179e-08
1927,0.0,1.1149224654616319e-08
1928,5.713020723163709e-09,9.14083297942625e-09
1929,4.4561625500705304e-09,1.4482528065684619e-08
1930,4.201441416995522e-09,1.6805765667982087e-08
1931,9.124285327288817e-09,4.5621426636444085e-09
1932,4.383814644626227e-09,1.4247397928102146e-08
1933,2.2941324395731044e-09,5.735331320977366e-09
1934,0.0,9.585264137967897e-09
1935,3.590485242455088e-09,9.574627313213568e-09
1936,2.424942913137329e-09,7.274828739411987e-09
1937,1.2591118148108649e-09,3.777335333410292e-09
1938,3.8895642262559704e-09,3.8895642262559704e-09
1939,1.5294050470515685e-09,7.647025235257843e-09
1940,0.0,5.0715658339584024e-09
1941,0.0,1.7709016475464523e-08
1942,0.0,1.2136847082899749e-08
1943,8.709705845433291e-09,1.4516175816936538e-08
1944,9.639558484764166e-09,1.6065930807940276e-08
1945,2.178504043826024e-09,4.357008087652048e-09
1946,6.960552134671616e-09,8.352662561605939e-09
1947,0.0,7.152522574216391e-09
1948,3.2615663503321457e-09,1.195907639583993e-08
1949,9.817008317369869e-10,3.9268033269479474e-09
1950,6.381216888229346e-09,4.2541445921528975e-09
1951,3.1984206394497505e-09,7.462981344019681e-09
1952,3.1634410646574906e-09,3.1634410646574906e-09
1953,0.0,2.1547654771580937e-09
1954,9.772536113672459e-10,1.2704297169818801e-08
1955,2.815682353940474e-09,1.220129064449793e-08
1956,0.0,5.232684952005684e-09
1957,1.7670075402875796e-09,1.7670075402875796e-09
1958,3.3088973783179654e-09,9.099467845885556e-09
1959,7.750747821333448e-10,9.300897829689347e-09
1960,6.920833350854139e-10,7.612916519406099e-09
1961,1.3896318540318475e-09,6.94815938118154e-09
1962,2.5367825617905737e-09,8.244543714397423e-09
1963,1.2932106496776896e-09,2.5864212993553792e-09
1964,4.258777774879263e-09,7.909158661334459e-09
1965,6.5664522708175355e-09,2.73602163147757e-09
1966,6.092982118843793e-09,1.6617224263271169e-09
1967,2.465167847631733e-09,2.9582012395223956e-09
1968,4.042274071025531e-09,4.940557296606585e-09
1969,5.904285060864822e-09,3.1792304344691047e-09
1970,1.3796175313274261e-09,7.3579600190498695e-09
1971,3.5968783507200897e-09,5.138397263237948e-09
1972,5.130146973897354e-09,6.156176013405457e-09
1973,2.205281512956958e-09,7.1671650836435674e-09
1974,1.6876715580593782e-09,5.06301445213353e-09
1975,1.1422960355389478e-09,6.282628195464213e-09
1976,0.0,5.713526873840635e-10
1977,2.3507127355770763e-09,2.3507127355770763e-09
1978,1.7821774056514528e-09,1.7821774056514528e-09
1979,2.3407893401383717e-09,5.851973128301324e-09
1980,1.1370301367108482e-09,3.411090521154847e-09
1981,1.2651099057237047e-09,3.1627747087981106e-09
1982,6.207502289967692e-10,3.1037510339615437e-09
1983,4.4207211225000265e-09,4.4207211225000265e-09
1984,0.0,1.1598016991243298e-09
1985,6.015558051686298e-10,6.015558051686298e-10
1986,1.7983456945813714e-09,1.1988970927134801e-09
