year,trop_ADV ouverts_ADJ,trop_ADV couverts_ADJ
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.524246932646747e-08,4.7623651688866175e-09
1802,3.5805442166747525e-08,2.0140561218795483e-08
1803,3.705644502360883e-08,1.755305234496518e-08
1804,3.213406074564773e-08,2.4718509905596875e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,6.547996633798903e-08,8.540865792383556e-09
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,1.581321384946932e-08,2.710836710662079e-08
1810,1.4040760554223652e-08,6.084329839950442e-08
1811,1.3036799373367103e-07,1.0028307073639553e-08
1812,4.267533171287141e-08,0.0
1813,2.0130190847567064e-08,8.627225156487839e-09
1814,1.8880061958270744e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,1.2454987263765815e-08,1.5568733857662664e-08
1818,3.5763532135746345e-09,1.9073883805731384e-08
1819,3.1053151161586356e-09,6.210630232317271e-09
1820,1.3053129244156025e-08,1.1866481131050932e-09
1821,7.88919063410276e-09,8.875339574387908e-09
1822,1.303330066093622e-08,2.5064039732569654e-08
1823,2.174191138237802e-08,4.941343334508019e-09
1824,3.115811608722652e-08,2.2737005167527968e-08
1825,6.163809906922779e-09,7.924898959288385e-09
1826,1.145037931138404e-08,1.3211976401805714e-08
1827,4.608636583469661e-09,3.6869092223668076e-09
1828,7.337841001486822e-09,5.503380862137419e-09
1829,5.143905745796928e-09,6.001223074036943e-09
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,6.236482441579483e-09,3.1182412207897414e-09
1832,1.6235963684607668e-08,0.0
1833,6.950177322551099e-09,2.20088942626262e-08
1834,1.213489042584115e-08,4.667265685043276e-09
1835,9.832014313815307e-09,1.1344631900556124e-08
1836,2.2178475944656384e-08,2.688300027031687e-09
1837,7.653680356156656e-09,6.957891152126194e-09
1838,6.943378316748294e-09,1.199310784016916e-08
1839,1.1885507689157748e-08,6.9914749545318955e-09
1840,1.9109066329292546e-08,1.2102408852854296e-08
1841,1.4767261191650505e-08,1.2841097074556274e-09
1842,8.720745015011744e-09,7.379091560011375e-09
1843,1.2995204023980023e-08,1.1223130869097986e-08
1844,1.2074834465636286e-08,1.0428266250528395e-08
1845,1.2276501593078137e-08,4.464182357111213e-09
1846,1.1709002656346001e-08,6.439951683034906e-09
1847,2.3190860787281053e-08,4.853901280910122e-09
1848,3.459445352405055e-08,4.82713291560799e-09
1849,1.9272654583346593e-08,5.865590679832167e-09
1850,7.467895635215882e-09,3.394498016007219e-09
1851,8.384270167027807e-09,5.159551008659946e-09
1852,5.208436348880241e-09,1.3021090872200602e-09
1853,5.971931837933653e-09,7.166318205520383e-09
1854,2.8056588163849483e-08,5.7152309551611324e-09
