year,en_ADP yeux_NOUN,en_ADP lieu_NOUN
1800,3.144164484325529e-09,1.3142607819816021e-06
1801,1.6668277424969347e-08,1.8906589307476906e-06
1802,4.475680270843441e-09,2.4213429696828825e-06
1803,7.801356893821776e-09,1.7475039157943684e-06
1804,0.0,2.9983552991552642e-06
1805,2.842877711017877e-09,3.3972388706615675e-06
1806,2.881669125542885e-09,1.9480083084388866e-06
1807,5.693910232196231e-09,1.6768566126756923e-06
1808,4.5321479902327155e-09,1.9669521975629323e-06
1809,0.0,1.5135504156660318e-06
1810,0.0,1.436837781199074e-06
1811,0.0,2.309017627766252e-06
1812,2.6672082320544632e-09,1.2615894373624315e-06
1813,2.8757416448144113e-09,1.2566990541529321e-06
1814,0.0,1.8565394679370684e-06
1815,0.0,1.2164478384590893e-06
1816,0.0,1.3233517925925753e-06
1817,1.0898113522728181e-08,1.712560724342893e-06
1818,1.1921177378582115e-09,1.839437686612655e-06
1819,1.035105001712111e-09,1.7369062197403196e-06
1820,5.933240565525466e-09,3.561130991869277e-06
1821,3.94459531705138e-09,3.028462959520084e-06
1822,1.0025615893027862e-09,3.8077288451177083e-06
1823,3.854247765389118e-08,6.4158401471559046e-06
1824,3.2000230021367315e-08,4.7596130059446295e-06
1825,7.044354433105582e-09,3.5644433964421296e-06
1826,8.807984341885344e-10,4.441866686022422e-06
1827,5.530363722527909e-09,2.7126434805069266e-06
1828,1.8344602503717056e-09,2.2573033291450884e-06
1829,2.571952872898464e-09,2.2856087191769348e-06
1830,1.1480519646056564e-08,2.0769303787915305e-06
1831,3.1182412207897414e-09,2.528893674025312e-06
1832,1.6235963684607668e-08,1.6005953771269787e-06
1833,0.0,2.1557132798832868e-06
1834,4.667265685043276e-09,2.2626902662636894e-06
1835,3.781543966852041e-09,3.3784313231421947e-06
1836,7.392825018825988e-09,4.957225286261746e-06
1837,7.653680356156656e-09,4.293018506018598e-06
1838,4.418513555037862e-09,5.470750572555971e-06
1839,6.9914751765765e-10,3.3566073014412723e-06
1840,2.5478754661634184e-09,3.396317922010894e-06
1841,0.0,3.051044739521558e-06
1842,1.0733224087289273e-08,2.745022086969584e-06
1843,3.544146642830981e-09,2.8884796101635857e-06
1844,8.232841963717874e-09,2.9539436532388663e-06
1845,2.790113973194508e-09,2.3431376234839263e-06
1846,2.9272506640865004e-09,3.1069839536712607e-06
1847,1.0786447290911383e-09,3.166900981455001e-06
1848,1.6090443422100975e-09,3.288886579966288e-06
1849,4.1897072478036534e-09,2.678060905481061e-06
1850,6.788996032014438e-09,3.943727836741573e-06
1851,2.579775504329973e-09,3.4033687938972434e-06
1852,7.812654523320361e-09,2.8796142395037805e-06
