year,un_DET amas_NOUN,un_DET lama_NOUN
1800,4.320081934849895e-06,9.432493186523061e-08
1801,3.312225004492575e-06,2.857419034718589e-08
1802,3.7349550723320135e-06,1.3427040812530322e-08
1803,3.896777691636544e-06,1.950339223455444e-09
1804,3.3221676574157755e-06,3.4605911691798497e-08
1805,3.4569392539651744e-06,6.254331075261632e-08
1806,3.1698359634901863e-06,2.0171683878800195e-08
1807,2.656209041163038e-06,3.9857373401730456e-08
1808,3.3447252150153872e-06,1.0650547643820119e-07
1809,2.986438317975626e-06,1.8072244367672852e-08
1810,3.353401652361754e-06,9.360507036149102e-09
1811,2.7402350042393664e-06,6.267691787797958e-08
1812,3.387354496453554e-06,1.3336041604361526e-08
1813,3.640688959194449e-06,3.4508900625951355e-08
1814,2.630622084609513e-06,4.405347908686963e-08
1815,3.3391627445311656e-06,2.4275011778485123e-08
1816,3.0430139830173175e-06,1.1588019432906549e-08
1817,3.2087162011862347e-06,3.1137467937369934e-08
1818,3.5024419346996183e-06,2.2650237241350624e-08
1819,3.283352967287101e-06,3.2088255608186955e-08
1820,3.252602368775115e-06,6.645229522206364e-08
1821,3.307543089192677e-06,2.1695274465827197e-08
1822,2.710926565896443e-06,1.1028177482330648e-08
1823,2.4518946943885567e-06,1.581229902569703e-08
1824,2.315805879504751e-06,3.2842339514616015e-08
1825,2.771953415248163e-06,5.459374730065747e-08
1826,2.7445679364745956e-06,5.725189922145546e-08
1827,2.685913422340036e-06,3.327435642574983e-07
1828,2.430659804986135e-06,1.559291185060374e-08
1829,2.724555336897083e-06,4.715246826325625e-08
1830,2.6373885049224555e-06,9.914994092419249e-08
1831,2.572548918777784e-06,7.327867024287116e-08
1832,3.38925743648133e-06,4.60018942938234e-08
1833,3.109045930926868e-06,8.919394023365612e-08
1834,2.547393407326126e-06,3.82715767965891e-08
1835,3.048680696338124e-06,9.302598158456021e-08
1836,2.331428277102532e-06,1.4113575141916357e-08
1837,2.438740771992798e-06,4.1051556820548285e-08
1838,2.4049337561393713e-06,2.9035945647848393e-08
1839,2.0114475045573954e-06,1.957613005032499e-08
1840,2.130023936786074e-06,7.643626387388025e-08
1841,2.503371867135229e-06,3.5955071808757566e-08
1842,2.1996402068680254e-06,1.2745704047745221e-08
1843,2.653975130328945e-06,4.430183342396532e-08
1844,2.1970710193386367e-06,1.7563396348396765e-08
1845,1.9675884210812455e-06,2.7901139620922777e-08
1846,2.259252120495603e-06,3.2199756860862294e-08
1847,2.022998291550948e-06,6.417936226910115e-08
1848,2.300128898014009e-06,1.263099846937621e-07
1849,1.9415104368647462e-06,8.21182679633381e-08
1850,2.050955703936097e-06,3.6932138502976386e-07
1851,2.1773305469707793e-06,5.5465172676960606e-08
1852,2.2109811368409282e-06,2.0833745395520964e-08
1853,2.4001193530409637e-06,1.331740815402327e-07
1854,2.2273813051754132e-06,6.130884211419385e-08
1855,2.033618233809875e-06,5.73149208094037e-08
1856,1.969920415234583e-06,6.67857413816364e-08
1857,2.2215748387566236e-06,6.492407239599984e-08
1858,2.195792337289504e-06,6.166031818466422e-08
1859,2.168756651599324e-06,3.4626778777635536e-08
1860,2.1695851053493698e-06,4.302552958357353e-08
1861,2.1886787280323006e-06,5.093240940112764e-08
1862,2.2612521632936478e-06,3.840288489986854e-08
1863,2.0218225138535217e-06,3.09666488007565e-08
1864,2.325922565660221e-06,6.233146354617247e-08
1865,2.28046602046561e-06,9.46075734420404e-08
1866,2.4162633422974977e-06,1.508339997347008e-08
1867,2.2997473720920425e-06,1.455843445796745e-08
1868,2.190340126162482e-06,4.44588676984381e-08
1869,2.478874218780902e-06,3.662639391777134e-08
1870,2.3308908509989124e-06,2.8096839521651873e-08
1871,2.546958199900473e-06,2.8677178853797614e-08
1872,2.288313186937785e-06,2.7817760539505798e-08
1873,2.600919007278435e-06,2.3944018767707576e-08
1874,2.395818356148993e-06,2.0911131826117924e-08
1875,2.8830774780885804e-06,4.005068943158108e-08
1876,2.880321492426674e-06,4.655431262712284e-08
1877,2.653904651594985e-06,8.163956888296298e-08
1878,2.6384778024635125e-06,5.314398210387594e-08
1879,2.6948234506107838e-06,4.5209006094282245e-08
1880,2.544034366280812e-06,4.749206072851564e-08
1881,2.551240513071207e-06,1.8825770653485563e-07
1882,2.821883274606307e-06,4.791877183940585e-08
1883,2.4013487731622263e-06,4.6131175601704655e-08
1884,2.7258407584440647e-06,3.895001121634323e-08
1885,2.369415625480542e-06,2.6427105892512515e-08
1886,2.290979603358778e-06,2.1941777506029325e-08
1887,2.316462357043747e-06,3.721487074059837e-08
1888,2.2940344166499926e-06,2.853276592773568e-08
1889,2.1796410862862103e-06,2.1301465202849812e-08
1890,2.110512497210948e-06,1.704140528691056e-08
1891,2.25774877193885e-06,6.820415299202409e-08
1892,2.2585451091572395e-06,4.638699180326e-08
1893,2.6388814902134072e-06,3.571881590502812e-08
1894,2.6687019207827234e-06,4.537108355684438e-08
1895,2.200405550212281e-06,2.76856257919178e-08
