year,ton_DET livre_NOUN
1800,1.0375742576229641e-07
1801,6.191074786165984e-08
1802,9.175144555229053e-08
1803,8.191424694103944e-08
1804,1.2606439270257397e-07
1805,1.0802935346276854e-07
1806,1.1238509589617252e-07
1807,3.985737118128441e-08
1808,1.2236799351583727e-07
1809,4.2921579401777876e-08
1810,1.9423051522693413e-07
1811,1.6045291317823285e-07
1812,1.2269157556588084e-07
1813,5.1763349162570194e-08
1814,4.405347908686963e-08
1815,6.473336533474594e-08
1816,5.5622491501594595e-08
1817,8.718491084636071e-08
1818,7.867977314113261e-08
1819,9.419455260228915e-08
1820,5.458581320283429e-08
1821,1.3510238972003208e-07
1822,8.72228582693424e-08
1823,5.4354778122878145e-08
1824,1.1115868758793113e-07
1825,6.692136711450303e-08
1826,8.719904776022247e-08
1827,7.558163694909581e-08
1828,5.3199348259980184e-08
1829,6.944272756825853e-08
1830,7.097048082549406e-08
1831,1.808579912498942e-07
1832,9.065079398240528e-08
1833,1.3437008750116775e-07
1834,9.05449493160404e-08
1835,1.2479095801154472e-07
1836,1.1895727403121725e-07
1837,1.0436836506144687e-07
1838,1.1425012869104023e-07
1839,5.942753800169953e-08
1840,1.0446289255838792e-07
1841,9.695028557743512e-08
1842,1.1538215716200284e-07
1843,1.3113342434145636e-07
1844,7.683986025242007e-08
1845,8.202935242174192e-08
1846,1.0128287186716989e-07
1847,5.662884827728476e-08
1848,9.171552561859642e-08
1849,7.122502454492974e-08
1850,6.517436546005229e-08
1851,5.997977980953806e-08
1852,1.1458559701083004e-07
1853,8.420423780464148e-08
1854,1.0599155730872667e-07
1855,1.1356845774912472e-07
1856,9.57780000865327e-08
1857,1.3131259213317037e-07
1858,1.4240597678849554e-07
1859,1.201752903856601e-07
1860,1.5379338413890054e-07
1861,1.2921740655258418e-07
1862,1.2650361647104091e-07
1863,1.1387735227019746e-07
1864,1.6158233018259693e-07
1865,1.317916431542443e-07
1866,1.1823439083347154e-07
1867,1.038501693528815e-07
1868,7.953197156407299e-08
1869,8.448488375556451e-08
1870,1.055064990929111e-07
1871,1.380752983060063e-07
1872,1.1973731961489875e-07
1873,1.2810049732081552e-07
1874,8.424199060552695e-08
1875,1.5333693248464897e-07
1876,9.431782777014064e-08
1877,1.3421051325845923e-07
1878,1.443342252382962e-07
1879,1.6556271986711835e-07
1880,1.2835692886348227e-07
1881,8.855084487890963e-08
1882,1.171347818740287e-07
1883,1.3712965973855518e-07
1884,1.8286700687042412e-07
1885,9.603997330742686e-08
1886,1.3035996992982746e-07
1887,9.923965249569733e-08
1888,8.24279924316329e-08
1889,1.052542941692991e-07
1890,9.307229120736338e-08
1891,9.561329772367344e-08
1892,1.0468415823083888e-07
1893,1.016138722054194e-07
1894,1.0775632519610667e-07
1895,8.967735531939525e-08
1896,7.312315819518744e-08
1897,7.691262204900795e-08
1898,6.903193194851553e-08
1899,9.396883626777708e-08
1900,6.85219028184747e-08
1901,8.606657853071908e-08
1902,7.856454375954058e-08
1903,5.238213685032633e-08
1904,1.2469130439285436e-07
1905,8.463644762812805e-08
1906,1.280901942291024e-07
1907,1.1108541408955119e-07
1908,8.791386485462738e-08
1909,1.1387035908638765e-07
1910,1.8437320115083367e-07
1911,1.234326836296873e-07
1912,9.272769574408812e-08
1913,1.3681713562085918e-07
1914,1.1116594311744166e-07
1915,5.419150594931921e-08
1916,9.229468167504251e-08
1917,9.540789580597675e-08
1918,1.263501427928304e-07
1919,1.5469185138394792e-07
1920,1.431151792630203e-07
1921,1.2495033235859765e-07
1922,1.3649180574670794e-07
1923,2.685834927795838e-07
1924,2.0110934695338756e-07
1925,1.3747722849011268e-07
1926,1.8391127698524912e-07
1927,2.0626065433404506e-07
1928,1.6339238584350824e-07
1929,1.5707973588519053e-07
1930,1.5440296863289404e-07
1931,1.3230214257475836e-07
1932,1.1069132188623598e-07
1933,1.1470662264478904e-07
1934,9.585263960332213e-08
1935,1.316511220039729e-07
1936,1.33371855781661e-07
1937,1.0702450081723214e-07
1938,1.3613474614260213e-07
1939,1.0247013815245509e-07
1940,1.217175815693139e-07
1941,1.2691460860025927e-07
1942,1.2136847038490828e-07
1943,1.7419411380004135e-07
1944,1.1567470359352683e-07
1945,1.3288874312067378e-07
1946,1.4477948706570487e-07
1947,1.6093175503328894e-07
1948,1.6851426543063042e-07
1949,1.2271260318996724e-07
1950,1.8080114871921182e-07
1951,1.4712733742427986e-07
1952,1.729347864909414e-07
1953,1.7776814686953912e-07
1954,1.7395115037288633e-07
1955,1.558010858104808e-07
1956,1.6482957665431286e-07
1957,1.0336994044068959e-07
1958,1.8033490123414708e-07
1959,1.852428772597392e-07
1960,1.6748415943013129e-07
1961,1.6467137253783903e-07
1962,1.6806185021422948e-07
1963,2.3148470140732513e-07
1964,1.794770714269589e-07
1965,1.6470850106031776e-07
1966,1.5952535314944782e-07
1967,1.661523161278211e-07
1968,1.958257302980826e-07
1969,1.7122427109494964e-07
1970,1.844088743929717e-07
1971,2.1324349841478352e-07
1972,1.6262564983549055e-07
1973,2.800707622485632e-07
1974,1.4063929865137936e-07
1975,2.147516595663035e-07
1976,2.2282755185454306e-07
1977,2.1391485882649164e-07
1978,1.5861378654946634e-07
1979,1.989670987967429e-07
1980,2.2285790679532624e-07
1981,1.9419436680934155e-07
1982,2.0050232452106798e-07
1983,2.2040452574145775e-07
1984,2.476176677035369e-07
1985,2.388176536527453e-07
1986,2.128042304594402e-07
1987,2.2671130039952914e-07
1988,2.3506491464431178e-07
1989,2.392821265573275e-07
1990,2.3810604843355065e-07
1991,2.1218503665210164e-07
1992,2.0552091717362941e-07
1993,2.73082920720924e-07
1994,2.4053664793299845e-07
1995,1.8436332549498502e-07
1996,2.40214144353601e-07
1997,2.3399085469222314e-07
1998,2.341151477125436e-07
1999,2.422206666352622e-07
2000,2.544786097402607e-07
2001,2.663776910161175e-07
2002,2.3264286630464426e-07
2003,2.512654520003821e-07
2004,2.7926376167108913e-07
2005,2.6707235178946576e-07
2006,2.9525272071673214e-07
2007,3.67492117181456e-07
2008,3.5762492478497165e-07
2009,3.7287266518859497e-07
2010,3.911300670011997e-07
2011,3.7857323720302816e-07
2012,4.7285070303715315e-07
2013,4.950696985694947e-07
2014,5.103954188179216e-07
2015,4.696923361358074e-07
2016,4.801366326745438e-07
2017,5.702891003878108e-07
2018,5.421079789513783e-07
2019,4.946365348423853e-07
