year,un_DET latin_NOUN
1800,2.0437068926071333e-07
1801,2.1430642704878267e-07
1802,2.3497321421928064e-07
1803,2.2038832980797451e-07
1804,2.125791764839846e-07
1805,1.4214389110200898e-07
1806,1.6425514104412287e-07
1807,2.6476682535303553e-07
1808,2.787270965143307e-07
1809,3.7499906313520626e-07
1810,2.620941939035504e-07
1811,3.7355444248987624e-07
1812,3.7874357161626904e-07
1813,2.7894694665242525e-07
1814,4.1221471036578805e-07
1815,2.670251360026299e-07
1816,2.178547688913568e-07
1817,2.2886038952840693e-07
1818,2.4080778970869687e-07
1819,3.5607612736132666e-07
1820,1.8867705087188824e-07
1821,3.27401421751361e-07
1822,2.456275893791826e-07
1823,1.5614645365591429e-07
1824,1.8442236626725617e-07
1825,2.5359676003589016e-07
1826,1.8320607331201444e-07
1827,2.7098783250689706e-07
1828,2.2930753440508767e-07
1829,2.992038375393413e-07
1830,2.0978039727559405e-07
1831,1.9333095124807187e-07
1832,2.9901232512230536e-07
1833,2.490480146555285e-07
1834,2.613668714790407e-07
1835,2.2084216055873185e-07
1836,2.406028486445777e-07
1837,2.3656829739593377e-07
1838,2.8215362846140124e-07
1839,2.572862847216584e-07
1840,2.8727295298125455e-07
1841,3.319423549363876e-07
1842,2.0191877769804023e-07
1843,2.5517856028223207e-07
1844,2.5247381651993805e-07
1845,2.6561885102527327e-07
1846,3.969351922705755e-07
1847,3.3815513056367763e-07
1848,2.405521283277423e-07
1849,1.6004682867887254e-07
1850,2.2267906363282464e-07
1851,2.7410115643888844e-07
1852,2.773492424612556e-07
1853,2.950134176948893e-07
1854,3.9175309557437643e-07
1855,3.0249541893567766e-07
1856,2.5005823650614545e-07
1857,3.080232364727209e-07
1858,2.7502459309936e-07
1859,3.416848408654971e-07
1860,2.279437604779666e-07
1861,2.4428692868561086e-07
1862,3.284576133300021e-07
1863,2.97679401128903e-07
1864,3.087804827384133e-07
1865,2.85234757591013e-07
1866,3.3816009903375743e-07
1867,3.2610892475304354e-07
1868,3.448032067643325e-07
1869,3.130335780587856e-07
1870,3.337216272214505e-07
1871,2.4747343418951573e-07
1872,4.3238475333495785e-07
1873,2.7834920873770486e-07
1874,3.459298681951495e-07
1875,4.176714845094409e-07
1876,4.2866244731598613e-07
1877,3.080038449843059e-07
1878,3.973720388295021e-07
1879,3.7633444560647433e-07
1880,3.202505214350282e-07
1881,2.8587282435710293e-07
1882,2.3293847739580542e-07
1883,3.431401053299865e-07
1884,3.2876451783181437e-07
1885,2.906981646511042e-07
1886,3.155743870664196e-07
1887,3.414627670061954e-07
1888,3.5697660782929574e-07
1889,3.2077501338489967e-07
1890,3.4279441329942983e-07
1891,3.6651766666118135e-07
1892,3.7297648680656437e-07
1893,2.9745152496651883e-07
1894,3.5099572492924835e-07
1895,3.430610169274928e-07
1896,3.3082331829525913e-07
1897,2.8667431095641405e-07
1898,3.610030405720721e-07
1899,3.3331298077143856e-07
1900,3.0471480783056393e-07
1901,3.006741429167903e-07
1902,2.808682291188802e-07
1903,3.483142150262353e-07
1904,3.3591406456423556e-07
1905,3.6022097260612895e-07
1906,3.534054702214462e-07
1907,3.502276468836385e-07
1908,2.789668993585792e-07
1909,3.5206294651812797e-07
1910,2.987380263164141e-07
1911,2.8836427901079986e-07
1912,2.958951212939098e-07
1913,3.298459639311524e-07
1914,2.973354207291834e-07
1915,3.2632710000868315e-07
1916,3.515987954116895e-07
1917,4.353670357559736e-07
1918,3.6641540557269536e-07
1919,2.7715623263091516e-07
1920,3.2106262093378746e-07
1921,2.7867710516993327e-07
1922,3.652078015004001e-07
1923,3.9491327497032103e-07
1924,3.3002559207684357e-07
1925,4.124316801412675e-07
1926,3.689371774751038e-07
1927,4.426242165012084e-07
1928,4.3647477920849553e-07
1929,4.0439675141890064e-07
1930,3.76029015924928e-07
1931,3.20490518568306e-07
1932,3.298820440145178e-07
1933,4.072085111328505e-07
1934,4.013829268956215e-07
1935,5.002742700099816e-07
1936,3.7465368452060943e-07
1937,4.507620249283306e-07
1938,4.2136948152915465e-07
1939,4.144687641982614e-07
1940,4.89406090542488e-07
1941,4.869979344235276e-07
1942,4.490633418452461e-07
1943,3.9483999403344683e-07
1944,3.727295894151439e-07
1945,4.1827279284589736e-07
1946,3.327144035836227e-07
1947,3.6954701299052317e-07
1948,3.5985948598771245e-07
1949,3.062906593909176e-07
1950,3.6904703937246097e-07
1951,3.539585502476683e-07
1952,2.9314554472748e-07
1953,3.113636100060546e-07
1954,3.6842461437203156e-07
1955,3.8011712977237266e-07
1956,3.017515017855743e-07
1957,3.109933404132903e-07
1958,3.8135040991704727e-07
1959,2.759266243268499e-07
1960,3.273554114446853e-07
1961,3.3698571000329025e-07
1962,3.266107492239101e-07
1963,3.200696274685555e-07
1964,3.5043657525823946e-07
1965,3.496635629929301e-07
1966,4.021368231743594e-07
1967,3.130762944447696e-07
1968,3.4538988491483735e-07
1969,2.6523865437333427e-07
1970,2.6350693796417524e-07
1971,3.1755297236202296e-07
1972,3.11399930508216e-07
1973,2.839299920176508e-07
1974,2.936548484933077e-07
1975,2.4959169087068744e-07
1976,1.879750341493569e-07
1977,2.709196430528138e-07
1978,3.39801823012742e-07
