year,en_ADP arme_NOUN,en_ADP larmes_NOUN
1800,4.087413785214267e-08,4.2037477214762475e-06
1801,4.7623650800687756e-08,4.455192538443953e-06
1802,4.2518962573012686e-08,4.567431915347697e-06
1803,1.5602713787643552e-08,4.265391908120364e-06
1804,1.730295728918918e-08,5.166168648429448e-06
1805,5.685755422035754e-09,4.306959908717545e-06
1806,2.881669125542885e-08,3.9248334360308945e-06
1807,3.4163463169534225e-08,3.0377011626114836e-06
1808,1.8128591960930862e-08,3.2359537271986483e-06
1809,4.51806094758922e-08,4.1430621422478e-06
1810,2.3401266702194334e-08,4.174786226940341e-06
1811,8.273353557797236e-08,3.868419298669323e-06
1812,1.0668832928217853e-08,2.9179257126088487e-06
1813,5.176335093892703e-08,4.304985395719996e-06
1814,3.1466772298927026e-08,3.6501455724646803e-06
1815,4.045835311217161e-08,3.06944048134028e-06
1816,4.6352077731626196e-08,3.1867052712186705e-06
1817,1.2454987263765815e-08,3.848590949928621e-06
1818,3.099506074022429e-08,3.897032911481801e-06
1819,1.8631890696951814e-08,3.840239514829591e-06
1820,5.6959109429044474e-08,3.858979653159622e-06
1821,4.437669787193954e-08,3.69214126294537e-06
1822,5.6143449000956025e-08,3.421742803766392e-06
1823,7.412015179397713e-08,3.886860667989822e-06
1824,2.105278085196005e-08,3.872027718898607e-06
1825,2.553578504205234e-08,4.533042101684259e-06
1826,2.7304752237000685e-08,3.293305326224072e-06
1827,2.7651818612639545e-08,2.9707271096413024e-06
1828,1.834460228167245e-08,3.1983813642000314e-06
1829,2.8291481157793896e-08,3.4858533126680413e-06
1830,5.5315229730013016e-08,3.466073167146533e-06
1831,5.6128342862393765e-08,3.782426574616693e-06
1832,5.141388470519814e-08,3.7680965760955587e-06
1833,8.68772147555319e-08,3.5689158721652348e-06
1834,4.480574844478724e-08,3.1074653179530287e-06
1835,7.260564416355919e-08,3.5364998893783195e-06
1836,7.728862527756064e-08,3.445056563577964e-06
1837,2.2265250976261086e-08,3.5457412650430342e-06
1838,1.9567702125300457e-08,3.0386747766897315e-06
1839,4.334714631681891e-08,3.0056351079110755e-06
1840,3.184844388215424e-08,2.7689036414813017e-06
1841,4.687000298986277e-08,2.81733673546114e-06
1842,3.6224630406422875e-08,3.472197931841947e-06
1843,4.3120451209688326e-08,3.372255605427199e-06
1844,3.402907822191992e-08,3.3436315334256506e-06
1845,3.348136701220028e-08,3.305726977487211e-06
1846,1.9319854160926297e-08,2.90090542875987e-06
1847,5.770749211819748e-08,2.8109482173022116e-06
1848,2.896279838182636e-08,2.3837992557673715e-06
1849,4.022119171054328e-08,2.5490180632914416e-06
1850,4.1412874907109654e-08,3.1344793569587637e-06
1851,2.902247508984601e-08,2.632660880408366e-06
1852,2.6042181744401205e-08,2.9388602342805825e-06
1853,5.3747385209135246e-08,2.8874289910163498e-06
1854,3.636965217879151e-08,3.0737551242054906e-06
1855,2.9718847827098216e-08,3.3470853395556333e-06
1856,3.36517302912398e-08,2.988791266034241e-06
1857,4.930324237761852e-08,3.314544755994575e-06
1858,5.5787907626836386e-08,3.2949121759884292e-06
1859,4.939408171367177e-08,3.6302103580965195e-06
1860,4.073693560258107e-08,3.4681322631513467e-06
1861,4.291527133659656e-08,3.252600208725198e-06
1862,4.292087041335435e-08,3.6211658880347386e-06
1863,2.6471489888990618e-08,3.4338017940171994e-06
1864,3.3563097190381086e-08,3.1995218705560546e-06
1865,4.565638889175716e-08,3.0147339202812873e-06
1866,6.227984528095476e-08,3.027870889127371e-06
1867,3.154327288257264e-08,3.1164754545898177e-06
1868,4.4952855660085334e-08,3.2978598483168753e-06
1869,4.248661511496721e-08,3.4878094083978795e-06
1870,4.587239033071455e-08,2.762664735200815e-06
1871,6.266494523288202e-08,2.5639521936682286e-06
1872,4.2936108002322726e-08,2.6269642603438115e-06
1873,6.225444337815134e-08,2.491973646101542e-06
1874,5.735624597491551e-08,2.6718450953922e-06
1875,2.574687130163511e-08,2.9442978757288074e-06
1876,2.8416270225761764e-08,2.5979725251090713e-06
1877,4.886004489890183e-08,2.6279283247276908e-06
1878,3.01954443671093e-08,2.4053690594882937e-06
1879,4.2765275765077604e-08,2.7082639917352935e-06
1880,6.28948910730287e-08,2.4984674382722005e-06
1881,4.113779539238749e-08,2.522653176129097e-06
1882,6.522277118392594e-08,2.8824472337873885e-06
