year,son_DET livre_NOUN
1800,6.8762879550376965e-06
1801,7.079256050701588e-06
1802,8.698484265323714e-06
1803,6.3659073532562616e-06
1804,9.227419269564052e-06
1805,7.240809651420932e-06
1806,1.0080078595819941e-05
1807,6.5024455864204356e-06
1808,9.519776568822635e-06
1809,7.836576941144813e-06
1810,1.0549291431516394e-05
1811,8.666964077974626e-06
1812,1.1340969422235503e-05
1813,1.2661890593790304e-05
1814,8.999496188266676e-06
1815,1.0265633171968602e-05
1816,1.0890421066278577e-05
1817,1.2686961696317667e-05
1818,1.0493020582202917e-05
1819,1.2901548913646366e-05
1820,1.1090413252645703e-05
1821,1.3731136235151098e-05
1822,1.0066720918189276e-05
1823,1.0075399387687867e-05
1824,1.0332704956539374e-05
1825,1.211540929801913e-05
1826,9.933644399495734e-06
1827,1.0006271264018096e-05
1828,1.168734661405324e-05
1829,1.126943955398474e-05
1830,1.1498261677900246e-05
1831,1.0500677134928083e-05
1832,1.0602084039135207e-05
1833,9.319029132370815e-06
1834,1.015783688984584e-05
1835,9.915964888307371e-06
1836,1.2629633182825728e-05
1837,1.0693582304099891e-05
1838,1.0617056560136007e-05
1839,1.027047750312704e-05
1840,1.2574402717291377e-05
1841,1.4293425202538401e-05
1842,1.3087824740409815e-05
1843,1.4255739543500567e-05
1844,1.2465071449696552e-05
1845,1.145564965554513e-05
1846,1.4268590881272303e-05
1847,1.2741490635903574e-05
1848,1.2222301180031536e-05
1849,1.156191676443541e-05
1850,1.2091880961406787e-05
1851,1.3304547437087422e-05
1852,1.434273187328472e-05
1853,1.4722006476119986e-05
1854,1.4197672697946473e-05
1855,1.4447075244561347e-05
1856,1.613885207518706e-05
1857,1.568135955665184e-05
1858,1.698937455785199e-05
1859,1.7367876466778398e-05
1860,1.5788538235028682e-05
1861,1.540422380230666e-05
1862,1.515016307962469e-05
1863,1.6527200791927044e-05
1864,1.6992515085689774e-05
1865,1.553164489109804e-05
1866,1.4637222861324517e-05
1867,1.4432260982744083e-05
1868,1.506068841194974e-05
1869,1.6277257557817393e-05
1870,1.6327130353488428e-05
1871,1.1499548179472185e-05
1872,1.600791196665341e-05
1873,1.4117991625539617e-05
1874,1.5212549612897419e-05
1875,1.5232993590075239e-05
1876,1.6142254622764085e-05
1877,1.7239556854065086e-05
1878,1.787449548373843e-05
1879,1.7494052286792794e-05
1880,1.5685858102187922e-05
1881,1.561911406611216e-05
1882,1.57559591542622e-05
1883,1.5908935580455363e-05
1884,1.6006474140795035e-05
1885,1.5664183848684843e-05
1886,1.664735509621096e-05
1887,1.6338634196699786e-05
1888,1.6321376023142875e-05
1889,1.5571370880707036e-05
1890,1.6872301387138577e-05
1891,1.503041058015242e-05
1892,1.566501276784038e-05
1893,1.5615897297038828e-05
1894,1.543310007434684e-05
1895,1.5865669439563135e-05
1896,1.5726786173786422e-05
1897,1.4610483844990085e-05
1898,1.630058883961283e-05
1899,1.4963154967517767e-05
1900,1.4658495970820695e-05
1901,1.5379091323097782e-05
1902,1.3420788050666488e-05
1903,1.5891228571263127e-05
1904,1.619965763666187e-05
1905,1.593332734728392e-05
1906,1.6702652928302086e-05
1907,1.7079382359952433e-05
1908,1.756558370402672e-05
1909,1.779733167950326e-05
1910,1.7006155928811495e-05
1911,1.6512844780436353e-05
1912,1.6762355102173387e-05
1913,1.8346753179798725e-05
1914,1.7240765885162546e-05
1915,1.4681185831477706e-05
1916,1.5187968756436021e-05
1917,1.5538326465502905e-05
1918,1.5125260404147411e-05
1919,1.5127573803397354e-05
1920,1.6558956019707693e-05
1921,1.6566899574854688e-05
1922,1.6142184620093758e-05
1923,1.8416546879507223e-05
1924,1.830223919796481e-05
1925,1.7057073478099483e-05
1926,1.7045789945768774e-05
1927,1.8311487565370044e-05
1928,1.7789204349583088e-05
1929,1.775892116029354e-05
1930,1.7993723901099656e-05
1931,1.7323595429274974e-05
1932,1.626395196296926e-05
1933,1.7414759724942996e-05
1934,1.5700662828521672e-05
1935,1.625173305797034e-05
1936,1.5459010967333597e-05
1937,1.4603178385641513e-05
1938,1.548824508290636e-05
1939,1.4379466364289328e-05
1940,1.406345219834293e-05
1941,1.3913383696717574e-05
1942,1.4115152936255981e-05
1943,1.5247791353090179e-05
1944,1.2945927380769717e-05
1945,1.3049239271367696e-05
1946,1.3592565935027778e-05
1947,1.5411302115353465e-05
1948,1.4355240736563246e-05
1949,1.214167551211176e-05
1950,1.3868511672399109e-05
1951,1.4516564419864153e-05
1952,1.3715626693056038e-05
1953,1.4388446757607198e-05
1954,1.4574760029972822e-05
1955,1.4328069141811284e-05
1956,1.4156157263300884e-05
1957,1.3247255083115306e-05
1958,1.2254501044139943e-05
1959,1.3040633604077811e-05
1960,1.2778626341969357e-05
1961,1.2776275568171513e-05
1962,1.3114532009694813e-05
1963,1.3516637736188386e-05
1964,1.4664189052382426e-05
1965,1.656715846820589e-05
1966,1.450960627380482e-05
1967,1.5010899289791269e-05
1968,1.580663982281294e-05
1969,1.2435786715059294e-05
1970,1.4404586352156912e-05
1971,1.4996926978483316e-05
1972,1.3810868722430314e-05
1973,1.2791735485961908e-05
1974,1.2146171712856813e-05
1975,1.1526909204917501e-05
1976,1.2681172790962592e-05
1977,1.2235459649900804e-05
1978,1.2073658325562064e-05
1979,1.1777681436342391e-05
1980,1.241693792053411e-05
1981,1.2247529411979485e-05
1982,1.219774190985845e-05
1983,1.2221399714462677e-05
1984,1.208861348800383e-05
1985,1.2058186229069179e-05
1986,1.2923511405915633e-05
1987,1.2414124796578108e-05
1988,1.2217978849093925e-05
1989,1.2129847306141528e-05
1990,1.1733670021385478e-05
1991,1.2359485197066533e-05
1992,1.2297093007873627e-05
1993,1.2451030187321521e-05
1994,1.2243104379194847e-05
1995,1.261641671135294e-05
1996,1.2493805115809664e-05
1997,1.237514337049106e-05
1998,1.2271733965008025e-05
1999,1.2093208852093085e-05
2000,1.2793735891136748e-05
2001,1.2739687321072779e-05
2002,1.2605212560856671e-05
2003,1.309038802332907e-05
2004,1.3310398060184525e-05
2005,1.269471869136396e-05
2006,1.4184483489998456e-05
2007,1.369746965451668e-05
2008,1.2486218878393629e-05
2009,1.2445935965388344e-05
2010,1.1356470508872007e-05
2011,1.0340020210719558e-05
2012,1.0203225983218545e-05
2013,9.645073149044947e-06
2014,1.0975558510040173e-05
2015,1.0093840600688964e-05
2016,1.0755432739983917e-05
2017,1.0181433907519022e-05
2018,1.0207635583014962e-05
2019,1.0743994948825275e-05
