year,bien_ADV imiter_VERB,bien_ADV limiter_VERB
1800,1.6664071722516383e-07,1.2576657937302116e-08
1801,1.1191558257905854e-07,4.7623651688866175e-09
1802,1.4545960880241182e-07,4.475680270843441e-09
1803,1.2872239096850535e-07,0.0
1804,1.2359254242255702e-07,1.9774807569206132e-08
1805,9.950071699904584e-08,2.842877711017877e-09
1806,4.1496036828903016e-07,2.881669125542885e-09
1807,1.3095993267597805e-07,2.2775640928784924e-08
1808,1.540930298915555e-07,9.064295980465431e-09
1809,1.603911670144953e-07,2.259030518203531e-09
1810,1.4040760731859336e-07,2.3401267590372754e-09
1811,1.42903374467096e-07,1.0028307073639553e-08
1812,1.1468995353425271e-07,1.600324850414836e-08
1813,9.777521370324394e-08,0.0
1814,8.810695817373926e-08,1.2586708564299443e-08
1815,3.776112933451259e-08,0.0
1816,6.025770460382773e-08,9.733936678912869e-08
1817,9.49692804397273e-08,4.0478710161551135e-08
1818,1.2398024296089716e-07,3.5763532135746345e-09
1819,1.0661581484328053e-07,4.140420006848444e-09
1820,1.044250339532482e-07,8.306536791735653e-09
1821,8.57949515875589e-08,5.9168927535324656e-09
1822,7.418955760840618e-08,0.0
1823,1.0574474629265751e-07,1.7788837070042973e-08
1824,9.684279689281539e-08,0.0
1825,1.1182912373897125e-07,2.641632912414593e-09
1826,7.839106075380187e-08,7.927186018719112e-09
1827,8.20337291429496e-08,0.0
1828,7.154395120778645e-08,2.659967357487858e-08
1829,9.773420828196322e-08,0.0
1830,1.033246732617954e-07,2.0873671680021744e-09
1831,8.419251429359065e-08,9.354723218280014e-09
1832,5.817886972181441e-08,4.058990921151917e-09
1833,8.456049016558609e-08,9.266902800675325e-09
1834,5.974099792638299e-08,7.467624740797874e-09
1835,5.974839467626225e-08,7.563087933704082e-10
1836,1.0954822471376247e-07,7.392825018825988e-09
1837,7.444943150858307e-08,1.87863058442872e-08
1838,8.584540012179787e-08,1.5780404538645598e-08
1839,9.718150550952487e-08,8.38977065598101e-09
1840,7.070354257621148e-08,8.917564464638872e-09
1841,4.55858959469424e-08,1.7977535904378783e-08
1842,6.77534757187459e-08,2.0124795163667386e-09
1843,7.974330173965427e-08,2.539971788451112e-08
1844,6.696044607679141e-08,8.781698035420504e-09
1845,5.636030309119633e-08,8.37034175305007e-09
1846,7.962121628679597e-08,4.0981511517657054e-09
1847,4.7999691332734074e-08,2.8044762956369595e-08
1848,4.666228647920434e-08,1.528592186161859e-08
1849,2.262441967104678e-08,4.357295679824347e-08
1850,5.363306954109248e-08,3.394498016007219e-09
1851,4.772584816237213e-08,1.1608989325395669e-08
1852,7.291811243703705e-08,2.148479971708639e-08
1853,3.762317035693741e-08,1.851298847554972e-08
1854,6.494580873095401e-08,1.1950028522278444e-08
1855,4.139410947345823e-08,3.02495415382964e-08
1856,9.06008139622827e-08,2.2779632402603056e-08
1857,5.369659916709679e-08,1.5620829074691756e-08
1858,4.306435030798639e-08,8.31924928945682e-09
1859,5.601390640208592e-08,2.2914779407301467e-08
1860,4.897586691754441e-08,1.6477862629926676e-08
1861,6.272231445336729e-08,1.131831339762357e-08
1862,8.267915063697728e-08,1.445755604123633e-08
1863,4.6449972757045543e-08,1.2486552236623538e-08
1864,5.657778956447146e-08,1.3904711160250827e-08
1865,6.165966226490127e-08,1.4591217123438582e-08
1866,4.5736761933312664e-08,2.1408697037372804e-08
1867,5.629261323747414e-08,1.4073153309368536e-08
1868,7.014621417056333e-08,9.87974857480367e-09
1869,5.518376511304268e-08,3.711474505507795e-08
1870,5.791389412479475e-08,1.548193218070537e-08
1871,5.735435593123839e-08,4.6733180880664804e-08
1872,5.744972497723211e-08,2.4189358072135292e-08
1873,4.669083608632718e-08,1.9155214303623325e-08
1874,5.078417686377179e-08,2.3898437007119355e-08
1875,4.2339301842275745e-08,3.547346949517305e-08
1876,4.836811839936672e-08,1.813804395567331e-08
1877,6.246663986075873e-08,3.030559980743419e-08
1878,6.884560832531861e-08,2.3552445327368332e-08
1879,5.987138962382232e-08,2.993569481191116e-08
1880,4.813384535395926e-08,1.2193908105473383e-08
1881,6.902782700990429e-08,2.5101027034679646e-08
1882,6.588831524823036e-08,3.660461800336634e-08
1883,5.750598575104959e-08,3.159669503816076e-08
1884,5.677459569142229e-08,3.895001299270007e-08
1885,4.254119545521462e-08,3.674012205578947e-08
1886,4.065682190912412e-08,1.7424351739236954e-08
1887,5.810742820244741e-08,2.154545164501087e-08
1888,3.867775077992519e-08,3.297119732792453e-08
1889,5.325366103647866e-08,2.192797943223468e-08
1890,5.89894781910516e-08,2.2940351840361473e-08
1891,3.7607897240832244e-08,3.1871099537283953e-08
1892,4.8894396087462155e-08,2.2566645441202127e-08
1893,5.9120800699474785e-08,3.1407925149551374e-08
1894,4.537108111435373e-08,2.520615716150587e-08
1895,3.1296796265678495e-08,3.7315409429083957e-08
1896,4.3048309805726603e-08,3.774098544795379e-08
1897,2.2141511735185304e-08,2.6220211779559577e-08
1898,6.224190229886517e-08,3.3384292663640736e-08
1899,5.5275783950037294e-08,4.366786754417262e-08
1900,3.7894686499839736e-08,2.3359739032002835e-08
1901,5.7005138387467014e-08,2.794369535763508e-08
1902,5.450415230257022e-08,2.2096276808269977e-08
1903,4.482182802689749e-08,4.050165358648883e-08
1904,4.622177840474251e-08,1.5048950530172078e-08
1905,3.767354073147544e-08,3.1996705729397945e-08
1906,4.218231453023691e-08,1.6975809202790515e-08
1907,6.119983453345412e-08,1.7999951751335175e-08
1908,5.1569585934885254e-08,3.388858615949175e-08
1909,5.3359539009534274e-08,3.080550925460557e-08
1910,3.4202564336283103e-08,3.20649036211762e-08
1911,4.9479478292369095e-08,3.990280461607654e-08
1912,2.9693701719679666e-08,2.2400511667797218e-08
1913,5.409049563809276e-08,2.969674284258872e-08
1914,5.357394883276356e-08,1.875088173619588e-08
1915,5.0657277483878715e-08,3.180805663305364e-08
1916,3.625862632361532e-08,1.2086208478478966e-08
1917,3.289927263949721e-08,3.728584374584898e-08
1918,3.2161853624756986e-08,2.6418664589300533e-08
1919,3.222746869369075e-08,2.5781975665495338e-08
1920,2.8774479687854182e-08,1.9687803387569147e-08
1921,2.7261890522822796e-08,2.4232791773215467e-08
1922,2.3609393551282665e-08,3.098733003525922e-08
1923,2.866305948145964e-08,1.9108707505210987e-08
1924,3.609654797287476e-08,3.480738541838946e-08
1925,3.409435223034052e-08,3.519416935660047e-08
1926,2.7865345586519652e-08,3.4553028882555736e-08
1927,5.4631200896437804e-08,3.5677519605314956e-08
1928,2.742249805010033e-08,2.6279895593006586e-08
1929,4.4561623724348465e-08,2.785101571589621e-08
1930,4.7266215830177316e-08,3.571225093423891e-08
1931,3.649714130915527e-08,2.3951248095954725e-08
1932,3.9454331357546835e-08,2.4110979879310435e-08
1933,2.867665571670841e-08,3.670611903316967e-08
1934,1.5576054224197833e-08,4.313368862085554e-08
1935,2.6330225111337313e-08,9.574627313213568e-09
1936,4.122403041151301e-08,2.424942913137329e-08
1937,1.0072894518486919e-08,2.392312481447334e-08
1938,2.852347158466273e-08,1.9447821131279852e-08
1939,1.6823456405745674e-08,3.5176316970364496e-08
1940,3.0429394115571995e-08,1.0143131667916805e-08
1941,1.1806010391524069e-08,3.5418032950929046e-08
1942,1.2136847082899749e-08,2.4273694165799498e-08
1943,4.3548528338988035e-08,2.6129116648121453e-08
1944,2.2492303131116387e-08,1.927911696952833e-08
1945,5.2284097051824574e-08,2.178504132643866e-08
1946,4.454753366189834e-08,1.3921104269343232e-08
1947,3.5762614203349585e-08,2.8610090296865565e-08
1948,2.2830963786191205e-08,2.717971980814582e-08
1949,3.6322930441201606e-08,2.5524220959027843e-08
1950,1.701657836861159e-08,1.808011518278363e-08
1951,2.5587365115598004e-08,2.2388944032059044e-08
1952,3.1634410646574906e-08,2.9525450528922192e-08
1953,3.44762476345295e-08,4.0940545176226806e-08
1954,1.9545073115523337e-08,2.5408594339637602e-08
1955,2.2525458831523792e-08,2.9095383879962355e-08
1956,3.401245152190313e-08,1.657016923672927e-08
1957,3.180613461495341e-08,3.0922631566454584e-08
1958,2.5643954515430778e-08,1.9026160202884057e-08
1959,3.022791617013354e-08,1.9376869886400527e-08
1960,2.906750040665429e-08,2.5607082676515347e-08
1961,3.404598203360365e-08,2.431855783413539e-08
1962,2.7904608401740916e-08,2.4099433559854333e-08
1963,2.198458126656533e-08,1.8104948651398445e-08
1964,2.9203047091641565e-08,2.068549243006146e-08
1965,3.775710055720083e-08,1.2585699593614663e-08
1966,3.600398557068729e-08,1.8832853498906843e-08
