year,en_ADP eau_NOUN,en_ADP lots_NOUN
1800,3.1787503758096136e-06,1.1633408547595536e-07
1801,2.576439555923571e-06,1.0953439755212457e-07
1802,1.4859258499200223e-06,8.727576528144709e-08
1803,2.201932985057553e-06,5.265916058760922e-08
1804,3.030489324373775e-06,5.9324420931261557e-08
1805,2.771805839074659e-06,3.1271653710973624e-08
1806,1.8154515828427975e-06,4.8988376022407465e-08
1807,1.3608445215140819e-06,7.686778502602465e-08
1808,1.4004336890138802e-06,2.945896149242344e-08
1809,2.3855361632740824e-06,8.810219043198231e-08
1810,1.8884823020925978e-06,5.616304221689461e-08
1811,1.5669229469494894e-06,7.270522672797597e-08
1812,1.2935960285176407e-06,7.20146218213813e-08
1813,4.155446731601842e-06,4.3136125782439194e-08
1814,1.2838443126383936e-06,4.405347908686963e-08
1815,1.4484090797850513e-06,1.6183341244868643e-07
1816,2.1762300548289204e-06,6.489290882427667e-08
1817,1.3918448757976876e-06,3.269434145636296e-08
1818,1.5902850138971303e-06,4.768470773797162e-08
1819,1.3725492635785486e-06,5.4860564091541164e-08
1820,9.97971028482425e-07,8.42520151422832e-08
1821,1.6942037053269132e-06,5.325203744632745e-08
1822,1.7294187273364514e-06,7.519211919770896e-08
1823,1.5199573006885458e-06,5.0401702367253165e-08
1824,1.6134852103277808e-06,1.0526390781251393e-07
1825,9.906123521474797e-07,5.371320099811783e-08
1826,1.0745741292339517e-06,6.605988289720699e-08
1827,1.295948550250614e-06,3.96342727526644e-08
1828,1.5776357807917307e-06,9.447470006307412e-08
1829,1.1325165587550146e-06,9.859152783064928e-08
1830,1.4121038334202751e-06,1.356788601469816e-07
1831,1.3642305702887825e-06,1.387617345471881e-07
1832,1.2853470745533002e-06,8.117981309396782e-08
1833,1.4502702546659307e-06,2.0503021858075954e-07
1834,1.1350789714814624e-06,1.4001795989315724e-07
1835,1.5663155323863975e-06,1.013453783116347e-07
1836,1.5007434512881446e-06,1.276942498407152e-07
1837,1.0840394311095736e-06,1.2454624709334894e-07
1838,1.4972448525440996e-06,9.089512786886189e-08
1839,1.4038881772648892e-06,1.8667238066427672e-07
1840,1.4242623365134932e-06,1.490507202106528e-07
1841,1.6276090946121258e-06,1.2520069958554814e-07
1842,1.3577528821251406e-06,1.1471133376517173e-07
1843,1.7366319041145495e-06,1.169568406567123e-07
