year,ton_DET art_NOUN,ton_DET lard_NOUN
1800,2.924072983745418e-07,0.0
1801,3.166972817325586e-07,0.0
1802,1.2755688771903806e-07,0.0
1803,2.2038833602522345e-07,0.0
1804,3.930243153149604e-07,0.0
1805,2.4448748425776046e-07,0.0
1806,5.042921031872538e-07,0.0
1807,1.6797034518845066e-07,0.0
1808,4.328201370640272e-07,0.0
1809,2.7560172810581207e-07,0.0
1810,3.299578850146645e-07,0.0
1811,3.68540277406737e-07,0.0
1812,8.268345208506389e-08,0.0
1813,3.795978926746102e-07,0.0
1814,2.2341407124315538e-07,0.0
1815,7.552225866902518e-08,0.0
1816,7.879853569647821e-08,0.0
1817,2.0706415870819228e-07,0.0
1818,1.5497531258290564e-07,0.0
1819,1.9977526655168276e-07,3.1053151161586356e-09
1820,2.741157132390981e-07,0.0
1821,1.863821275094324e-07,9.86148829262845e-10
1822,2.2156611123591574e-07,0.0
1823,1.6009952830131624e-07,5.929612356680991e-09
1824,2.2905426000363605e-07,5.894778887238772e-09
1825,2.3334424592569292e-07,0.0
1826,1.770404884915422e-07,0.0
1827,1.1890282447524214e-07,0.0
1828,1.164882235116238e-07,0.0
1829,1.3888545602469549e-07,0.0
1830,1.3463518122591722e-07,0.0
1831,1.07579318786577e-07,3.1182412207897414e-09
1832,1.5965364452696917e-07,0.0
1833,2.0039677350869312e-07,0.0
1834,1.3721760616647316e-07,0.0
1835,1.3084142125308063e-07,3.025235173481633e-09
1836,1.801161051417921e-07,0.0
1837,1.287209822065094e-07,2.0873671680021744e-09
1838,1.6032891592132614e-07,0.0
1839,9.088917840571753e-08,0.0
1840,1.1656529996795228e-07,0.0
1841,1.8619590314017387e-07,7.0626033910059505e-09
1842,1.093447177247242e-07,6.708265054555795e-10
1843,1.264079002583074e-07,0.0
1844,1.1141779476808722e-07,1.097712254427563e-09
1845,1.2611314748056657e-07,5.580227946389016e-10
1846,9.191566885391467e-08,5.854501328173001e-10
1847,5.878613684728862e-08,2.1572894581822766e-09
1848,4.746680815070903e-08,0.0
1849,1.0139092232464009e-07,0.0
1850,1.3238541907156787e-07,0.0
1851,9.222697094912746e-08,0.0
1852,9.244974674693651e-08,6.510545436100301e-10
1853,7.524634249023165e-08,0.0
1854,9.404152412351152e-08,0.0
1855,1.0348527368364557e-07,1.0613874223963649e-09
1856,5.798452090699513e-08,3.6240324075009767e-09
1857,1.4742157805613942e-07,0.0
1858,1.0668213468179033e-07,0.0
1859,1.2730433596175317e-07,3.055304009791371e-09
1860,9.291683156220643e-08,9.154367819341758e-10
1861,1.0799556859897308e-07,2.357981809808507e-09
1862,9.894390110010143e-08,0.0
1863,1.0139080242055343e-07,2.9967726078439227e-09
1864,1.2274503613518561e-07,3.835782358407869e-09
1865,7.436814275507686e-08,9.41368871743009e-10
1866,9.098696462928046e-08,9.731225825149181e-10
1867,5.7263173758315133e-08,0.0
1868,8.051994437874299e-08,1.4819622196071691e-09
1869,8.79033474898705e-08,0.0
1870,6.020750875634917e-08,0.0
1871,8.39073006630997e-08,6.37270636261178e-09
1872,5.442605210959073e-08,6.047339295989218e-10
1873,5.3275439504396616e-08,1.1972008939764578e-09
1874,7.16953081347782e-08,1.1949218281515073e-09
1875,8.58229067257632e-08,1.1443054281912168e-09
1876,1.1245587683283986e-07,2.418405919968336e-09
1877,1.0514187565036082e-07,1.2369631985365004e-09
