year,en_ADP êtres_NOUN,en_ADP etres_NOUN,en_ADP lettres_NOUN
1800,8.803660733747165e-08,6.288328968651058e-09,2.700837223201802e-06
1801,5.476719877606229e-08,0.0,2.2835541610977117e-06
1802,3.3567602031325805e-08,0.0,3.817755327872874e-06
1803,6.826187504138659e-08,0.0,2.76168028356949e-06
1804,1.0628959312697361e-07,0.0,3.853615692106516e-06
1805,3.695740935505398e-08,0.0,3.0134502917444905e-06
1806,5.4751712497136396e-08,2.881669125542885e-09,7.56438138882487e-06
1807,5.693910054560547e-08,0.0,7.347991363815254e-06
1808,1.1330369975581789e-08,6.798221985349073e-09,3.82513281493857e-06
1809,6.551188391767937e-08,2.259030518203531e-09,2.959329979734804e-06
1810,9.360507036149102e-09,0.0,3.5803938849277017e-06
1811,4.763445815569867e-08,0.0,3.963688488539674e-06
1812,2.6672083208723052e-08,0.0,4.953005515062614e-06
1813,6.326631307729258e-08,0.0,2.4386289503297576e-06
1814,2.5173417128598885e-08,0.0,2.9264097687331514e-06
1815,1.3486118000116676e-08,0.0,3.1638432522740345e-06
1816,2.7811246638975717e-08,0.0,2.7139141636212116e-06
1817,9.808302792180257e-08,0.0,2.0504021964740105e-06
1818,5.960588644882137e-08,0.0,2.257871040134418e-06
1819,5.175525075173937e-08,0.0,3.156035190077233e-06
1820,4.86525717491304e-08,0.0,2.564346614164492e-06
1821,5.8182782036730885e-08,0.0,2.882513057578251e-06
1822,3.60922172149003e-08,0.0,3.2162176637484663e-06
1823,4.5460359032745146e-08,0.0,2.598158452160604e-06
1824,5.221089782736499e-08,1.6842225392110777e-09,3.2269703353904333e-06
1825,4.050503776831249e-08,0.0,3.4851944104019594e-06
1826,3.963592987155096e-08,0.0,2.801819846354192e-06
1827,5.069500019772022e-08,0.0,2.46838580597597e-06
1828,5.13648868438743e-08,0.0,2.726925117713108e-06
1829,1.020207950341856e-07,0.0,2.6113894633361667e-06
1830,5.740259823028282e-08,0.0,2.6676551745374866e-06
1831,5.14509785887185e-08,0.0,2.82044912292001e-06
1832,1.0282776508052649e-07,0.0,2.792585637845235e-06
1833,7.41352224054026e-08,0.0,2.5078555019319992e-06
1834,3.173740470430175e-08,0.0,3.108398726858752e-06
