year,en_ADP âmes_NOUN,en_ADP ames_NOUN,en_ADP lames_NOUN
1800,0.0,1.8864987794131594e-08,3.3956977283366996e-06
1801,0.0,2.3811825844433088e-09,4.0003866672577715e-06
1802,0.0,8.951360541686881e-09,1.895450651545616e-06
1803,1.950339223455444e-09,1.755305234496518e-08,3.0639828239031885e-06
1804,0.0,7.4155526164076946e-09,1.8786066675602342e-06
1805,0.0,5.685755422035754e-09,1.1883229191766986e-06
1806,0.0,2.881669125542885e-09,1.7779898211500722e-06
1807,2.562259560079383e-08,1.4234775136401367e-08,3.0576297831430566e-06
1808,2.2660739062985158e-08,0.0,1.4480212655598734e-06
1809,6.7770917766551975e-09,2.259030518203531e-09,2.6069213276969094e-06
1810,0.0,1.1700633351097167e-08,1.4906607930242899e-06
1811,5.0141535368197765e-09,2.757784400841956e-08,2.0382533421070548e-06
1812,1.600324850414836e-08,0.0,2.1844434741069563e-06
1813,0.0,1.1502966579257645e-08,1.8203444369646604e-06
1814,3.1466771410748606e-09,3.4613449884091096e-08,1.944646555784857e-06
1815,2.697223555614414e-09,0.0,1.046522697834007e-06
1816,2.3176038865813098e-09,1.622322720606917e-08,1.8726238977251342e-06
1817,2.0239355080775567e-08,1.556873407970727e-09,1.9694448862850322e-06
1818,2.1458118837358597e-08,3.5763532135746345e-09,1.7238022491650185e-06
1819,1.035105001712111e-09,7.24573512300708e-09,1.3663386516649112e-06
1820,1.1866481131050932e-08,2.0173018810965004e-08,1.0240772780889529e-06
1821,0.0,1.97229765852569e-09,9.565643601661122e-07
1822,2.5064039732569654e-08,5.012807946513931e-09,1.3213762173336363e-06
1823,2.9648061783404955e-09,3.9530747564242574e-09,1.2116173770948535e-06
1824,7.57900142644985e-09,5.052667617633233e-09,1.5040107328445629e-06
1825,3.522177216552791e-09,1.1447076175841175e-08,1.140304872748743e-06
1826,7.0463874735082754e-09,4.403992281964975e-09,1.0684085509637953e-06
1827,2.7651818612639545e-09,0.0,1.224975562763575e-06
1828,8.255071293206129e-09,5.5033806956039655e-09,1.1942335760295464e-06
1829,1.714635211591542e-09,1.5431716349212365e-08,1.26197156902208e-06
1830,3.1310507520032616e-09,5.218417697960831e-09,1.370356550012275e-06
1831,9.354723218280014e-09,1.2472964883158966e-08,1.353316653185388e-06
1832,0.0,4.058990921151917e-09,1.265052150145607e-06
1833,2.20088942626262e-08,6.950177322551099e-09,1.376135060127126e-06
1834,6.534171426153534e-09,2.8003592777992026e-09,1.138812817824686e-06
1835,6.806779140333674e-09,5.294161553592858e-09,1.3719441298576385e-06
1836,7.392825018825988e-09,2.016224964762614e-09,1.0497811373522126e-06
1837,4.87052354003481e-09,8.349469338142512e-09,1.1696214927692239e-06
1838,3.1560809521380406e-09,3.787297142565649e-09,1.0995786077216962e-06
