year,un_DET égal_ADJ,un_DET egal_ADJ,un_DET légal_ADJ
1800,3.17246190206788e-06,1.5720821977538435e-08,9.432493897065797e-09
1801,2.783602440104005e-06,2.6193008650921e-08,2.3811825844433088e-09
1802,2.539948582125362e-06,2.4616241489638924e-08,6.713520406265161e-09
1803,2.7012197278963868e-06,3.900678446910888e-09,1.3652374120098898e-08
1804,2.7585856514633633e-06,4.943701892301533e-09,2.4718509461507665e-09
1805,2.5898616513586603e-06,2.842877711017877e-09,1.7057265822018053e-08
1806,3.215942797396565e-06,1.729001475325731e-08,5.76333825108577e-09
1807,3.470438286967692e-06,2.8469551160981155e-09,2.8469550272802735e-08
1808,2.839390617737081e-06,2.2660739951163578e-09,1.3596443970698147e-08
1809,2.5233371161448304e-06,4.518061036407062e-09,0.0
1810,2.45011278821039e-06,7.020380277111826e-09,2.106114038724627e-08
1811,2.5923172870534472e-06,0.0,7.521230349638586e-08
1812,2.8379095056152437e-06,5.3344164641089264e-09,8.00162425207418e-09
1813,3.2553396067669382e-06,0.0,8.627225156487839e-09
1814,2.6054485715576448e-06,3.1466771410748606e-09,0.0
1815,3.2285765882988926e-06,1.3486118000116676e-08,5.394447111228828e-09
1816,2.6304803668608656e-06,1.8540831092650478e-08,1.1588019432906549e-08
1817,2.877102133425069e-06,1.556873407970727e-09,4.670620334934483e-09
1818,3.074471578656812e-06,4.768470951432846e-09,3.5763532135746345e-09
1819,3.265756276960019e-06,1.9666995143552413e-08,1.6561680027393777e-08
1820,2.723357511058566e-06,1.3053129244156025e-08,1.779972080839798e-08
1821,2.824330294970423e-06,6.903041693817613e-09,1.97229765852569e-09
1822,2.7760929697251413e-06,6.015369535816717e-09,1.1028177482330648e-08
1823,2.5536862722219666e-06,4.941343334508019e-09,9.882686669016039e-09
1824,2.9195998649811372e-06,5.052667617633233e-09,5.894778887238772e-09
1825,2.8652912078541704e-06,2.641632912414593e-09,3.522177216552791e-09
1826,2.653845740496763e-06,5.284790383086602e-09,7.927185796674507e-09
1827,2.7919120384467533e-06,4.608636583469661e-09,8.295545583791863e-09
1828,2.7792073069576873e-06,9.172301140836225e-09,3.6689205562545624e-09
1829,2.5359454411955085e-06,6.858540846366168e-09,9.430493719264632e-09
1830,2.5591120902390685e-06,4.174734336004349e-09,1.461157062010443e-08
1831,2.600613242975669e-06,1.091384405071949e-08,2.0268567268999504e-08
1832,2.829116510838503e-06,8.117981842303834e-09,2.4353944638733083e-08
1833,2.7070939268014627e-06,5.791814139399776e-09,5.791814139399776e-09
1834,2.6566074211586965e-06,3.733812370398937e-09,3.733812370398937e-09
1835,2.373297093072324e-06,9.075705520444899e-09,2.2689263801112247e-08
1836,2.459122470099828e-06,2.016224964762614e-09,1.0753200108126748e-08
1837,2.449177600283292e-06,6.262101948095733e-09,7.653680356156656e-09
1838,2.2294555037660757e-06,3.1560809521380406e-09,1.4517972601879592e-08
1839,2.775615712380386e-06,4.894032734625853e-09,4.894032734625853e-09
1840,2.5204858502547722e-06,7.64362617644565e-09,1.4013314952876499e-08
1841,2.3871598386904225e-06,6.420548537278137e-09,5.1364388298225094e-09
1842,2.398204742348753e-06,4.695785538189057e-09,4.695785538189057e-09
1843,2.9008840556343785e-06,4.7255288571079745e-09,8.26967572198356e-09
1844,2.5840147372946376e-06,7.683985892015244e-09,1.3721402902788782e-08
1845,2.3492759737564484e-06,2.2320911785556063e-09,1.227650126001123e-08
1846,2.383367473157705e-06,6.439951683034906e-09,1.0538101946622191e-08
1847,2.472793084962177e-06,4.314578916364553e-09,2.3730184040005042e-08
1848,2.4208072773035383e-06,7.24069959545659e-09,8.84974404868899e-09
1849,2.5448282485740492e-06,8.379414495607307e-09,2.0948537127196687e-08
1850,2.4800201572361402e-06,2.7155984128057753e-09,2.0366988096043315e-08
1851,2.3030945612845244e-06,6.449438760824933e-09,1.1608989769484879e-08
1852,2.3385878193948884e-06,4.557382027314816e-09,2.343796334791648e-08
1853,2.3929530925670406e-06,8.360704129017904e-09,9.555090496604635e-09
1854,2.395720912318211e-06,6.754363734984281e-09,7.79349651480743e-09
1855,2.436414888506988e-06,3.714855978387277e-09,3.1841622671890946e-09
1856,2.333359134354396e-06,7.765783571755946e-09,3.5204886783546385e-08
1857,2.2728306703356793e-06,5.369659827891837e-09,9.274867096564776e-09
1858,2.4331357053597458e-06,5.872411001917044e-09,1.419166006932926e-08
1859,2.474286930009839e-06,3.055304009791371e-09,1.2730433596175317e-08
1860,2.5980095870181685e-06,8.238931314963338e-09,1.3273833754379183e-08
1861,2.6838549729291117e-06,6.6023493339173456e-09,3.772770984511453e-09
1862,2.3701356894889614e-06,1.3553959066214816e-09,9.939570083661309e-09
1863,2.343975666008191e-06,4.994620717013731e-09,1.4983863039219614e-08
1864,2.4040766675170744e-06,4.315255264231155e-09,1.102787461348953e-08
1865,2.5162789825117216e-06,8.943004559114343e-09,2.3534221238463715e-09
1866,2.2615367925027385e-06,2.919367858567057e-09,9.731225603104576e-09
1867,2.2730569071427453e-06,1.94112459439566e-09,2.91168689159349e-09
1868,2.3256927761394763e-06,3.951899252285784e-09,4.939874287401835e-09
1869,2.5155006824206794e-06,6.8369265804335555e-09,8.301982545866338e-09
1870,2.3257302927959245e-06,1.1468097582678638e-09,1.2614907340946502e-08
