year,bien_ADV à_ADP,bien_ADV las_ADJ,bien_ADV a_ADP
1800,1.1947824781088912e-05,8.174827570428533e-08,1.2576657937302116e-08
1801,1.3167939680869267e-05,1.0715321963061797e-07,1.1905912700171939e-08
1802,1.3541170886810505e-05,8.056224487518193e-08,2.6854081625060644e-08
1803,1.183855950515067e-05,6.241085515057421e-08,1.755305234496518e-08
1804,1.2468016368671897e-05,1.0628959046243835e-07,2.7190360185613827e-08
1805,1.306870884132394e-05,1.1371511021707192e-07,1.421438877713399e-08
1806,1.3742680234685167e-05,9.509508203109363e-08,3.1698359492793315e-08
1807,1.0257579436512287e-05,3.701041695336471e-08,1.9928686256776018e-08
1808,1.096099994946087e-05,5.6651849433819734e-08,3.172503681980743e-08
1809,1.1098617008542533e-05,1.219876537561504e-07,2.710836710662079e-08
1810,1.2039951785780545e-05,1.0062544930633521e-07,2.3401266702194334e-08
1811,1.1527538954503314e-05,1.3036799373367103e-07,2.5070768572277302e-08
1812,1.266923915821394e-05,9.868670769463961e-08,2.1337665856435706e-08
1813,1.2017724358770465e-05,9.489947672136623e-08,2.0130191291656274e-08
1814,1.1365797632834074e-05,1.2272040805783035e-07,1.5733385705374303e-08
1815,1.076731633897765e-05,5.1247248222807684e-08,2.966945977789237e-08
1816,1.1778062946277146e-05,2.3176038865813098e-08,1.622322720606917e-08
1817,1.216385172142509e-05,1.6191484064620454e-07,2.335310189671702e-08
1818,1.3329068849543546e-05,1.0013788909191135e-07,1.7881766511962383e-08
1819,1.1919233838142418e-05,1.2214239575314423e-07,2.173720581311045e-08
1820,1.4938713199796894e-05,1.9461029410194897e-07,2.254631414899677e-08
1821,1.4601906094924288e-05,2.19911186927213e-07,3.35290586406245e-08
1822,1.4992306432759506e-05,1.1529458276982041e-07,3.0076847679083585e-08
1823,1.5880488659192338e-05,1.620760627929485e-07,2.8659792761231984e-08
1824,1.543168869488909e-05,2.1810681971601298e-07,2.6947561515555662e-08
1825,1.540248045905912e-05,1.1887347994843367e-07,2.113306396545056e-08
1826,1.357750787711609e-05,1.8320606898214464e-07,8.80798456392995e-09
1827,1.293920758893563e-05,9.493791242043415e-08,1.935627425009301e-08
1828,1.3641046298973336e-05,9.906085551847355e-08,1.7427371545863934e-08
1829,1.3727369257310329e-05,8.658907546532646e-08,1.8860986994440054e-08
1830,1.4054243179906223e-05,1.0854309095975623e-07,1.8786305178153384e-08
1831,1.3544080980310014e-05,1.3096612860863388e-07,2.8064170987107673e-08
1832,1.4616425598745764e-05,2.0836152847536482e-07,3.111892965534935e-08
1833,1.4331265054678965e-05,1.12361200010902e-07,1.5058717495186613e-08
1834,1.3782434944431543e-05,9.894602470694736e-08,2.240287422239362e-08
1835,1.5565591105826115e-05,1.830267279956388e-07,1.739510224751939e-08
1836,1.6104933560967538e-05,1.0954822471376247e-07,1.612980005116782e-08
1837,1.6659278568198488e-05,1.2802519222532283e-07,3.6181031504156635e-08
1838,1.617428296185608e-05,1.0541310291323214e-07,2.4617431204632112e-08
1839,1.559658351268922e-05,1.132618976384947e-07,3.076249033284739e-08
1840,1.4556649583497006e-05,6.688173215252391e-08,1.528725324106972e-08
1841,1.5241098004992182e-05,7.704658289142685e-08,1.219904177673925e-08
1842,1.4714579442909326e-05,5.836190775099226e-08,2.750388583550034e-08
1843,1.3880059995585725e-05,9.628264763250627e-08,2.0674189582514657e-08
1844,1.3810318035822888e-05,5.81787498732389e-08,1.4270258974491412e-08
1845,1.396228868522087e-05,1.1439467462182051e-07,1.2834524221183585e-08
1846,1.3859360911361307e-05,8.840297027745692e-08,1.9905304071698993e-08
1847,1.2365583339501995e-05,7.874106700000993e-08,1.0247124926365814e-08
1848,1.3716298127519622e-05,5.551202875153649e-08,2.735375392859396e-08
1849,1.3052614640685078e-05,5.1952373070207614e-08,2.262441967104678e-08
1850,1.4138762963966656e-05,8.146795238417326e-08,1.0862393651223101e-08
1851,1.2996908967721765e-05,6.965393950508769e-08,1.612359690206233e-08
1852,1.3994417759732869e-05,6.185018408544352e-08,2.2135854038651814e-08
1853,1.4707674015568273e-05,6.151089593231518e-08,2.269334142823709e-08
1854,1.5137048485769355e-05,1.0443285636263511e-07,9.871762074453727e-09
1855,1.4128128157153697e-05,7.53585069901419e-08,1.6982198758341838e-08
1856,1.4606404430850262e-05,1.0302606656686919e-07,1.9673318418789165e-08
1857,1.538993458893856e-05,9.567757741635319e-08,3.8075771424672666e-08
1858,1.5956320186916173e-05,7.193704099073273e-08,2.1042807274440634e-08
1859,1.573532436793812e-05,9.267755274322553e-08,1.985947650773312e-08
1860,1.4878594146949808e-05,7.78121257150044e-08,1.0069804767809387e-08
1861,1.6082850301302187e-05,9.526246663726923e-08,1.55626805886655e-08
1862,1.62159554335517e-05,1.2966621221188745e-07,1.8071945939723832e-08
1863,1.540790633924871e-05,7.092361409277714e-08,2.1976332309492363e-08
1864,1.6462218841439835e-05,7.096197118805492e-08,1.8219966202437377e-08
1865,1.6471602059198176e-05,9.366620112860602e-08,1.6473955088969205e-08
1866,1.6188380172366124e-05,8.90407179099384e-08,1.7516205930157014e-08
1867,1.6199655206605712e-05,7.8130268477139e-08,1.6984840200962026e-08
1868,1.6368766974750315e-05,8.200190781959549e-08,2.272342025655405e-08
1869,1.6998065220263925e-05,9.91354420776247e-08,1.7580668809635824e-08
1870,1.678298679053114e-05,5.676708214608084e-08,1.8922361455508963e-08
1871,1.647663269466193e-05,5.8416475212652585e-08,4.5671061599250606e-08
1872,1.6116763163154246e-05,9.3129022604721e-08,3.1446165227322354e-08
1873,1.666862851834594e-05,1.2750189659627154e-07,3.352162369907319e-08
1874,1.7239136383295772e-05,9.320390148559454e-08,1.3741600746186577e-08
1875,1.6869922191631304e-05,8.410644625200803e-08,2.9179788085809122e-08
1876,1.7110825879740332e-05,1.408721459483786e-07,2.0556449653597042e-08
1877,1.6483771446473838e-05,1.088527596948552e-07,2.9068635498674666e-08
1878,1.5534348449364188e-05,9.239805531802148e-08,3.2611078726318965e-08
1879,1.7260066606183955e-05,8.858521893806426e-08,1.588424503040642e-08
1880,1.6187092647612644e-05,1.232226420899707e-07,4.2999568572454905e-08
1881,1.6879046491169447e-05,9.552335683560287e-08,1.5339516323820135e-08
1882,1.7338609467287824e-05,1.3510432417263019e-07,1.7304001564966143e-08
1883,1.6930772218870516e-05,7.89917375954019e-08,2.4013488364449387e-08
1884,1.71281033658488e-05,1.0166613595430363e-07,2.1125430293977843e-08
1885,1.6276518934432715e-05,7.154655362606732e-08,2.1270597838629612e-08
1886,1.647053072417748e-05,7.486018105407055e-08,2.0005738787798322e-08
1887,1.7063997745481174e-05,8.618180658004349e-08,1.697520485288706e-08
1888,1.6560416625566177e-05,9.003672829521747e-08,1.7119659467823567e-08
1889,1.7269850104639772e-05,8.520586192162227e-08,1.7542383268231987e-08
1890,1.7241969317183248e-05,6.292211046643459e-08,1.9663160266691904e-08
1891,1.6991758499784737e-05,6.820415288100179e-08,1.7847816335958555e-08
1892,1.6942535793873503e-05,8.211750923692307e-08,2.193979398157353e-08
1893,1.688884221096032e-05,6.158416715473791e-08,1.1700991342511458e-08
1894,1.6835821824656705e-05,6.868677959737113e-08,1.5753848447985774e-08
1895,1.7286062998778107e-05,5.9584283951252814e-08,3.250051938685772e-08
1896,1.7487050087083844e-05,6.95849444176666e-08,3.184395658273331e-08
1897,1.753899007894688e-05,8.507001825197591e-08,1.5732126934508983e-08
1898,1.783117394893452e-05,5.714938478007525e-08,1.9804241913057297e-08
1899,1.7066950547928172e-05,1.1718466019772222e-07,1.7688250864011934e-08
1900,1.698460664556478e-05,8.253774363975452e-08,2.4397949438537125e-08
1901,1.7015474966797228e-05,7.768347398684483e-08,2.1796081606240136e-08
1902,1.7139346411454426e-05,4.2228439411928775e-08,2.7497588928060424e-08
1903,1.6978292933345074e-05,5.886240117547459e-08,1.9980814780495848e-08
1904,1.7001552691908728e-05,4.783416418518982e-08,2.203596238814498e-08
1905,1.7396919332668404e-05,6.967025001358707e-08,2.373949126166508e-08
1906,1.6736604919742604e-05,7.510509680841437e-08,2.674975946304059e-08
1907,1.663966978071585e-05,5.8628413568406756e-08,1.4399961556499363e-08
1908,1.7233572279451437e-05,7.514425215404685e-08,2.5048084717482766e-08
1909,1.702334301967312e-05,6.821219500352527e-08,2.6954819265512242e-08
