year,en_ADP oies_NOUN,en_ADP loi_NOUN
1800,9.432493897065797e-09,7.76608626296138e-07
1801,0.0,1.1096311283154137e-06
1802,6.713520406265161e-09,1.1771039680752438e-06
1803,1.950339267864365e-08,9.400635327949658e-07
1804,1.9774807569206132e-08,7.440271101444296e-07
1805,2.842877711017877e-09,5.742613105041983e-07
1806,0.0,6.397305263305952e-07
1807,1.9928686256776018e-08,1.8704495232668705e-06
1808,2.039466551195801e-08,1.2644692546359693e-06
1809,2.4849335034105025e-08,9.013531487855886e-07
1810,2.106114038724627e-08,1.0811385084963376e-06
1811,2.5070768572277302e-08,7.395876480131847e-07
1812,5.3344164641089264e-09,8.881803537086341e-07
1813,1.1502966579257645e-08,1.0065095956690584e-06
1814,0.0,8.496028556237434e-07
1815,2.697223555614414e-09,1.3405201109151221e-06
1816,4.6352077731626196e-09,9.316767766165412e-07
1817,0.0,1.12561951226553e-06
1818,2.384235475716423e-09,9.668074927304815e-07
1819,1.035105001712111e-09,1.036140051979828e-06
1820,1.3053129244156025e-08,1.2186876503506028e-06
1821,1.1833785507064931e-08,1.2366306068045674e-06
1822,3.0076847679083585e-09,9.133336220656929e-07
1823,2.668325471688604e-08,1.3993884122598388e-06
1824,0.0,1.1890611180120914e-06
1825,3.522177216552791e-09,9.800458471431739e-07
1826,0.0,1.4462710051788008e-06
1827,1.8434546111834038e-09,1.7475950002676655e-06
1828,4.586150570418113e-09,1.6977929107042655e-06
1829,5.143905745796928e-09,1.5817510128357526e-06
1830,8.349468672008697e-09,1.1939739978927832e-06
1831,3.1182412207897414e-09,1.3782626524516672e-06
1832,0.0,1.3137600403112515e-06
1833,2.548398292390175e-08,1.2741991781695106e-06
1834,2.42697808516823e-08,1.1098757024541328e-06
1835,5.294161553592858e-09,9.96058687974255e-07
1836,6.720750067579218e-10,1.2339296624475082e-06
1837,0.0,1.093084609049555e-06
1838,1.8936485712828244e-09,1.0667554182219874e-06
1839,1.2584655095793096e-08,1.1396104131478069e-06
1840,1.4650283985950807e-08,1.1210651904569602e-06
1841,5.778493683550323e-09,1.1659716561140954e-06
1842,1.341653010911159e-08,1.1061928759659168e-06
1843,4.7255288571079745e-09,1.1991029467139924e-06
1844,9.330554162634286e-09,1.1366810093171864e-06
1845,3.9061593959388574e-09,1.5752983633099404e-06
1846,9.367202347121406e-09,1.3693678635462447e-06
1847,9.168480197274675e-09,1.1654756733037175e-06
1848,1.287235473768078e-08,9.533587981280789e-07
1849,1.1731180693530519e-08,1.2175289865190564e-06
1850,6.1100964288129944e-09,1.0326062902521471e-06
1851,6.449438760824933e-10,1.3195551407108042e-06
1852,5.208436348880241e-09,1.0332235689247682e-06
1853,2.9859659189668264e-09,9.578978783508774e-07
1854,5.195664343204953e-09,9.897740262942989e-07
1855,4.776243400783642e-09,7.886108406296444e-07
1856,3.106313539724681e-09,9.267168890048083e-07
1857,9.763018171682347e-10,8.48894447624815e-07
1858,1.468102750479261e-09,8.823297643623107e-07
1859,3.5645213447565993e-09,8.875658430440581e-07
1860,5.95033897154984e-09,8.60968286886532e-07
1861,8.017138342086838e-09,8.521746306389133e-07
1862,9.035972525772706e-10,8.832662894420196e-07
1863,4.9946209945694875e-09,1.0114106654413035e-06
1864,9.589455896019672e-10,1.062511722604853e-06
1865,3.2947911621228343e-09,8.707661973694769e-07
1866,6.811858188626729e-09,8.675387649370592e-07
1867,4.85281148598915e-10,1.0079288941255982e-06
1868,5.433861360870651e-09,7.750662405214825e-07
1869,1.953407657850903e-09,8.888004847662501e-07
1870,1.1468097582678638e-09,8.996722664633694e-07
1871,1.0621177271019633e-09,6.701962895760971e-07
1872,1.2094678591978436e-09,8.188097169181674e-07
1873,2.9930022349411445e-09,9.505775127038874e-07
1874,4.182226565063729e-09,7.671398241093641e-07
1875,5.149374260327022e-09,7.798441385986621e-07
1876,8.464420275799966e-09,7.738899119313913e-07
1877,2.4739263970730008e-09,8.510306894748965e-07
1878,1.3285995414946683e-08,7.301258140302025e-07
1879,1.0996785704264767e-08,1.0416399849333402e-06
1880,1.1552123035940554e-08,7.91320445614474e-07
1881,6.972507571312292e-10,6.428651877499192e-07
1882,6.655385131892899e-10,7.380822095726103e-07
1883,1.2006744043446815e-08,8.006602225663073e-07
1884,3.300848483434038e-09,6.535680032726532e-07
1885,7.090199094506033e-09,6.96128647170724e-07
1886,1.5488312854472497e-08,7.002008093337508e-07
1887,7.834709769838355e-09,8.572477807611278e-07
1888,1.7119660356001987e-08,6.663985834265418e-07
1889,1.8795409673089125e-09,7.480573023244119e-07
1890,5.243509182406569e-09,6.416744091630733e-07
1891,3.1871101313640793e-09,7.177371861288862e-07
1892,6.268512375839919e-09,6.199558755248802e-07
1893,6.158416498980301e-09,6.780416588192395e-07
1894,5.041231432301174e-09,6.944296362387803e-07
1895,1.745398137131815e-08,6.704736792428889e-07
1896,2.948514543632541e-09,6.598775303956472e-07
1897,6.992056045262984e-09,7.644648145621602e-07
1898,1.923840653450526e-08,6.161948484795232e-07
1899,6.080336234504102e-09,6.07480853176412e-07
1900,4.15284251431558e-09,6.504389693517965e-07
1901,6.147612696683069e-09,7.125642342842298e-07
1902,1.6694965410124496e-08,5.862879195461801e-07
1903,1.0260418292773466e-08,5.567626817359894e-07
1904,2.6873125946735854e-09,6.196943074243677e-07
1905,5.160759042333041e-10,7.065079183909972e-07
1906,9.259531807970234e-09,5.298509870854673e-07
1907,6.685696440911215e-09,6.495410911355748e-07
1908,4.4202501658929805e-09,5.677565502182347e-07
1909,6.60118004702781e-09,6.227113438228571e-07
1910,2.137660271017694e-09,5.905286606378013e-07
1911,2.128149656499545e-09,6.038624471571552e-07
1912,5.209421061191932e-09,6.412797484145472e-07
1913,5.302989602995467e-09,6.718888201362461e-07
1914,4.018046340092951e-09,7.346327928203777e-07
1915,5.890381071793627e-09,1.2134184634859935e-06
1916,3.2962386153911893e-09,9.998589982629369e-07
1917,3.289927441585405e-09,7.676497006947613e-07
1918,3.44591288836682e-09,9.131669145290289e-07
1919,2.762354511798293e-09,8.222608798291731e-07
1920,9.086678076641874e-09,8.215871205585756e-07
1921,7.572747429129834e-10,7.330419435902513e-07
1922,2.951174193910333e-09,5.526073900696815e-07
1923,2.1231896241147297e-09,8.195511931319288e-07
1924,5.156649662829693e-09,7.296659587652243e-07
1925,7.698724768800957e-09,6.82986865285784e-07
1926,1.1146138456652466e-09,1.042163941811225e-06
1927,6.689535148041159e-09,1.0937389536280762e-06
1928,2.2852082448565625e-09,8.740921790817424e-07
1929,3.342121912552898e-09,7.798284329396665e-07
1930,2.100720708497761e-09,6.68029187522734e-07
1931,4.5621426636444085e-09,7.67580516480848e-07
1932,6.575722188983946e-09,9.62247326263821e-07
1933,0.0,6.882397585172839e-07
1934,3.5944740517379614e-09,9.225816892666217e-07
1935,3.590485242455088e-09,1.2482920723755342e-06
1936,2.424942913137329e-09,1.0318132179776285e-06
1937,0.0,9.380383065860087e-07
1938,9.075650453382877e-09,7.351276343214863e-07
1939,1.070583532936098e-08,7.004674849042658e-07
1940,7.607348750937604e-09,7.429844037787348e-07
1941,0.0,6.345730589885079e-07
1942,3.034211770724937e-09,5.704318333243918e-07
1943,2.9032352077962287e-09,4.964532402951249e-07
1944,0.0,6.008657962297548e-07
1945,4.357008087652048e-09,4.749138864390545e-07
1946,0.0,7.336422136461351e-07
1947,2.3841741914054637e-09,3.5524195185487883e-07
1948,1.0871887834440486e-09,3.7834170818484836e-07
