year,on_PRON imite_VERB,on_PRON limite_VERB
1800,4.4332719539852405e-07,3.144164395507687e-08
1801,5.691026530030285e-07,9.524730337773235e-09
1802,5.348437923657912e-07,6.042168365638645e-08
1803,4.3102497926383876e-07,2.7304748684287006e-08
1804,3.0898137026724726e-07,8.898663206302615e-08
1805,5.287752458116302e-07,1.1371510844071508e-08
1806,5.014104331735325e-07,2.881669125542885e-09
1807,4.953702017473915e-07,3.131650672116848e-08
1808,1.142101297091358e-06,5.6651849433819734e-08
1809,4.0436646031594137e-07,6.7770917766551975e-09
1810,3.1825724278178313e-07,2.3401267590372754e-09
1811,3.635261265344525e-07,1.504245972228091e-08
1812,1.4136203496661892e-07,4.5342538612658245e-08
1813,2.962013780916095e-07,2.0130191291656274e-08
1814,3.4613447041920153e-07,6.293354282149721e-09
1815,2.5353900667823837e-07,0.0
1816,3.545933893178699e-07,3.0128852301913867e-08
1817,2.3820163619348023e-07,3.113746815941454e-09
1818,2.873003666081786e-07,2.384235475716423e-09
1819,2.77408140902935e-07,4.554461874306526e-08
1820,1.993568758962283e-07,1.898636980968149e-08
1821,3.2247067593971224e-07,3.254291058851777e-08
1822,3.5189911784527794e-07,2.2056354964661296e-08
1823,1.7294701848413752e-07,2.9648060451137326e-08
1824,2.55159712025943e-07,5.894778887238772e-09
1825,2.8969908072440376e-07,1.7610886082763955e-08
1826,2.0610682582855588e-07,1.8496766784892316e-08
1827,2.064669146761844e-07,2.8573545918231247e-08
1828,2.623278163582654e-07,3.8523666034961934e-08
1829,2.177586750917726e-07,2.1432940588983485e-08
1830,2.442219582121652e-07,1.2524202785968441e-08
1831,2.2607249405837138e-07,2.3386808045700036e-08
1832,2.0159653502105357e-07,2.4353944638733083e-08
1833,2.351476595663371e-07,5.3284690437749305e-08
1834,2.4643161822268667e-07,2.333632798112717e-08
1835,2.1706063080273452e-07,3.1764969321557146e-08
1836,1.854927056399447e-07,4.637317552180775e-08
1837,2.163904113672288e-07,4.313892443263967e-08
1838,1.6853472040168072e-07,4.860364732905964e-08
1839,2.0624852226092116e-07,5.733009800223954e-08
1840,2.3822635597525732e-07,4.458782010274831e-08
1841,2.1765659141692595e-07,5.714288064950779e-08
1842,1.8917307897936553e-07,4.8299510169158566e-08
1843,1.6952834336336764e-07,6.143187514240367e-08
1844,1.9649048610403952e-07,5.817874848546012e-08
1845,1.953079760141918e-07,9.318980698225232e-08
1846,2.2305650304588198e-07,4.2737858807484486e-08
1847,1.8822350256186837e-07,7.766242315909722e-08
1848,1.552727759701611e-07,9.252004851134643e-08
1849,1.9021272024133395e-07,8.379414495607307e-08
1850,1.3510102192526574e-07,6.110096606448678e-08
1851,1.902584472190938e-07,4.51460699935069e-08
1852,1.6471679131768724e-07,5.859490892490271e-08
1853,1.8154673142589672e-07,7.464914730803685e-08
1854,1.7976999799884652e-07,6.338710623055022e-08
1855,1.942338947458211e-07,6.421393905498007e-08
1856,2.0967616976008685e-07,6.316171008435845e-08
1857,2.230849709405902e-07,6.199516633387248e-08
1858,1.7715107603066826e-07,6.60646262140574e-08
1859,1.6345876119316927e-07,5.703234151610559e-08
1860,1.7255983664199448e-07,7.82698421630812e-08
1861,1.6128596058706535e-07,5.32903889904901e-08
1862,1.6445470762960213e-07,6.7317995622318e-08
1863,1.9828643971209203e-07,4.844782353075061e-08
1864,2.670663477033486e-07,6.041357192287933e-08
1865,1.6662229285202557e-07,8.519388572381104e-08
1866,1.8343360963513078e-07,7.639012267190992e-08
1867,2.1109730141688487e-07,8.298307641041447e-08
1868,1.9117312177741042e-07,9.780950627202856e-08
1869,1.938757137054381e-07,7.37411394169385e-08
1870,2.1215980794409006e-07,6.020751230906285e-08
1871,1.0621177537473159e-07,7.859670847487621e-08
1872,1.6811603131827724e-07,9.131482059387963e-08
1873,1.550375188230646e-07,1.0295927665993077e-07
1874,1.7147127806538265e-07,1.2486932732258538e-07
1875,1.4132172054814873e-07,1.0756471180428662e-07
1876,1.4087214239566492e-07,1.4026754513452033e-07
1877,1.4781710078182186e-07,1.2307783681109186e-07
1878,1.7815311892377395e-07,7.488470110672552e-08
1879,1.8511255817088568e-07,8.553055241833363e-08
1880,1.135958775932977e-07,7.829772386003242e-08
1881,1.2480788313951052e-07,1.3178039637296024e-07
1882,1.5174278189533652e-07,9.583754856379301e-08
1883,2.2876007221839245e-07,1.0300522212958185e-07
1884,1.7296445520287307e-07,1.2213139566341624e-07
1885,1.5533982278270742e-07,1.1602144489586408e-07
1886,1.4004016435364974e-07,1.1551700040968171e-07
1887,1.5799997399312815e-07,1.1229750196406485e-07
1888,1.1096075525074411e-07,8.623235991933598e-08
1889,1.57881448359376e-07,9.209751183902881e-08
