year,en_PRON avais_VERB
1800,1.131899196593622e-07
1801,6.429193177837078e-08
1802,1.1412984690650774e-07
1803,1.0336798084153997e-07
1804,7.415552971679062e-08
1805,1.02343598484822e-07
1806,5.76333825108577e-08
1807,5.97860605466849e-08
1808,9.29090351320383e-08
1809,1.4683698168482806e-07
1810,1.0998595456612748e-07
1811,1.2033967777824728e-07
1812,9.068507855758412e-08
1813,5.7514832008109806e-08
1814,7.552024783308298e-08
1815,5.664169533403651e-08
1816,8.343373991692715e-08
1817,1.2610674748891881e-07
1818,1.4663048375496146e-07
1819,8.694881725723747e-08
1820,1.4002447645822258e-07
1821,2.54426405277286e-07
1822,2.0552512580707116e-07
1823,2.0852469706511556e-07
1824,2.863178325540616e-07
1825,1.7786994988000515e-07
1826,1.7792127948723646e-07
1827,2.3411873462109156e-07
1828,2.4306597845580313e-07
1829,2.2718916686814694e-07
1830,2.9640614229720086e-07
1831,2.5569578609996313e-07
1832,2.421864464530188e-07
1833,4.2859426230279496e-07
1834,1.7922298845007845e-07
1835,2.851284293114986e-07
1836,1.586097084782523e-07
1837,2.2126093313090678e-07
1838,1.2056229081736092e-07
1839,1.5381245077605854e-07
1840,2.2612395439436384e-07
1841,1.3739974047410897e-07
1842,1.7240241190208394e-07
1843,1.8134217327769875e-07
1844,1.2678576344349324e-07
1845,1.5568835981527585e-07
1846,1.3582442437432007e-07
1847,1.229655008927466e-07
1848,1.5768634703539064e-07
1849,1.2736710663929784e-07
1850,1.5614690251908314e-07
1851,1.7993933942861418e-07
1852,1.2304930252504676e-07
1853,1.8572707460862148e-07
1854,1.740547590500796e-07
1855,1.6610712805231742e-07
1856,1.8948512747751778e-07
1857,2.0258262578565223e-07
1858,1.7764044546453306e-07
1859,1.7618920322703957e-07
1860,2.2107798258730327e-07
1861,2.174059302584297e-07
1862,1.4773814882573788e-07
1863,2.1826493079579734e-07
1864,2.1480381562355433e-07
1865,1.6850502349008423e-07
1866,2.2430476143142641e-07
1867,2.465228359227467e-07
1868,1.76353503356097e-07
1869,2.0266604172647362e-07
1870,2.0413213697167976e-07
1871,1.7737365487491275e-07
1872,2.249610253635126e-07
1873,2.2208075911578362e-07
1874,2.509335916833777e-07
1875,2.860763572698488e-07
1876,2.986731306720003e-07
1877,2.913048273711638e-07
1878,2.294853735929081e-07
1879,3.103537205007001e-07
1880,2.2847532332725962e-07
1881,3.0888209778812126e-07
1882,2.608911005008707e-07
1883,3.020643986606508e-07
1884,2.429424448280315e-07
1885,1.9788100980022705e-07
1886,2.071561939209765e-07
1887,2.102313740870443e-07
1888,1.8831625125947937e-07
1889,2.0862906041640983e-07
1890,2.0646317833161731e-07
1891,1.791155845864978e-07
1892,2.0874146056115706e-07
1893,2.401782526195717e-07
1894,2.558424998522213e-07
1895,2.1667011895765143e-07
1896,2.317532432627445e-07
1897,2.045176463738585e-07
1898,2.1162247776373988e-07
1899,2.481882717120243e-07
1900,2.0141286416475168e-07
1901,2.2075518746333955e-07
1902,1.8364461668030074e-07
1903,1.5822645682561642e-07
1904,1.8703695214838945e-07
1905,1.7236935756503868e-07
1906,1.8621948044694747e-07
1907,2.041708853095514e-07
1908,2.1315428622159516e-07
1909,1.6998039598092873e-07
1910,2.2178224945434977e-07
1911,1.8887327846162094e-07
1912,1.8545539637315755e-07
1913,1.6810477898587806e-07
1914,1.5402510200601682e-07
1915,1.7082105330246122e-07
1916,1.6151569415256972e-07
1917,1.8533257950537063e-07
1918,1.849306636714232e-07
1919,1.6942440972389505e-07
1920,1.7037521349294593e-07
1921,2.0446417781094794e-07
1922,2.3830731965546192e-07
1923,2.696450747130541e-07
1924,2.2173593716701134e-07
1925,2.727548120695644e-07
1926,2.708511595006513e-07
1927,2.4751279070756027e-07
1928,2.6851198020594325e-07
1929,2.896505586491571e-07
1930,2.0902170771996964e-07
1931,1.8818838043443975e-07
1932,2.520693298535548e-07
1933,2.0417778223702499e-07
1934,2.3963160877826795e-07
1935,2.226100814795018e-07
1936,1.6610859310262072e-07
1937,1.838303260726093e-07
1938,1.8410604862850732e-07
1939,2.2482254191658058e-07
1940,1.0143131845552489e-07
1941,2.1841119535181974e-07
1942,1.9418955332639598e-07
1943,1.5096823346993915e-07
1944,1.8636479559575037e-07
1945,2.1131489225112432e-07
1946,1.6148480863620307e-07
1947,2.992138474766648e-07
1948,1.891708416579263e-07
1949,1.7965125609364918e-07
1950,1.9569064901858724e-07
1951,3.496939680047717e-07
1952,1.6871686181474388e-07
1953,1.7238124350171802e-07
1954,2.384498776208943e-07
1955,2.0648336906958775e-07
1956,1.8314397998153709e-07
1957,1.970213375779295e-07
1958,2.5561231176141064e-07
1959,2.3097227952462163e-07
1960,2.456895860092345e-07
1961,2.014966238306215e-07
1962,1.9533225970036483e-07
1963,2.3407112959006326e-07
1964,2.257152291740283e-07
1965,1.8823829828207295e-07
1966,1.9054417021990844e-07
1967,1.641801754548311e-07
1968,1.7875835389702388e-07
1969,1.644116327526035e-07
1970,1.673935940971205e-07
1971,1.5158272681503604e-07
1972,1.8878940277744505e-07
1973,1.6925535506473466e-07
1974,1.451397442231439e-07
1975,1.559234106274232e-07
1976,1.0284348617162209e-07
1977,1.3163991785525297e-07
1978,1.592078457957058e-07
1979,1.4571414230779567e-07
1980,1.7282858566503023e-07
1981,1.4042720364315642e-07
1982,1.4525555602773466e-07
1983,1.2504325930251525e-07
1984,1.409159011700467e-07
1985,1.4497495293142038e-07
1986,1.492626870991387e-07
1987,1.5215933535372983e-07
1988,2.5125559854899393e-07
1989,1.8549853031402108e-07
1990,1.5964547461777556e-07
1991,1.5767341388084333e-07
1992,1.8513412225473758e-07
1993,1.6839190353223898e-07
1994,1.498079162942645e-07
1995,1.6809598202272014e-07
1996,1.5960895538569275e-07
1997,1.721367111073846e-07
1998,1.8166572068878395e-07
1999,1.6407021696807078e-07
2000,1.7230322146843946e-07
2001,1.9584016408558114e-07
2002,2.168704709148983e-07
2003,2.0459591931754062e-07
2004,2.035013606516145e-07
2005,2.34645346708362e-07
2006,2.3554329953157094e-07
2007,2.884014183024419e-07
2008,3.231396838998535e-07
2009,2.999192947328311e-07
2010,3.73179640078547e-07
2011,4.0113464727653536e-07
2012,5.201698343171302e-07
2013,5.558726030585603e-07
2014,6.043757245777215e-07
2015,5.995836609429261e-07
2016,5.903318900379873e-07
2017,6.168279043095026e-07
2018,6.510459229502885e-07
2019,6.497365561131119e-07
