year,son_DET égal_NOUN,son_DET egal_NOUN,son_DET légal_ADJ
1800,5.0306631749208464e-08,0.0,0.0
1801,7.143547975374531e-09,0.0,0.0
1802,8.951360541686881e-08,1.3427040812530322e-08,0.0
1803,2.7304748684287006e-08,0.0,0.0
1804,3.213406074564773e-08,0.0,0.0
1805,0.0,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0,0.0
1807,2.8469551160981155e-09,0.0,0.0
1808,6.118399653587403e-08,0.0,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09,2.259030518203531e-09
1810,3.2761775514700275e-08,0.0,0.0
1811,6.267691787797958e-08,5.0141535368197765e-09,0.0
1812,3.467370524035118e-08,0.0,0.0
1813,1.7254450312975678e-08,0.0,0.0
1814,1.2586708564299443e-08,0.0,0.0
1815,0.0,0.0,0.0
1816,2.0858434979231788e-08,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.2454987263765815e-08,0.0,0.0
1818,8.344824387052086e-09,0.0,0.0
1819,1.5526575580793178e-08,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,0.0,0.0
1821,3.94459531705138e-09,0.0,0.0
1822,1.2030739071633434e-08,0.0,0.0
1823,1.581229902569703e-08,0.0,0.0
1824,8.421112696055388e-10,0.0,0.0
1825,2.4655239627691117e-08,0.0,0.0
1826,1.9377566218281572e-08,8.807984341885344e-10,0.0
1827,3.6869092223668076e-09,0.0,0.0
1828,2.2013523448549677e-08,0.0,0.0
1829,4.286587973467704e-09,8.57317605795771e-10,0.0
1830,5.218417697960831e-09,1.0436835840010872e-09,0.0
1831,3.1182412207897414e-09,0.0,0.0
1832,8.117981842303834e-09,0.0,0.0
1833,6.950177322551099e-09,0.0,0.0
1834,1.4001796166951408e-08,0.0,0.0
1835,1.8151411040889798e-08,7.563087933704082e-10,0.0
1836,6.048674894287842e-09,6.720750067579218e-10,2.016224964762614e-09
1837,8.349468672008697e-09,0.0,1.3915781860163179e-09
1838,4.418513555037862e-09,0.0,6.312161904276081e-10
1839,4.194885327990505e-09,0.0,6.9914751765765e-10
1840,1.592422138596561e-08,6.369688665408546e-10,0.0
1841,1.219904177673925e-08,1.2841097074556274e-09,6.420548537278137e-10
1842,3.3541325272778977e-09,0.0,6.708265054555795e-10
