year,mon_DET livre_NOUN
1800,1.7670204073283458e-06
1801,1.9716191559382423e-06
1802,1.2957094099874666e-06
1803,1.3905918230250336e-06
1804,1.3916520664736254e-06
1805,1.6119116565960212e-06
1806,1.1872476477492455e-06
1807,1.1615576465118238e-06
1808,1.2712675108161875e-06
1809,1.6897548036354237e-06
1810,2.0312299753300067e-06
1811,8.398707200818478e-07
1812,1.4776333454591395e-06
1813,1.527018824276638e-06
1814,1.2177640904553755e-06
1815,1.3971618173513889e-06
1816,1.1448962844440302e-06
1817,3.5839226186773487e-06
1818,2.1648858954392836e-06
1819,2.3434777745023894e-06
1820,3.5421447179828647e-06
1821,5.419873812861908e-06
1822,2.331958341983409e-06
1823,1.572335506239142e-06
1824,2.019382875140252e-06
1825,1.8456208810135877e-06
1826,2.283910333744643e-06
1827,1.4756854547215426e-06
1828,4.990649012270865e-06
1829,1.573177838665174e-06
1830,3.4326753990399084e-06
1831,1.6573452137347289e-06
1832,1.6005953340503254e-06
1833,1.751444628439458e-06
1834,2.0759995864594316e-06
1835,3.3141451467599836e-06
1836,2.573375142311818e-06
1837,1.990652709338292e-06
1838,2.158128261875447e-06
1839,1.8038005569209759e-06
1840,1.3637503091246117e-06
1841,1.7232752438367527e-06
1842,1.638158334316131e-06
1843,2.710090795332576e-06
1844,1.420439701416143e-06
1845,1.7521915753881956e-06
1846,2.0982531871993615e-06
1847,1.3181038838183667e-06
1848,2.939723998451882e-06
1849,1.3189198666552215e-06
1850,1.5153039232274068e-06
1851,2.217961930561785e-06
1852,2.9766214026949456e-06
1853,1.633323367222772e-06
1854,2.0564440497139458e-06
1855,1.7788852844091707e-06
1856,2.002019036773106e-06
1857,2.2357310607290515e-06
1858,2.6122443337328605e-06
1859,2.0658947050833376e-06
1860,1.9283675554149227e-06
1861,2.2429122488176745e-06
1862,2.0692377677988816e-06
1863,2.1976331483486433e-06
1864,2.51579374221933e-06
1865,2.5991193908225796e-06
1866,2.2479130894481614e-06
1867,1.8916259172385708e-06
1868,1.8470188720698388e-06
1869,1.977825222709839e-06
1870,2.369309018313004e-06
1871,1.5071450860659752e-06
1872,2.1153592850708947e-06
1873,1.8520697846469147e-06
1874,1.4404782060495336e-06
1875,3.88091191894091e-06
1876,1.8567311554917865e-06
1877,1.923477789489425e-06
1878,1.94035921996516e-06
1879,1.8566239283757113e-06
1880,1.6429685931740323e-06
1881,2.04364196854101e-06
1882,2.002605388184975e-06
1883,1.5583489316739474e-06
1884,1.6451428486163877e-06
1885,1.6191436467138942e-06
1886,1.7224294808215745e-06
1887,1.597627808713753e-06
1888,1.6022733646536835e-06
1889,1.7905761380276886e-06
1890,1.3167762435983832e-06
1891,1.595467335135936e-06
1892,1.4674587660579164e-06
1893,1.4084298634031711e-06
1894,1.6591953144740046e-06
1895,1.892854267993016e-06
1896,1.7714674624969007e-06
1897,1.491638697004305e-06
1898,1.7388125144179867e-06
1899,1.546063668200759e-06
1900,1.493465946467154e-06
1901,1.6531490283355765e-06
1902,1.3252855559642285e-06
1903,1.707549632357086e-06
1904,1.7827632321498754e-06
1905,1.5915781341746538e-06
1906,1.7747436782400428e-06
1907,1.9439948175659083e-06
1908,1.9198620169191827e-06
1909,1.9533993125264715e-06
1910,2.152089432883031e-06
1911,1.8722397108206223e-06
1912,2.070745036775179e-06
1913,1.7616531380326705e-06
1914,2.0599184846759044e-06
1915,1.393664173399145e-06
1916,1.5514296531904392e-06
1917,2.271146460230966e-06
1918,2.0755882985667995e-06
1919,1.616898163803171e-06
1920,1.8430811863368035e-06
1921,1.811401190821016e-06
1922,1.728650241616947e-06
1923,2.53721152887465e-06
1924,2.2715042842236244e-06
1925,2.6395626537834005e-06
1926,2.4677551451190993e-06
1927,3.253343868081515e-06
1928,2.615420861218354e-06
1929,2.5845742790409076e-06
1930,2.616447698500224e-06
1931,2.2856335455401222e-06
1932,2.23136168209237e-06
1933,2.2998677273733392e-06
1934,2.112352500915904e-06
1935,2.1124021589713493e-06
