year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP lame_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,1.6664071722516383e-07
1801,1.904946067554647e-08,2.0478170359439218e-07,3.119349116786907e-07
1802,2.0140561218795483e-08,7.832440473976021e-08,2.5735161557349784e-07
1803,4.290746247193056e-08,9.751695762005852e-08,3.354583384407306e-07
1804,1.4831105232815389e-08,2.4471323856189997e-07,3.114532205472642e-07
1805,2.842877711017877e-09,1.3645813323748257e-07,1.648869130121966e-07
1806,1.2679343797117326e-07,2.0748018414451508e-07,1.9019016406218725e-07
1807,8.540865792383556e-09,2.7046074890790806e-07,1.9643989901396708e-07
1808,9.064295980465431e-09,2.6286459053892486e-07,1.11037628869326e-07
1809,1.3554183553310395e-08,1.6716825657070444e-07,2.2816207945197675e-07
1810,1.6380887757350138e-08,1.8487000863487424e-07,2.3635280399503245e-07
1811,7.270522672797597e-08,9.777599307980722e-08,7.771937760026049e-08
1812,1.3336041604361526e-08,8.268345785822362e-08,2.987273148846725e-07
1813,6.039057609541487e-08,7.189354045422647e-08,7.189353823378042e-08
1814,4.405347908686963e-08,1.5733386149463513e-07,1.1642705288750221e-07
1815,4.045835311217161e-08,2.886029148996272e-07,1.6183341244868643e-07
1816,3.9399267848239106e-08,1.3442102897442965e-07,2.456660013194778e-07
1817,9.029865566390072e-08,8.25142891791586e-08,1.5413046128287533e-07
1818,8.344824209416402e-08,9.775365494846255e-08,2.7180283179717435e-07
1819,1.625114833814223e-07,1.1800196819677922e-07,1.2628281353954662e-07
1820,9.374520004712394e-08,2.0054353644383127e-07,1.1035827185423841e-07
1821,1.370746929296729e-07,1.4989461838421647e-07,9.861488337037372e-08
1822,1.1529458276982041e-07,1.6141241587774857e-07,1.1930482912703155e-07
1823,8.103803139647425e-08,1.7195875101627678e-07,9.586206672906883e-08
1824,5.726356633317664e-08,1.1200079974571509e-07,2.2315948911000305e-07
1825,9.509878395874694e-08,1.673034146776331e-07,2.0780845488843624e-07
1826,1.0041102171953753e-07,1.444509369896707e-07,1.4885493726524146e-07
1827,4.7929820112813104e-08,1.281200947556016e-07,1.7236300209333422e-07
1828,1.1740545602378916e-07,1.1190207738209779e-07,1.6601865127086057e-07
