year,son_DET amas_NOUN,son_DET lama_NOUN
1800,0.0,0.0
1801,1.904946067554647e-08,2.8574191901498125e-08
1802,1.7902721083373763e-08,1.1189200677108602e-08
1803,2.3404069793286908e-08,3.900678446910888e-09
1804,1.4831105232815389e-08,0.0
1805,1.421438833304478e-08,8.528632911009026e-09
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,1.581321384946932e-08,4.518061036407062e-09
1810,9.360507036149102e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,1.600324850414836e-08
1813,4.026038169513413e-08,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,1.3486118000116676e-08
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,3.113746815941454e-09
1818,1.4305412854298538e-08,1.1921176934492905e-08
1819,2.070210003424222e-09,1.1386155129855524e-08
1820,4.390598107306687e-08,0.0
1821,7.691961201317099e-08,1.577838115718322e-08
1822,5.213320264374488e-08,9.023054303725075e-09
1823,7.906149512848515e-09,0.0
1824,3.368444936313608e-07,1.6842225392110777e-09
1825,1.2327619813845558e-08,1.7610886082763955e-09
1826,1.409277530228792e-07,3.5231937367541377e-09
1827,4.977327350275118e-08,3.6869092223668076e-09
1828,2.1830076946116606e-07,9.172301251858528e-10
1829,2.571952872898464e-09,1.1145129263923081e-08
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,9.470978779013706e-09
1833,1.042526565075974e-08,2.3167257112710615e-08
1834,2.42697808516823e-08,0.0
1835,1.1117739262545001e-07,1.285724948729694e-08
1836,5.981467410265395e-08,6.048674894287842e-09
1837,3.75726116885744e-08,0.0
1838,7.195864526465812e-08,3.1560809521380406e-09
1839,1.3982949909063791e-08,0.0
1840,4.0766007458614695e-08,3.1848443882154243e-09
1841,1.7977535904378783e-08,5.1364388298225094e-09
1842,3.4882980060046975e-08,0.0
1843,1.4176587015413133e-08,1.1813822142769936e-09
1844,1.097712254427563e-09,3.841992946007622e-09
