year,un_DET égal_NOUN,un_DET egal_NOUN,un_DET légal_ADJ
1800,3.144164484325529e-09,0.0,9.432493897065797e-09
1801,4.7623651688866175e-09,0.0,2.3811825844433088e-09
1802,0.0,0.0,6.713520406265161e-09
1803,0.0,0.0,1.3652374120098898e-08
1804,0.0,0.0,2.4718509461507665e-09
1805,0.0,0.0,1.7057265822018053e-08
1806,0.0,5.76333825108577e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,0.0,2.8469550272802735e-08
1808,0.0,0.0,1.3596443970698147e-08
1809,2.259030518203531e-09,2.259030518203531e-09,0.0
1810,0.0,2.3401267590372754e-09,2.106114038724627e-08
1811,2.5070767684098882e-09,0.0,7.521230349638586e-08
1812,0.0,2.6672082320544632e-09,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09,8.627225156487839e-09
1814,0.0,0.0,0.0
1815,0.0,0.0,5.394447111228828e-09
1816,0.0,0.0,1.1588019432906549e-08
1817,0.0,1.556873407970727e-09,4.670620334934483e-09
1818,1.1921177378582115e-09,2.384235475716423e-09,3.5763532135746345e-09
1819,0.0,0.0,1.6561680027393777e-08
1820,0.0,1.1866481131050932e-09,1.779972080839798e-08
1821,0.0,9.86148829262845e-10,1.97229765852569e-09
1822,0.0,1.0025615893027862e-09,1.1028177482330648e-08
1823,0.0,0.0,9.882686669016039e-09
1824,0.0,8.421112696055388e-10,5.894778887238772e-09
1825,8.805443041381977e-10,8.805443041381977e-10,3.522177216552791e-09
1826,0.0,5.284790383086602e-09,7.927185796674507e-09
1827,0.0,6.452091305675367e-09,8.295545583791863e-09
1828,0.0,0.0,3.6689205562545624e-09
1829,0.0,1.714635211591542e-09,9.430493719264632e-09
1830,0.0,1.0436835840010872e-09,1.461157062010443e-08
1831,0.0,0.0,2.0268567268999504e-08
1832,0.0,1.3529969367098715e-09,2.4353944638733083e-08
1833,0.0,3.4750886612755494e-09,5.791814139399776e-09
1834,9.334530925997342e-10,1.8669061851994684e-09,3.733812370398937e-09
1835,0.0,2.2689263801112247e-09,2.2689263801112247e-08
1836,0.0,0.0,1.0753200108126748e-08
1837,0.0,0.0,7.653680356156656e-09
1838,0.0,0.0,1.4517972601879592e-08
1839,0.0,0.0,4.894032734625853e-09
1840,0.0,0.0,1.4013314952876499e-08
1841,0.0,0.0,5.1364388298225094e-09
1842,0.0,6.708265054555795e-10,4.695785538189057e-09
1843,5.906911071384968e-10,1.1813822142769936e-09,8.26967572198356e-09
1844,0.0,1.097712254427563e-09,1.3721402902788782e-08
1845,5.580227946389016e-10,0.0,1.227650126001123e-08
1846,0.0,1.1709002656346001e-09,1.0538101946622191e-08
1847,0.0,7.011190739092399e-09,2.3730184040005042e-08
1848,0.0,0.0,8.84974404868899e-09
