year,en_ADP oie_NOUN,en_ADP loi_NOUN
1800,3.144164484325529e-09,7.76608626296138e-07
1801,1.666827853519237e-08,1.1096311283154137e-06
1802,2.0140561218795483e-08,1.1771039680752438e-06
1803,9.751696339321825e-09,9.400635327949658e-07
1804,1.2359254952798437e-08,7.440271101444296e-07
1805,3.695740957709859e-08,5.742613105041983e-07
1806,1.4408345627714425e-08,6.397305263305952e-07
1807,0.0,1.8704495232668705e-06
1808,1.0877154998922833e-07,1.2644692546359693e-06
1809,0.0,9.013531487855886e-07
1810,2.3401266702194334e-08,1.0811385084963376e-06
1811,1.504245972228091e-08,7.395876480131847e-07
1812,2.6672082320544632e-09,8.881803537086341e-07
1813,5.751483289628823e-09,1.0065095956690584e-06
1814,1.1642705288750221e-07,8.496028556237434e-07
1815,0.0,1.3405201109151221e-06
1816,2.3176038865813098e-09,9.316767766165412e-07
1817,4.670620334934483e-09,1.12561951226553e-06
1818,4.768470951432846e-09,9.668074927304815e-07
1819,4.140420006848444e-09,1.036140051979828e-06
1820,2.3732962262101864e-09,1.2186876503506028e-06
1821,1.577838126820552e-08,1.2366306068045674e-06
1822,1.0025615893027862e-09,9.133336220656929e-07
1823,1.9765373782121287e-09,1.3993884122598388e-06
1824,1.9368560089105813e-08,1.1890611180120914e-06
1825,7.924898959288385e-09,9.800458471431739e-07
1826,3.5231937367541377e-09,1.4462710051788008e-06
1827,1.8434546111834038e-09,1.7475950002676655e-06
1828,7.337841001486822e-09,1.6977929107042655e-06
1829,9.430493719264632e-09,1.5817510128357526e-06
1830,2.0873671680021744e-09,1.1939739978927832e-06
1831,1.5591206103948707e-09,1.3782626524516672e-06
1832,2.0294953273491956e-08,1.3137600403112515e-06
1833,2.3167257001688313e-09,1.2741991781695106e-06
1834,3.733812370398937e-09,1.1098757024541328e-06
1835,7.563087933704082e-09,9.96058687974255e-07
1836,2.016224964762614e-09,1.2339296624475082e-06
1837,1.3915781860163179e-09,1.093084609049555e-06
1838,4.418513332993257e-09,1.0667554182219874e-06
1839,2.0974426639952526e-09,1.1396104131478069e-06
