year,en_ADP eaux_NOUN,en_ADP lot_NOUN
1800,2.358123420975744e-07,1.8864986905953174e-08
1801,2.524053570596152e-07,2.3811825844433088e-09
1802,2.5735161557349784e-07,4.475680270843441e-09
1803,1.1331471370112922e-06,2.5354410126965377e-08
1804,4.696516728852629e-07,9.887403784603066e-09
1805,5.34461003454112e-07,2.842877711017877e-09
1806,2.7087691023552907e-07,4.8988374246050626e-08
1807,3.074711401040986e-07,0.0
1808,2.5153420679657756e-07,9.064295980465431e-09
1809,2.710836657371374e-07,4.518061036407062e-09
1810,3.1825722945910684e-07,9.360507036149102e-09
1811,3.4096243783920954e-07,2.5070767684098882e-09
1812,2.667208347517658e-07,8.00162469616339e-09
1813,2.0992914051554123e-07,5.751483289628823e-09
1814,2.580275122454623e-07,1.5733386149463513e-08
1815,2.5623624266835066e-07,1.6183340889597275e-08
1816,2.062667476820934e-07,1.1588019432906549e-08
1817,2.2107602470899934e-07,4.670620223912181e-09
1818,1.9908365556098317e-07,3.5763532135746345e-09
1819,3.3226870055358404e-07,1.6561680027393777e-08
1820,2.1003671690777992e-07,1.1866481131050932e-08
1821,2.031466594942799e-07,1.0847637454958203e-08
1822,1.5439448475262907e-07,1.5038423839541792e-08
1823,1.2649839309375466e-07,6.917880934764753e-09
1824,1.9621192581809055e-07,1.6842226280289196e-08
1825,1.787504968486786e-07,2.465524029382493e-08
1826,2.3164999207736514e-07,1.8496767562048433e-08
1827,2.0185828181196186e-07,1.013900075008678e-08
1828,1.751909479708047e-07,1.2841221697090788e-08
1829,2.1518671777798204e-07,2.571952872898464e-09
1830,1.8890672803806297e-07,1.0436835395921662e-08
1831,2.7908258548592357e-07,4.677361609140007e-09
1832,3.368962495642336e-07,4.058990921151917e-09
1833,2.536814502906992e-07,1.1583628500844156e-08
1834,1.7455573142477476e-07,1.120143711119681e-08
1835,2.2008586597621616e-07,1.8151411040889798e-08
1836,1.854926970912274e-07,3.091544903410792e-08
1837,1.8507989274496595e-07,3.8268400781582557e-08
1838,2.057764847407384e-07,1.3886756633496589e-08
1839,2.551888466095775e-07,3.216078425793967e-08
1840,1.0828470919932442e-07,1.1465439264668476e-08
1841,1.8491180320268086e-07,5.457466212277495e-08
1842,1.677066228111812e-07,1.341653010911159e-08
1843,2.0615119794564762e-07,1.772073343619951e-08
1844,1.9374621373913214e-07,2.3051956898889614e-08
1845,1.696389348992966e-07,2.5669048775434078e-08
1846,2.1603110056389596e-07,3.863970809980799e-08
1847,1.526282265018608e-07,1.7258315665458213e-08
1848,3.07327463255902e-07,2.091757700384278e-08
1849,2.1618890544417013e-07,5.02764896381791e-09
1850,1.5003680609027015e-07,1.1541293254424545e-08
1851,2.347595637886002e-07,3.9341575774898274e-08
1852,2.8841716326333255e-07,1.2370036550635177e-08
1853,2.3589130093704114e-07,2.5679306681070102e-08
1854,2.202961661978975e-07,1.2469594468100809e-08
1855,1.9529528572093113e-07,7.429711956774554e-09
1856,1.7602443536102186e-07,9.318940730196346e-09
1857,1.7768692828212806e-07,1.513267827712994e-08
1858,1.1842696068242731e-07,2.2510910024919895e-08
1859,2.1896344959415615e-07,1.3748868266105774e-08
1860,2.2657060874675672e-07,9.154368013630787e-09
