year,son_DET égal_ADJ,son_DET egal_ADJ,son_DET légal_ADJ
1800,8.740777275306755e-07,3.144164484325529e-09,0.0
1801,5.071918849353096e-07,2.3811825844433088e-09,0.0
1802,7.653413263142284e-07,2.2378401354217203e-09,0.0
1803,6.96271115430136e-07,1.950339223455444e-09,0.0
1804,7.811049158590322e-07,1.730295728918918e-08,0.0
1805,6.879764100631292e-07,0.0,0.0
1806,6.570205641764915e-07,1.729001475325731e-08,0.0
1807,5.352275707082299e-07,5.693910232196231e-09,0.0
1808,7.614008836753783e-07,0.0,0.0
1809,6.822272098361282e-07,2.259030518203531e-09,2.259030518203531e-09
1810,7.582010539408657e-07,2.3401267590372754e-09,0.0
1811,7.345735184571822e-07,2.5070767684098882e-09,0.0
1812,7.494855367440323e-07,0.0,0.0
1813,8.1958637565549e-07,2.8757416448144113e-09,0.0
1814,6.073086638025416e-07,3.1466771410748606e-09,0.0
1815,3.9379463601108e-07,0.0,0.0
1816,6.535643137794978e-07,2.3176038865813098e-09,2.3176038865813098e-09
1817,6.974792654546036e-07,0.0,0.0
1818,6.020194405209622e-07,2.384235475716423e-09,0.0
1819,8.301541924993217e-07,3.1053151161586356e-09,0.0
1820,7.226686875583255e-07,1.1866481131050932e-09,0.0
1821,7.307363034669834e-07,2.9584463767662328e-09,0.0
1822,6.09557446296094e-07,2.0051231786055723e-09,0.0
1823,5.64301444683224e-07,2.9648061783404955e-09,0.0
1824,7.040050036266621e-07,1.0105335235266466e-08,0.0
1825,7.405377573377336e-07,0.0,0.0
1826,5.284790631776559e-07,0.0,0.0
1827,4.534898323527159e-07,1.8434546111834038e-09,0.0
1828,6.053718948351161e-07,2.7516904310687096e-09,0.0
1829,5.332515229383716e-07,0.0,0.0
1830,6.950932629479212e-07,4.174734336004349e-09,0.0
1831,4.1784431914493325e-07,0.0,0.0
1832,6.061426347514498e-07,1.3529969367098715e-09,0.0
1833,4.876707748735498e-07,0.0,0.0
1834,4.835287086280005e-07,1.8669061851994684e-09,0.0
1835,5.271472218737472e-07,6.050470346963266e-09,0.0
1836,6.25029770162655e-07,0.0,2.016224964762614e-09
1837,6.053365382285847e-07,6.957890930081589e-10,1.3915781860163179e-09
1838,4.607878167917079e-07,3.1560809521380406e-09,6.312161904276081e-10
1839,5.264581091068976e-07,0.0,6.9914751765765e-10
1840,5.936549882790132e-07,1.9109065441114126e-09,0.0
1841,5.245587999525014e-07,6.420548537278137e-10,6.420548537278137e-10
1842,5.219030185799056e-07,0.0,6.708265054555795e-10
1843,5.156733209332742e-07,1.7720733769266417e-09,0.0
1844,5.307438755153271e-07,5.488561272137815e-10,2.195424508855126e-09
1845,5.747634759245557e-07,1.1160455892778032e-09,2.2320911785556063e-09
1846,4.824108827961027e-07,1.1709002656346001e-09,1.7563503984519002e-09
1847,5.015697865928814e-07,2.1572894581822766e-09,2.1572894581822766e-09
1848,5.792559818473819e-07,0.0,0.0
1849,4.3070193100902543e-07,0.0,3.3517659758786067e-09
1850,5.709545689569495e-07,6.788996032014438e-10,2.7155984128057753e-09
1851,5.024112965656968e-07,0.0,1.2898877521649865e-09
1852,4.492276275414042e-07,2.6042181744401205e-09,0.0
1853,5.392654429670074e-07,0.0,1.7915795513800958e-09
1854,4.5306194351724116e-07,1.0391328908454511e-09,5.195664454227256e-10
1855,5.540442202800477e-07,2.1227748447927297e-09,0.0
1856,5.11506300426845e-07,2.0708756931497874e-09,1.5531567143511893e-09
1857,4.6227890493355517e-07,1.513267733344037e-08,6.8341128311999455e-09
1858,5.290063995744276e-07,4.404308473482388e-09,4.893676019968041e-10
1859,5.020883122597297e-07,1.5276520048956854e-09,0.0
1860,5.524660764422151e-07,0.0,0.0
1861,5.399778615355899e-07,0.0,4.715963730639317e-10
1862,4.179137249593623e-07,0.0,3.162590411776023e-09
1863,5.349239131646755e-07,1.9978483312144135e-09,2.4973103585068657e-09
1864,5.571473593590781e-07,0.0,1.4384183844029508e-09
1865,4.6268280584627064e-07,1.4120533631256649e-09,1.4120533631256649e-09
1866,5.191608920540602e-07,4.865612912574591e-10,9.731225825149181e-10
1867,4.721785558103875e-07,1.455843445796745e-09,4.85281148598915e-10
1868,4.5199848841548373e-07,6.421836395986702e-09,4.93987406535723e-10
1869,5.264433866614127e-07,1.0255390314739543e-08,0.0
1870,4.782196469932387e-07,6.307453670473251e-09,1.1468097582678638e-09
1871,3.9723204281472135e-07,0.0,0.0
1872,4.7592558871656365e-07,0.0,0.0
1873,3.412022522297775e-07,5.986004469882289e-10,0.0
1874,3.3039589197869645e-07,0.0,5.974609140757536e-10
1875,4.2739807781799755e-07,5.721527140956084e-10,5.721527140956084e-10
1876,3.58528666311031e-07,0.0,0.0
1877,4.7437538341910113e-07,6.184815992682502e-10,1.2369631985365004e-09
1878,4.1548929630153e-07,0.0,0.0
1879,3.213505124222138e-07,0.0,0.0
1880,3.606829466207273e-07,2.5671385017744797e-09,0.0
1881,3.555978764779866e-07,2.091752326904839e-09,2.091752326904839e-09
1882,3.580597081054293e-07,1.9966155395678697e-09,1.3310770263785798e-09
1883,3.911670773959486e-07,6.319338941018771e-10,0.0
1884,3.7497639482353406e-07,6.601696966868076e-10,1.3203393933736152e-09
1885,3.6031104855283047e-07,6.445635691854079e-10,0.0
1886,3.291266637006629e-07,0.0,3.2267319927115068e-09
1887,3.19264415793441e-07,0.0,6.528924623161458e-10
1888,3.588787933495041e-07,0.0,0.0
1889,2.888228038955276e-07,0.0,6.265136742733546e-10
1890,2.4906668727453507e-07,0.0,6.554386478008212e-10
1891,2.6389270146864874e-07,0.0,6.374220040683554e-10
1892,2.8333676027614274e-07,0.0,6.268512375839919e-10
1893,2.50031717996535e-07,0.0,0.0
1894,2.4008863874769304e-07,6.301539290376468e-10,0.0
1895,2.931065239408781e-07,0.0,6.018614495673091e-10
1896,2.3706056140326837e-07,5.89702897624278e-10,0.0
1897,2.3656457415199839e-07,5.826713556089658e-10,1.1653427112179315e-09
1898,2.614160052871739e-07,0.0,0.0
1899,2.8245926841918845e-07,0.0,0.0
1900,2.496896627235401e-07,0.0,0.0
1901,2.716127198709728e-07,5.588738916095792e-10,1.1177477832191585e-09
1902,2.2194483051407587e-07,9.820567692386817e-10,9.820567692386817e-10
1903,2.2302909030713636e-07,0.0,1.6200660812870638e-09
1904,2.536823160426138e-07,0.0,0.0
1905,2.724880800997198e-07,5.160759042333041e-10,0.0
1906,1.92906924212366e-07,0.0,1.5432553013283723e-09
1907,2.447993381338165e-07,0.0,1.028568674676933e-09
1908,2.303441419826413e-07,4.911389073214423e-09,0.0
1909,2.4974465873128793e-07,3.850688656825696e-09,0.0
