year,un_DET auto_NOUN,un_DET loto_NOUN
1800,5.345079578944478e-08,1.2576657937302116e-08
1801,2.6193007984787187e-08,2.3811825844433088e-08
1802,5.818384352096473e-08,2.0140561218795483e-08
1803,7.41128918235745e-08,7.801356893821776e-09
1804,1.087614407424553e-07,3.213406207791536e-08
1805,5.117179835423258e-08,1.421438877713399e-08
1806,1.2679344241206536e-07,0.0
1807,6.263301344233696e-08,5.693910232196231e-09
1808,6.798221896531231e-08,0.0
1809,4.743964199249717e-08,0.0
1810,3.2761773738343436e-08,9.360507036149102e-09
1811,1.0028307428910921e-07,0.0
1812,6.13457871168066e-08,5.067695596494559e-08
1813,1.8404746526812232e-07,1.1502966579257645e-08
1814,1.2272040628147352e-07,9.440030979135372e-09
1815,9.440282155992463e-08,0.0
1816,3.7081663961657796e-08,6.952811659743929e-09
1817,5.853844271541675e-07,0.0
1818,6.985810045989638e-07,3.5763532135746345e-09
1819,1.625114887104928e-07,1.035105001712111e-09
1820,8.306536791735653e-08,9.493184904840746e-09
1821,1.0157333107940758e-07,1.97229765852569e-09
1822,1.1529458276982041e-07,1.0025615893027862e-09
1823,1.7591182199794275e-07,9.882686891060644e-10
1824,1.2968513996014508e-07,4.210556348027694e-09
1825,7.396572510032229e-08,1.3208164340028361e-08
1826,1.330005638955356e-07,0.0
1827,1.6314573042519598e-07,5.530363722527909e-09
1828,1.559291196717716e-07,9.172301251858528e-10
1829,1.8432328197093284e-07,0.0
1830,8.76694201679129e-08,4.174734336004349e-09
1831,8.731075240575592e-08,3.741889287312006e-08
1832,1.3935868503622828e-07,1.0823975493678972e-08
1833,5.09679658478035e-08,1.50587169400751e-08
1834,5.507373113111669e-08,0.0
1835,9.756383434478266e-08,3.403389570166837e-08
1836,6.586334783120762e-08,2.6882999715205358e-09
1837,8.558205955022657e-08,3.478945576063097e-09
1838,8.079567015428779e-08,6.312161904276081e-10
1839,6.921560213868361e-08,6.9914751765765e-10
1840,5.159447979963261e-08,7.0066574764382494e-09
1841,4.8154113585496816e-08,4.494383976094696e-09
1842,5.702025385190268e-08,3.3541325272778977e-09
1843,9.33291952609494e-08,8.269675610961258e-09
1844,8.232842063637946e-08,2.195424508855126e-09
1845,1.3504150975229834e-07,6.138250907561371e-09
1846,1.4460617836498102e-07,7.610851504580296e-09
1847,6.471868196911146e-08,5.3932236454556914e-09
