year,en_ADP armes_NOUN,en_ADP larme_NOUN
1800,1.8959311773869558e-06,4.7162465932615305e-08
1801,3.540818397596013e-06,3.333655484993869e-08
1802,3.318716835565283e-06,3.1329761895904085e-08
1803,3.0132741812849417e-06,3.510610468993036e-08
1804,1.7204082496391493e-06,1.730295728918918e-08
1805,1.924628122651484e-06,1.1371511021707192e-07
1806,1.9854701349686366e-06,3.1698359492793315e-08
1807,2.9437514967867173e-06,5.693910232196231e-09
1808,2.358983010708471e-06,1.1330369531492579e-08
1809,2.2816209366283147e-06,4.292158095609011e-08
1810,1.8065778704112745e-06,2.574139479349924e-08
1811,2.4845130610628985e-06,1.2535384286138651e-08
1812,1.5149743148867856e-06,1.8670457180292033e-08
1813,1.509764388174517e-06,8.339650747757332e-08
1814,4.034040102851577e-06,1.2586708564299443e-08
1815,3.468629529379541e-06,2.6972236000233352e-08
1816,2.1623243355861632e-06,4.4034472068688046e-08
1817,3.095064357694355e-06,2.6466848268569265e-08
1818,3.6359590467327507e-06,2.741870730460505e-08
1819,4.387809894979e-06,2.173720581311045e-08
1820,5.989013061480364e-06,4.2719332071783356e-08
1821,3.6941135022061644e-06,0.0
1822,4.038317911181366e-06,1.0025615893027862e-08
1823,6.743945505149895e-06,2.9648061783404955e-09
1824,5.914147550356574e-06,1.6842225392110777e-08
1825,6.002670488669537e-06,2.1133063299316746e-08
1826,9.073985893337522e-06,3.170874407487645e-08
1827,4.826164058613358e-06,1.1982455028203276e-08
1828,4.306395567255095e-06,1.9261833017480967e-08
1829,3.500427737890277e-06,1.3717081692732336e-08
1830,4.005657501693349e-06,1.3567886369969528e-08
1831,3.4269471598236123e-06,6.236482441579483e-09
1832,3.5922068946092622e-06,2.705993829010822e-08
1833,3.4820386645151302e-06,4.6334514003376626e-09
1834,5.70246493225568e-06,2.8003592777992026e-09
1835,6.702408427372575e-06,1.0588323107185715e-08
1836,6.920356554473983e-06,2.083432448785061e-08
1837,5.8063601500180084e-06,9.74104708006962e-09
1838,7.635190740984399e-06,8.837027110075724e-09
1839,5.122653874423122e-06,1.3982949909063791e-08
1840,5.651824722008314e-06,1.2102408852854296e-08
1841,4.249119228916243e-06,1.6051371787284552e-08
1842,5.654396773024928e-06,1.7441489585934278e-08
1843,4.572539637592854e-06,9.4510577697271e-09
1844,5.208644779486349e-06,1.4819115712327857e-08
1845,4.59699185739737e-06,1.4508592549589139e-08
1846,4.358090791356517e-06,1.4636253098387897e-08
1847,4.043299668410327e-06,1.1865092020002521e-08
1848,4.8287420213455334e-06,7.24069959545659e-09
1849,4.320426342019346e-06,6.703531951757213e-09
1850,4.813398390979273e-06,1.5614691761811628e-08
1851,4.385618467495078e-06,2.3862924081186065e-08
1852,3.412827936699614e-06,1.1067927019325907e-08
1853,3.713347268785583e-06,1.970737528722566e-08
1854,4.384621206554584e-06,6.234797567117312e-09
1855,3.315774392831372e-06,2.1227748447927297e-08
1856,3.2895859476411715e-06,1.0872097000458325e-08
1857,4.11023074775585e-06,1.122747050885664e-08
1858,4.17136925534578e-06,1.3212924976357954e-08
1859,4.272333626431646e-06,5.601390462572908e-09
1860,4.130908564548008e-06,1.1442959468865865e-08
1861,3.746833272089134e-06,6.13075279431996e-09
1862,4.078386155015323e-06,1.490935552794781e-08
1863,4.1874900489347056e-06,2.047794495085853e-08
1864,3.551454938133247e-06,4.315255264231155e-09
1865,3.2924376682785805e-06,6.589582268734517e-09
