year,son_DET latin_NOUN
1800,6.288328657788611e-08
1801,1.0239085312946372e-07
1802,1.208433673127729e-07
1803,7.216254971353919e-08
1804,8.157108410955516e-08
1805,6.538618890772341e-08
1806,9.22134111291939e-08
1807,1.708173011927272e-07
1808,2.8099316162766286e-07
1809,7.454800998729638e-08
1810,1.4274773540989827e-07
1811,1.5794584173889348e-07
1812,2.0004061340728185e-07
1813,2.444380413635372e-07
1814,1.1328038018731945e-07
1815,7.552226199969425e-08
1816,8.343374169328399e-08
1817,9.65261524044081e-08
1818,1.6451224493785332e-07
1819,1.1800197308176053e-07
1820,1.2578470709456724e-07
1821,2.1103584835202582e-07
1822,2.396122198433659e-07
1823,1.2452185738087707e-07
1824,9.347434914985797e-08
1825,1.4088708422121954e-07
1826,9.688783109140786e-08
1827,9.309445836436225e-08
1828,1.0731592192669837e-07
1829,1.328842309522571e-07
1830,1.6594569274275273e-07
1831,2.2451337144957506e-07
1832,1.3529968878600585e-07
1833,1.4595371367054355e-07
1834,1.3721761149554368e-07
1835,1.4672391301928656e-07
1836,1.5995385149736308e-07
1837,1.245462502019734e-07
1838,1.8431512582850473e-07
1839,1.6150308113083156e-07
1840,1.286677102640965e-07
1841,1.9133234419044243e-07
1842,1.683774457639231e-07
1843,1.6007729392031322e-07
1844,1.322743268250548e-07
1845,1.3894767580957534e-07
1846,1.8851494765215193e-07
1847,1.4184178009912785e-07
1848,1.5366373773417763e-07
1849,8.965974274133259e-08
1850,7.671565338540631e-08
1851,1.9735281853172637e-07
1852,2.135458956331604e-07
1853,1.5706181111241335e-07
1854,1.979548156505473e-07
1855,2.0007152201628742e-07
1856,1.5117392243579886e-07
1857,1.5962535032665315e-07
1858,2.3049213826453752e-07
1859,2.2863858073485233e-07
1860,1.537933782547185e-07
1861,1.480812543697141e-07
1862,2.2092953022578854e-07
1863,1.9329183054139776e-07
1864,1.5295182431707133e-07
1865,1.8827377079588814e-07
1866,2.2527788146042838e-07
1867,1.999358296700393e-07
1868,1.3436457346749364e-07
1869,1.4113370472301767e-07
1870,1.9667786821386812e-07
1871,1.3488895689306446e-07
1872,1.7355863235479774e-07
1873,1.610235209059674e-07
1874,1.8879765295576334e-07
1875,1.5390908458812191e-07
1876,1.9044947285884462e-07
1877,2.3131211346338887e-07
1878,1.8056874573346704e-07
1879,1.979421426767658e-07
1880,1.9574431275870552e-07
1881,2.1266147826048964e-07
1882,2.0964463898209829e-07
1883,2.022188478889575e-07
1884,2.0201192363344944e-07
1885,1.392257302779143e-07
1886,1.2519719877479574e-07
1887,1.8803302748171546e-07
1888,1.8070751650611783e-07
1889,2.1614721479323862e-07
1890,1.992533427142007e-07
1891,1.9058918443448647e-07
1892,1.585933613323931e-07
1893,1.779782368149796e-07
1894,1.669907874202181e-07
1895,1.8116029210091256e-07
