year,on_PRON essaie_VERB,on_PRON laissait_VERB
1800,6.476978740010964e-07,5.282196440248299e-07
1801,6.572064279453116e-07,4.357564229451327e-07
1802,4.968005100636219e-07,4.072869046467531e-07
1803,7.372282482265291e-07,2.379413910347239e-07
1804,4.177428252205573e-07,4.795390751155537e-07
1805,5.145608774625998e-07,3.5535970610567347e-07
1806,5.619254821453978e-07,2.6511356043812384e-07
1807,3.84338949999119e-07,4.7259454305503823e-07
1808,4.940041407053286e-07,3.7616827341935277e-07
1809,5.557214919349462e-07,3.1852329485104747e-07
1810,4.3760370260770287e-07,2.7847508832223866e-07
1811,4.5879505705670454e-07,3.2090583346189305e-07
1812,7.334822740290292e-07,6.214595273945633e-07
1813,6.010299991032753e-07,5.722726115209298e-07
1814,6.70242226163964e-07,5.60108549763072e-07
1815,3.5873074466508115e-07,6.284530940092736e-07
1816,7.856677228801345e-07,5.77083390851385e-07
1817,6.756830757126409e-07,5.682588053446125e-07
1818,5.853297864177875e-07,5.078421523307952e-07
1819,6.376246943773367e-07,6.63502312647779e-07
1820,6.396033356281805e-07,6.585897267541441e-07
1821,6.084538455297661e-07,7.277778379943811e-07
1822,7.97036463495715e-07,5.433883814021101e-07
1823,6.008673665292008e-07,6.888232562118901e-07
1824,6.703205741587226e-07,5.667408657927808e-07
1825,7.167630684534743e-07,6.093366522463839e-07
1826,6.702876262920654e-07,5.275982530861256e-07
1827,7.539729409700158e-07,7.714857801488506e-07
1828,8.053280282638298e-07,6.80584776091564e-07
1829,8.504590454094796e-07,7.270053288266354e-07
1830,8.631263312963711e-07,7.921558591306166e-07
1831,1.3065430124470367e-06,7.795602883220454e-07
1832,9.038019328500013e-07,9.065079282777333e-07
1833,1.052951859037421e-06,7.112348185955852e-07
1834,8.755789764336441e-07,8.886473779057269e-07
1835,8.606794210663793e-07,7.192496909169677e-07
1836,7.278572269342476e-07,8.353892582135813e-07
1837,1.0541204886749256e-06,7.952869296445897e-07
1838,7.473599765717154e-07,7.82708099222873e-07
1839,7.438929756631296e-07,8.012230807707965e-07
1840,7.083094004656232e-07,9.408030194890671e-07
1841,8.410918468371165e-07,8.340292652064818e-07
1842,5.151947561898851e-07,9.451945714999965e-07
1843,6.237698286781779e-07,8.021585244932794e-07
