year,non_ADV égale_ADJ,non_ADV légale_ADJ
1800,9.432493897065797e-09,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,9.751696339321825e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,1.7081731584767113e-08
1808,0.0,2.039466551195801e-08
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,1.8880564667256294e-08
1816,0.0,2.3176038865813098e-09
1817,1.8682481339737933e-08,3.113746815941454e-09
1818,8.344824387052086e-09,2.384235475716423e-09
1819,0.0,1.1386155129855524e-08
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,8.875339574387908e-09,7.88919063410276e-09
1822,0.0,2.0051231786055723e-09
1823,9.882686891060644e-10,1.4824030003524058e-08
1824,4.210556348027694e-09,1.51580028528997e-08
1825,1.2327619813845558e-08,3.522177216552791e-09
1826,6.1655889282974385e-09,3.5231937367541377e-09
1827,5.530363722527909e-09,2.027800150017356e-08
1828,2.7516904310687096e-09,6.420610709767516e-09
1829,2.1432940755516938e-08,4.286587973467704e-09
1830,0.0,1.461157062010443e-08
1831,0.0,1.5591206103948707e-09
1832,9.470978667991403e-09,9.470978667991403e-09
1833,1.1583628500844156e-09,9.266902800675325e-09
1834,1.8669061851994684e-09,2.9870498963191494e-08
1835,7.563087933704082e-10,1.5126175867408165e-09
1836,2.688300027031687e-09,6.048674894287842e-09
1837,4.174734336004349e-09,6.262101948095733e-09
1838,3.1560809521380406e-09,5.680945491803868e-09
1839,3.076248944466897e-08,1.1885507689157748e-08
1840,6.3696887764308485e-09,1.6561189752906103e-08
1841,7.0626033910059505e-09,2.43980835534785e-08
1842,1.1404051036834062e-08,5.366612043644636e-09
1843,1.063243981747064e-08,1.0041748765843295e-08
1844,9.330554107123135e-09,1.5916826967554698e-08
1845,1.1160455670733427e-08,9.48638767539478e-09
1846,7.610851504580296e-09,4.4494210982293225e-08
1847,6.47186837454683e-09,8.089835468183537e-09
1848,7.24069959545659e-09,1.126331028444838e-08
1849,2.513824481908955e-09,3.9383248662261394e-08
1850,6.788996032014438e-09,1.425689166723032e-08
1851,3.2247193804124663e-09,1.1608989325395669e-08
1852,1.9531636308300904e-09,9.114764054629632e-09
1853,8.360704129017904e-09,1.6124216628554677e-08
1854,1.454786069388092e-08,4.1565315633818045e-09
1855,3.714855978387277e-09,1.6982198758341838e-08
1856,1.0354378465748937e-09,1.0354378687793542e-08
1857,1.6597130780837688e-08,1.1715622250108026e-08
1858,1.1744822003834088e-08,1.761723389392955e-08
1859,1.171199848215565e-08,8.656694916453489e-09
1860,9.15436793036406e-09,1.7393299245327398e-08
1861,1.650587222457034e-08,1.1789909493131745e-08
1862,9.035972858839614e-09,6.776979422085105e-09
1863,6.99246927027275e-09,1.3485475847119233e-08
1864,7.671564716815737e-09,2.6371003158942585e-08
1865,1.3179164426446732e-08,1.2708479601997169e-08
1866,1.1677471434268227e-08,5.838735717134114e-09
1867,3.88224918879132e-09,1.455843445796745e-08
1868,6.915823469455518e-09,1.679557115608077e-08
1869,9.767038289254515e-10,1.4162205630441349e-08
1870,2.2936195165357276e-09,9.747882501187632e-09
1871,6.37270636261178e-09,2.2304472935275044e-08
1872,4.8378714367913744e-09,1.4513614310374123e-08
1873,1.97538145840781e-08,1.0176207432266438e-08
1874,5.974609251779839e-09,1.7923826867161097e-09
1875,6.865832347102696e-09,4.005069165202713e-09
1876,1.209202959984168e-09,5.441413541973361e-09
1877,4.329371083855449e-09,4.9478527941460015e-09
1878,3.0195443923020093e-09,8.4547240319921e-09
1879,0.0,1.3440515367335593e-08
1880,3.8507077526617195e-09,5.776061406947974e-09
1881,4.8807553554297556e-09,9.761510710859511e-09
1882,9.983077475794744e-09,1.0648616211028639e-08
1883,1.8958017378167824e-09,3.791603475633565e-09
1884,1.9805090900604227e-09,9.902545450302114e-09
1885,1.2246707647989297e-08,9.023890079618013e-09
1886,3.2267319927115068e-09,9.034849313138693e-09
1887,7.1818169189441505e-09,5.876032105334161e-09
1888,6.340614699951175e-09,8.242799331981132e-09
1889,5.6386229019267375e-09,1.0024218788373673e-08
1890,4.5880703680722945e-09,7.209825181320184e-09
1891,4.461953917456185e-09,5.736798147637501e-09
1892,1.2537024751679837e-08,1.1283322720601063e-08
1893,9.853466487186324e-09,1.0469308087124318e-08
1894,5.041231432301174e-09,1.827446460822557e-08
1895,2.7083764564395096e-08,1.023164486468886e-08
1896,1.47425724961181e-08,9.435246361988447e-09
1897,7.574727511894253e-09,9.322741689743452e-09
1898,1.5277558773618694e-08,9.05336783318944e-09
1899,5.527578395003729e-09,1.0502398950507086e-08
1900,2.595526460424935e-09,1.453494924419374e-08
1901,2.794369535763508e-08,5.58873880507349e-09
1902,1.6694965410124496e-08,1.9641134940684424e-08
1903,7.020286574288548e-09,1.8900770726304472e-08
1904,1.4511488011237361e-08,1.0211787859759625e-08
1905,7.741138396966107e-09,1.1353670004154992e-08
1906,1.2346042410626978e-08,6.173021205313489e-09
1907,1.0799970695529737e-08,1.337139288182243e-08
1908,1.276961114626829e-08,8.840499887696751e-09
1909,1.1001967337165297e-08,1.4302557360679202e-08
1910,1.4429207162436342e-08,5.34415089958884e-09
1911,6.384448969498635e-09,9.576673676292558e-09
1912,1.0939784189645252e-08,7.293189607793238e-09
1913,9.015082902408267e-09,1.2727175757731857e-08
1914,1.3393487430235496e-09,1.2723813114234872e-08
1915,4.712304768617059e-09,3.534228465440492e-09
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,2.9609346086090227e-08,2.1932848870420685e-09
1918,2.2972752589112133e-09,3.44591288836682e-09
1919,1.1693967394421634e-07,9.207848705727883e-09
1920,4.543339038320937e-09,2.4231141537711665e-08
1921,8.330022005509363e-09,8.330022005509363e-09
1922,1.4018077365562931e-08,4.426761179843197e-09
1923,2.441668023323018e-08,1.0615948120573648e-08
1924,1.0313299547703991e-08,1.4180787211159895e-08
1925,1.0998177923937646e-09,8.798542339150117e-09
1926,7.802296586589819e-09,4.458455382660986e-09
1927,2.2298449309232637e-08,1.7838759802657478e-08
1928,7.998228745975666e-09,1.9424270192303084e-08
1929,3.342121912552898e-09,8.912325100141061e-09
1930,1.05036033204442e-08,1.3654684494213143e-08
1931,1.1405356659111021e-09,1.2545892325022123e-08
1932,8.767629289252454e-09,9.863582839386709e-09
1933,1.1470662197865522e-09,5.735331320977366e-09
1934,1.1981580172459871e-09,1.7972370258689807e-08
1935,3.590485242455088e-09,8.377798899061872e-09
1936,1.2124714565686645e-08,8.487299751891442e-09
1937,1.1332006444320086e-08,1.6368453259474336e-08
1938,6.482607339819424e-09,1.8151300906765755e-08
1939,1.3764645423464117e-08,2.2941076593951948e-08
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,1.7709016475464523e-08,2.9515025978810172e-09
1942,1.517105907566929e-08,2.4273694165799498e-08
1943,0.0,5.806470415592457e-09
1944,2.5705489292704442e-08,9.639558484764166e-09
1945,8.714016175304096e-09,4.357008087652048e-09
1946,1.2528993842408909e-08,4.1763312808029696e-09
1947,8.344609447874518e-09,1.0728784083369192e-08
1948,4.348755133776194e-09,1.9569398546082084e-08
1949,8.835307596655184e-09,1.8652315247891238e-08
1950,1.1698897850465073e-08,7.444753258312176e-09
1951,7.462981344019681e-09,1.1727541604500402e-08
1952,4.2179215675730575e-09,9.490323193972472e-09
1953,1.0773827385790469e-09,1.939288907237824e-08
1954,1.2704297169818801e-08,1.2704297169818801e-08
1955,3.754243138587299e-09,7.508486277174597e-09
1956,5.232684952005684e-09,1.3081712602058815e-08
1957,1.767007518083119e-08,1.6786572132332367e-08
1958,8.272243334772611e-09,4.1361216673863055e-09
1959,8.525822714489095e-09,7.750747599288843e-09
1960,6.2287499602575735e-09,2.2146666722733244e-08
1961,8.33779090214648e-09,1.389631876236308e-08
1962,8.244543714397423e-09,1.7123282347597524e-08
1963,7.759263453976928e-09,1.2932106940866106e-08
1964,6.6923653285755336e-09,5.475571551727398e-09
1965,9.302473458205895e-09,5.47204326295514e-09
1966,8.308612464702492e-09,4.985167390003653e-09
1967,4.437302081328198e-09,8.874604162656397e-09
1968,5.838840522187638e-09,1.0779397818794223e-08
