year,en_ADP eau_NOUN,en_ADP lot_NOUN
1800,3.1787503758096136e-06,1.8864986905953174e-08
1801,2.576439555923571e-06,2.3811825844433088e-09
1802,1.4859258499200223e-06,4.475680270843441e-09
1803,2.201932985057553e-06,2.5354410126965377e-08
1804,3.030489324373775e-06,9.887403784603066e-09
1805,2.771805839074659e-06,2.842877711017877e-09
1806,1.8154515828427975e-06,4.8988374246050626e-08
1807,1.3608445215140819e-06,0.0
1808,1.4004336890138802e-06,9.064295980465431e-09
1809,2.3855361632740824e-06,4.518061036407062e-09
1810,1.8884823020925978e-06,9.360507036149102e-09
1811,1.5669229469494894e-06,2.5070767684098882e-09
1812,1.2935960285176407e-06,8.00162469616339e-09
1813,4.155446731601842e-06,5.751483289628823e-09
1814,1.2838443126383936e-06,1.5733386149463513e-08
1815,1.4484090797850513e-06,1.6183340889597275e-08
1816,2.1762300548289204e-06,1.1588019432906549e-08
1817,1.3918448757976876e-06,4.670620223912181e-09
1818,1.5902850138971303e-06,3.5763532135746345e-09
1819,1.3725492635785486e-06,1.6561680027393777e-08
1820,9.97971028482425e-07,1.1866481131050932e-08
1821,1.6942037053269132e-06,1.0847637454958203e-08
1822,1.7294187273364514e-06,1.5038423839541792e-08
1823,1.5199573006885458e-06,6.917880934764753e-09
1824,1.6134852103277808e-06,1.6842226280289196e-08
1825,9.906123521474797e-07,2.465524029382493e-08
1826,1.0745741292339517e-06,1.8496767562048433e-08
1827,1.295948550250614e-06,1.013900075008678e-08
1828,1.5776357807917307e-06,1.2841221697090788e-08
1829,1.1325165587550146e-06,2.571952872898464e-09
1830,1.4121038334202751e-06,1.0436835395921662e-08
1831,1.3642305702887825e-06,4.677361609140007e-09
1832,1.2853470745533002e-06,4.058990921151917e-09
1833,1.4502702546659307e-06,1.1583628500844156e-08
1834,1.1350789714814624e-06,1.120143711119681e-08
1835,1.5663155323863975e-06,1.8151411040889798e-08
1836,1.5007434512881446e-06,3.091544903410792e-08
1837,1.0840394311095736e-06,3.8268400781582557e-08
