year,bon_ADJ art_NOUN,bon_ADJ lard_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,7.4155526164076946e-09
1805,0.0,1.7057265822018053e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,1.4234775136401367e-08
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,6.7770917766551975e-09
1810,4.680253518074551e-09,0.0
1811,1.504245972228091e-08,1.7549536490690798e-08
1812,1.3336041160272316e-08,5.3344164641089264e-09
1813,5.751483289628823e-09,8.627224934443234e-09
1814,0.0,2.5173417128598885e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,1.1866481131050932e-09,0.0
1821,9.86148829262845e-10,3.944595206029078e-09
1822,0.0,3.0076847679083585e-09
1823,0.0,0.0
1824,6.736890156844311e-09,7.57900142644985e-09
1825,0.0,0.0
1826,3.5231937367541377e-09,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,0.0
1829,3.429270423183084e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,1.3529969367098715e-09
1833,1.1583628278799551e-08,5.791814139399776e-09
1834,2.8003592777992026e-09,0.0
1835,2.2689263801112247e-09,8.31939672707449e-09
1836,0.0,1.3441500135158435e-09
1837,6.957890930081589e-10,4.174734336004349e-09
1838,0.0,5.680945491803868e-09
1839,0.0,2.7965900706306e-09
1840,3.821813143733976e-09,1.910906599622564e-09
1841,6.420548537278137e-10,0.0
1842,3.3541325272778977e-09,7.379091560011375e-09
1843,1.1813822142769936e-09,3.5441467538532834e-09
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,1.1160455892778032e-09,3.348136878855712e-09
1846,2.9272506640865004e-09,6.439951238945696e-09
1847,1.0786447290911383e-09,2.6966118227278457e-09
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,0.0,2.513824481908955e-09
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,7.812654523320361e-09,3.906327261660181e-09
1853,1.1943863675867306e-09,5.971931837933653e-10
1854,6.234797234050404e-09,7.793496792363186e-09
1855,1.5920811335945473e-09,7.429711956774554e-09
1856,0.0,7.248064703979651e-09
1857,9.763018171682347e-10,2.9289055625270066e-09
1858,0.0,0.0
1859,2.036869339860914e-09,1.1202781369235026e-08
1860,3.204028820036342e-09,4.577184048448757e-09
1861,1.886385547766878e-09,4.715963730639317e-10
1862,4.517986262886353e-10,1.355395878865906e-09
1863,3.496234690647526e-09,9.989241656072068e-10
1864,6.233146443435089e-09,2.3973640850272204e-09
1865,3.765475542483188e-09,9.41368871743009e-10
1866,4.3790516213171315e-09,2.919367692033603e-09
1867,4.85281148598915e-10,5.338092634588065e-09
1868,2.9639245502366407e-09,4.93987406535723e-10
1869,5.371871170112286e-09,2.441759683335931e-09
1870,1.1468097582678638e-09,1.1468097582678638e-09
1871,9.559059321873065e-09,6.37270636261178e-09
1872,2.4189357183956872e-09,5.442605477412599e-09
1873,1.7958013409646867e-09,1.7958013909247228e-08
1874,6.572069999322139e-09,3.584765539965673e-09
1875,1.1443054281912168e-09,1.716458086775674e-09
1876,1.813804439976252e-09,7.255217759905008e-09
1877,1.051418752062716e-08,3.0924081073635534e-09
1878,7.850815109122777e-09,1.2078177347163432e-09
1879,2.443730107160036e-09,7.33119043250241e-09
1880,3.8507077526617195e-09,1.2835692508872398e-09
1881,9.064260064750584e-09,2.7890030285249168e-09
1882,1.3310770263785798e-09,7.986462158271479e-09
1883,1.5166413291911596e-08,1.2638677882037541e-09
1884,2.6406787867472303e-09,4.621187876807653e-09
1885,8.379326621454908e-09,6.445635691854079e-10
1886,3.2267319372003556e-09,3.872078213618124e-09
1887,8.48760173255414e-09,3.9173548849191775e-09
1888,8.876860135842435e-09,1.9021844099853524e-09
1889,5.6386229019267375e-09,1.8795409673089125e-09
1890,2.6217545912032847e-09,9.176140736144589e-09
1891,7.649063937797962e-09,3.1871101313640793e-09
1892,0.0,6.268512375839919e-10
1893,7.3900996988562895e-09,6.774258043407144e-09
1894,3.150769645188234e-09,3.150769645188234e-09
1895,2.0463289063243906e-08,3.611168697403855e-09
1896,3.538217441256819e-09,7.076434882513638e-09
1897,1.1653427223201618e-08,7.574727511894253e-09
1898,5.375437173160691e-08,5.092519295146758e-09
1899,9.949641111006713e-09,1.6582735185011188e-09
1900,1.1939421895590385e-08,9.863001082521805e-09
1901,5.588738860584641e-09,5.029864968975062e-09
1902,1.1293652624200234e-08,2.946170252204894e-09
1903,1.3500550677392198e-08,4.860198465905796e-09
1904,1.0749250378694342e-08,1.6123875568041512e-09
1905,8.25721468977747e-09,1.0321518084666081e-09
1906,5.658602919567102e-09,1.5432553013283723e-09
1907,5.657127766234282e-09,9.257117739025489e-09
1908,3.437972351250096e-09,6.875944480455587e-09
1909,1.3752459060434319e-08,4.400786846048277e-09
1910,7.481810948561929e-09,1.068830135508847e-09
1911,1.1172786029689519e-08,3.7242620098965062e-09
1912,8.856015976110854e-09,2.0837684910901544e-09
1913,1.1136278843526526e-08,4.772690687104841e-09
1914,3.3483718020477227e-09,2.678697486047099e-09
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,2.197492410260793e-09,5.493730803607377e-09
1917,3.2899273305631027e-09,5.483212106582869e-09
1918,3.44591288836682e-09,1.033773866510046e-08
1919,4.603924352863942e-09,2.762354567309444e-09
1920,1.590168707821249e-08,6.057785384427916e-09
1921,8.330022005509363e-09,7.572747429129834e-10
1922,1.8444838545406128e-08,7.377935484775833e-10
1923,6.369568872344189e-09,7.431163684401554e-09
1924,6.445812328337297e-09,7.734974438733389e-09
1925,9.898360131543882e-09,3.299453377181294e-09
1926,3.343841648018042e-09,0.0
1927,2.2298449753321847e-09,3.3447675740205796e-09
1928,2.2852082448565625e-09,1.1426041224282812e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,1.7856126022230967e-08,6.302162347537887e-09
1931,3.649714308551211e-08,4.5621426636444085e-09
1932,8.767629400274757e-09,2.1919073223131136e-09
1933,1.0323595756034365e-08,3.4411986593596566e-09
1934,3.5944740517379614e-09,1.1981580172459871e-09
1935,4.787313656606784e-09,5.98414207075848e-09
1936,2.424942913137329e-09,4.849885826274658e-09
1937,5.0364472592434595e-09,5.0364472592434595e-09
1938,3.8895642262559704e-09,2.5930428915188486e-09
1939,1.070583532936098e-08,0.0
1940,1.2678914806940611e-08,2.5357829169792012e-09
1941,8.854508237732261e-09,5.9030051957620344e-09
1942,1.8205270846394228e-08,3.034211770724937e-09
1943,5.806470415592457e-09,1.1612940831184915e-08
1944,9.639558484764166e-09,0.0
1945,8.714016175304096e-09,4.357008087652048e-09
1946,4.1763312808029696e-09,6.960552134671616e-09
1947,7.152522574216391e-09,1.311295849681926e-08
1948,7.61032148410834e-09,5.435944139264848e-09
1949,1.570721330779179e-08,3.926803215925645e-09
1950,1.1698897406375863e-08,9.571825554388624e-09
1951,9.595261474260042e-09,1.0661401761424827e-09
