year,en_ADP être_NOUN,en_ADP lettre_NOUN
1800,9.118077182179718e-08,1.0690159246706799e-07
1801,9.048493865293494e-08,5.952956461108272e-08
1802,4.0281122437590966e-08,7.161088433349505e-08
1803,3.90067853572873e-08,3.510610513401957e-08
1804,7.168367943677367e-08,6.426812149129546e-08
1805,4.5486043376286034e-08,4.548604271015222e-08
1806,7.780506905419315e-08,5.76333825108577e-08
1807,2.562259560079383e-08,7.971474236256881e-08
1808,8.157866204783204e-08,8.61108118144216e-08
1809,6.551188391767937e-08,5.1957701252547395e-08
1810,1.2168659679900884e-07,6.084329395861232e-08
1811,5.766276700569506e-08,7.019814773912003e-08
1812,3.467370746079723e-08,7.73490369532226e-08
1813,3.163315653864629e-08,4.6011867427253605e-08
1814,1.2586708564299443e-08,7.866692497415784e-08
1815,5.664169577812572e-08,4.585280000135583e-08
1816,8.343373814057031e-08,3.939926429552543e-08
1817,1.074242625964672e-07,4.5149328942173383e-08
1818,7.033494853203592e-08,2.026600132154499e-08
1819,1.521604389154163e-07,4.968504185853817e-08
1820,1.1747816586193949e-07,8.66253122566718e-08
1821,9.467028405651945e-08,3.6487507459881385e-08
1822,5.81485721795616e-08,6.115625694746996e-08
1823,4.5460360809101985e-08,1.1068609184761158e-07
1824,7.915846111927749e-08,4.968456401854837e-08
1825,6.60408261410339e-08,8.893497316364574e-08
1826,5.549030035467695e-08,6.782147776718261e-08
1827,5.438191053031005e-08,6.083400272416384e-08
1828,4.861319524707142e-08,5.4116576553298046e-08
1829,6.515613648616636e-08,7.201467716599907e-08
1830,7.618889985572252e-08,2.630082605037387e-07
1831,6.392394169552063e-08,7.795602718907446e-08
1832,5.953186388296672e-08,5.006088577008683e-08
1833,4.865124125785769e-08,4.8651240591723877e-08
1834,5.414027981487379e-08,6.160790344544864e-08
1835,7.865611451052246e-08,8.773182003096736e-08
1836,7.325617551456887e-08,9.073012696703131e-08
1837,4.1051556820548285e-08,5.287997018044166e-08
1838,5.302215910774066e-08,1.2308715691133898e-07
1839,4.6842885126352485e-08,1.293422924319998e-07
1840,3.885510224677091e-08,5.605325953395024e-08
1841,5.1364389630492724e-08,4.943822418113086e-08
1842,6.171603672555648e-08,9.19032312474144e-08
1843,5.9069112268161916e-08,1.925653021483953e-07
1844,5.598332558642838e-08,2.7881891301317907e-07
1845,2.622707206967334e-08,1.0881444745258761e-07
1846,8.313391930414582e-08,2.3418005978825818e-08
1847,5.2853592613644196e-08,7.172987359638228e-08
1848,2.413566591030758e-08,1.1826475665444036e-07
1849,3.5193544078993e-08,9.049767957236554e-08
1850,4.6844071732721204e-08,2.0774328035599865e-07
1851,3.418202609850596e-08,9.545169499247663e-08
1852,6.445440292601745e-08,3.6849687568007994e-07
1853,4.060913738612726e-08,6.628844317901894e-08
1854,6.806320096419682e-08,9.819805568689333e-08
1855,7.641989441253827e-08,8.066544410212373e-08
1856,5.7466799319172424e-08,7.19629320578008e-08
1857,3.905207179855097e-08,1.3131258885801245e-07
