year,bien_ADV en_ADP,bien_ADV lent_ADJ
1800,4.574759259412531e-06,3.458580977167003e-08
1801,5.3195617510937154e-06,2.1430643926123594e-08
1802,5.303681064106058e-06,4.0281122437590966e-08
1803,5.384886662795907e-06,3.1205427575287104e-08
1804,5.193358902033651e-06,1.2359254952798437e-08
1805,4.966507276549237e-06,7.391481915419718e-08
1806,5.114962732477579e-06,1.152667650217154e-08
1807,3.9686556192464195e-06,1.4234775136401367e-08
1808,4.529882062342949e-06,9.064295980465431e-09
1809,5.037637947680196e-06,2.4849335034105025e-08
1810,5.148278887645574e-06,2.106114038724627e-08
1811,5.50052664038958e-06,6.016983888912364e-08
1812,5.1370429900998715e-06,5.3344164641089264e-09
1813,4.788109890796477e-06,3.738464116054274e-08
1814,4.981189704267308e-06,0.0
1815,4.469299256015802e-06,2.6972236000233352e-08
1816,4.985166015103459e-06,2.3176038865813098e-09
1817,4.966426331520779e-06,4.203558034987509e-08
1818,5.1177612476749346e-06,2.5034472272977837e-08
1819,4.904327397525776e-06,5.072014630513877e-08
1820,5.883401172468439e-06,4.865257352548724e-08
1821,5.786721430922626e-06,1.8736827200882544e-08
1822,6.162746103655081e-06,2.2056354964661296e-08
1823,6.154937182145659e-06,2.668325471688604e-08
1824,6.794153705413919e-06,2.947389532437228e-08
1825,6.083680545998504e-06,3.874394849390228e-08
1826,6.215794655872742e-06,2.9947145208097936e-08
1827,5.743283054471249e-06,3.133872894522938e-08
1828,5.5749246712366585e-06,3.944089499441361e-08
1829,5.364236130844802e-06,2.743416338546467e-08
1830,5.125530151417479e-06,3.235419043789989e-08
1831,5.213699296291452e-06,3.274153215215847e-08
1832,5.407928711065324e-06,1.8941957335982806e-08
1833,5.635435172735015e-06,3.4750886612755494e-08
1834,5.660459464706946e-06,4.947301235347368e-08
1835,6.614676749450155e-06,6.504255622985511e-08
1836,6.728143034706591e-06,3.965242711956307e-08
1837,6.7067112468066625e-06,2.7831564608504777e-08
1838,6.650493560300674e-06,3.029837714052519e-08
1839,6.502771157101961e-06,2.586845759822154e-08
1840,5.728260930482065e-06,4.33138822586443e-08
1841,5.951206276222365e-06,4.237562123421412e-08
1842,5.940168648521649e-06,4.628702754416736e-08
1843,5.691899332305184e-06,2.5990408047960045e-08
1844,5.632361535390373e-06,2.305195678786731e-08
1845,5.469739335239865e-06,2.2320911341466854e-08
1846,5.3937519624014385e-06,2.4003455223464698e-08
1847,5.014619546273025e-06,2.534815024546333e-08
1848,5.460291959025199e-06,5.390298696283935e-08
1849,5.135743322171038e-06,4.9438547478075634e-08
1850,5.2003711061843205e-06,2.5119284430275002e-08
1851,5.4091442507342435e-06,1.6123596680017727e-08
1852,5.403101567935664e-06,4.296959943417278e-08
1853,6.112869414209854e-06,2.9262466227919504e-08
1854,6.231679890333908e-06,3.4810952342922974e-08
1855,6.152332389319781e-06,2.4942604426314574e-08
1856,6.144805865915259e-06,3.6240326295455816e-08
1857,6.486061010946287e-06,5.2232145719699474e-08
1858,6.871699952171184e-06,5.334106845111819e-08
1859,6.312767254712526e-06,7.281808223069675e-08
1860,5.69996700505726e-06,6.270742147762576e-08
1861,6.6301736296736635e-06,5.2818794671338765e-08
1862,6.519002454297151e-06,4.563166200455271e-08
1863,6.431073870771797e-06,5.743813957792554e-08
1864,6.675220447505126e-06,5.897515364949868e-08
1865,6.5076828832388856e-06,6.024760779155258e-08
1866,6.465426395152463e-06,3.843834051053818e-08
1867,6.833243787696119e-06,7.861554252031056e-08
1868,6.808134457969572e-06,5.77965266757019e-08
1869,6.944852430024184e-06,7.129938239813782e-08
1870,6.9949660428392235e-06,7.167560767129544e-08
1871,6.643546385021182e-06,3.611200227737754e-08
1872,6.587971256521996e-06,6.289232601375261e-08
1873,7.344228833972011e-06,4.968383748860106e-08
1874,7.382824605883798e-06,6.034355237716227e-08
1875,7.006010037002852e-06,5.378235456987568e-08
1876,7.00612190485117e-06,3.929909553335165e-08
1877,6.700010999338701e-06,6.246663986075873e-08
1878,6.8555732468666974e-06,6.03908887342186e-08
1879,7.411833394144196e-06,6.109325312309011e-08
1880,7.105197710188804e-06,4.813384535395926e-08
1881,7.068030754453503e-06,7.251407652120179e-08
1882,7.782807188050356e-06,5.923292789589141e-08
1883,7.954783541208599e-06,5.9401784824331116e-08
1884,7.740489309071563e-06,6.535680086017237e-08
1885,7.788261427776888e-06,3.674012205578947e-08
1886,8.02681825007312e-06,2.5168509054651622e-08
1887,7.725023351667915e-06,5.223139609711325e-08
1888,8.35629634821089e-06,4.438430423192585e-08
1889,7.996820386324544e-06,3.696430539434914e-08
1890,8.206747224903665e-06,4.3258950199742685e-08
1891,8.689336937095504e-06,2.995883363610119e-08
1892,8.368463568331208e-06,4.8894396087462155e-08
1893,8.419787263846956e-06,2.771287377356657e-08
1894,8.632478966319468e-06,4.7261544011689693e-08
1895,8.743240869080182e-06,3.370423939941247e-08
1896,8.656838872411754e-06,1.8870492723976895e-08
1897,8.801251169643365e-06,3.4960280004270317e-08
1898,9.223118468071334e-06,4.0174320758978865e-08
1899,8.910456017474644e-06,7.075300345604774e-08
1900,8.90836599864997e-06,5.3467847038746186e-08
