year,en_ADP âmes_NOUN,en_ADP ames_NOUN,en_ADP lame_NOUN
1800,0.0,1.8864987794131594e-08,1.6664071722516383e-07
1801,0.0,2.3811825844433088e-09,3.119349116786907e-07
1802,0.0,8.951360541686881e-09,2.5735161557349784e-07
1803,1.950339223455444e-09,1.755305234496518e-08,3.354583384407306e-07
1804,0.0,7.4155526164076946e-09,3.114532205472642e-07
1805,0.0,5.685755422035754e-09,1.648869130121966e-07
1806,0.0,2.881669125542885e-09,1.9019016406218725e-07
1807,2.562259560079383e-08,1.4234775136401367e-08,1.9643989901396708e-07
1808,2.2660739062985158e-08,0.0,1.11037628869326e-07
1809,6.7770917766551975e-09,2.259030518203531e-09,2.2816207945197675e-07
1810,0.0,1.1700633351097167e-08,2.3635280399503245e-07
1811,5.0141535368197765e-09,2.757784400841956e-08,7.771937760026049e-08
1812,1.600324850414836e-08,0.0,2.987273148846725e-07
1813,0.0,1.1502966579257645e-08,7.189353823378042e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08,1.1642705288750221e-07
1815,2.697223555614414e-09,0.0,1.6183341244868643e-07
1816,2.3176038865813098e-09,1.622322720606917e-08,2.456660013194778e-07
1817,2.0239355080775567e-08,1.556873407970727e-09,1.5413046128287533e-07
1818,2.1458118837358597e-08,3.5763532135746345e-09,2.7180283179717435e-07
1819,1.035105001712111e-09,7.24573512300708e-09,1.2628281353954662e-07
1820,1.1866481131050932e-08,2.0173018810965004e-08,1.1035827185423841e-07
1821,0.0,1.97229765852569e-09,9.861488337037372e-08
1822,2.5064039732569654e-08,5.012807946513931e-09,1.1930482912703155e-07
1823,2.9648061783404955e-09,3.9530747564242574e-09,9.586206672906883e-08
1824,7.57900142644985e-09,5.052667617633233e-09,2.2315948911000305e-07
1825,3.522177216552791e-09,1.1447076175841175e-08,2.0780845488843624e-07
1826,7.0463874735082754e-09,4.403992281964975e-09,1.4885493726524146e-07
1827,2.7651818612639545e-09,0.0,1.7236300209333422e-07
1828,8.255071293206129e-09,5.5033806956039655e-09,1.6601865127086057e-07
1829,1.714635211591542e-09,1.5431716349212365e-08,1.2431105744781235e-07
1830,3.1310507520032616e-09,5.218417697960831e-09,2.108240835241304e-07
1831,9.354723218280014e-09,1.2472964883158966e-08,1.7929886553247343e-07
1832,0.0,4.058990921151917e-09,1.7453660916544322e-07
1833,2.20088942626262e-08,6.950177322551099e-09,2.4557292022109323e-07
1834,6.534171426153534e-09,2.8003592777992026e-09,1.4935250192138483e-07
1835,6.806779140333674e-09,5.294161553592858e-09,1.9664028627630614e-07
1836,7.392825018825988e-09,2.016224964762614e-09,1.5457725160983316e-07
1837,4.87052354003481e-09,8.349469338142512e-09,2.7274932690168896e-07
1838,3.1560809521380406e-09,3.787297142565649e-09,2.0640769093915878e-07
1839,9.788065469251706e-09,8.38977065598101e-09,2.852521864271651e-07
1840,5.732719632334238e-09,5.732719632334238e-09,1.1465439797575527e-07
1841,8.346713542550788e-09,2.5682194149112547e-09,1.4317822660814272e-07
1842,1.0733224087289273e-08,0.0,2.1936027394531266e-07
1843,1.0041748765843295e-08,1.1813822142769936e-09,1.4235655498850974e-07
1844,7.1351298203126134e-09,4.390849017710252e-09,1.8935535717190533e-07
