year,rien_PRON imiter_VERB,rien_PRON limiter_VERB
1800,2.5153315874604232e-08,0.0
1801,7.143547975374531e-09,0.0
1802,2.6854081625060644e-08,4.475680270843441e-09
1803,2.5354410126965377e-08,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.106114038724627e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,3.4613449884091096e-08,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,2.6466848268569265e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,4.864993385922389e-08,0.0
1820,1.3053129244156025e-08,1.542642635854463e-08
1821,1.2819934447350079e-08,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,2.174191138237802e-08,0.0
1824,3.03160057057994e-08,1.1789557774477544e-08
1825,2.4655239627691117e-08,0.0
1826,1.6735169694470642e-08,0.0
1827,3.410390903013649e-08,0.0
1828,1.1006761724274838e-08,1.3758452155343548e-08
1829,4.115124596637543e-08,0.0
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,1.870944643656003e-08,0.0
1832,4.464889968858188e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,8.401078055442213e-09,0.0
1835,7.563087933704082e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,6.262101948095733e-09,0.0
1838,1.009945904684173e-08,1.8936485712828244e-09
1839,2.027527834513876e-08,6.9914751765765e-10
1840,1.52872523528913e-08,5.732719632334238e-09
1841,1.8619591202195807e-08,0.0
1842,1.341653010911159e-09,6.708265054555795e-10
1843,1.1813822142769936e-09,0.0
1844,5.488561161115513e-09,2.7442805805577564e-09
1845,1.1160455892778032e-09,2.2320911785556063e-09
1846,1.0538101946622191e-08,3.5127007969038004e-09
1847,1.6718992412734224e-08,1.0786447290911383e-09
1848,0.0,4.82713291560799e-09
1849,4.1897072478036534e-09,0.0
1850,1.3577992064028876e-08,1.3577992064028876e-09
1851,9.029214709244116e-09,1.9348316282474798e-09
1852,5.859490670445666e-09,1.9531636308300904e-09
1853,8.957897534855874e-09,0.0
1854,9.352196350675968e-09,5.195664454227256e-10
1855,6.8990182455763716e-09,0.0
1856,1.1389816201301528e-08,5.177189232874468e-10
1857,1.3180074809326925e-08,0.0
1858,3.9149408159744326e-09,3.4255731584664773e-09
1859,1.323965115318515e-08,0.0
1860,7.781213007262977e-09,3.661747127736703e-09
1861,1.6977470096435354e-08,4.715963730639317e-10
1862,6.776979422085105e-09,1.3553959066214816e-09
1863,7.491931519609807e-09,3.995696662428827e-09
1864,1.3904711160250827e-08,0.0
1865,1.9298061815220535e-08,4.706844358715045e-10
1866,1.0704348518686402e-08,0.0
1867,7.76449837758264e-09,3.396968040192405e-09
1868,2.4699369660652337e-08,5.9278488784286765e-09
1869,6.348574999037737e-09,4.883519144627257e-10
1870,1.3761717099214366e-08,0.0
1871,1.0621177271019633e-09,0.0
1872,1.0280476914203973e-08,0.0
1873,6.584604861359367e-09,0.0
1874,4.779687312606029e-09,3.5847653734322193e-09
1875,2.8607636259891933e-09,0.0
1876,7.255217759905008e-09,3.627608879952504e-09
