year,en_ADP oie_NOUN,en_ADP lois_NOUN
1800,3.144164484325529e-09,2.955514704083839e-07
1801,1.666827853519237e-08,2.7383600320618484e-07
1802,2.0140561218795483e-08,2.4840025503181096e-07
1803,9.751696339321825e-09,5.070881776703118e-07
1804,1.2359254952798437e-08,3.0898137093338107e-07
1805,3.695740957709859e-08,3.468310749710213e-07
1806,1.4408345627714425e-08,2.3341519739261685e-07
1807,0.0,3.7010417486271763e-07
1808,1.0877154998922833e-07,2.605985214287898e-07
1809,0.0,2.6204755165792903e-07
1810,2.3401266702194334e-08,2.9719608907186057e-07
1811,1.504245972228091e-08,1.5042460255187962e-07
1812,2.6672082320544632e-09,2.667208347517658e-07
1813,5.751483289628823e-09,3.8247365097277e-07
1814,1.1642705288750221e-07,5.789885744178491e-07
1815,0.0,3.1287791890655114e-07
1816,2.3176038865813098e-09,3.4995818154470726e-07
1817,4.670620334934483e-09,3.6430837901946234e-07
1818,4.768470951432846e-09,4.911525355311142e-07
1819,4.140420006848444e-09,6.759235926523388e-07
1820,2.3732962262101864e-09,4.6397939890141515e-07
1821,1.577838126820552e-08,3.905149466021385e-07
1822,1.0025615893027862e-09,2.5665575265065854e-07
1823,1.9765373782121287e-09,3.0438675224786493e-07
1824,1.9368560089105813e-08,3.92423864070679e-07
1825,7.924898959288385e-09,5.397736391188346e-07
1826,3.5231937367541377e-09,1.0340574121414647e-06
1827,1.8434546111834038e-09,4.5902021206245536e-07
1828,7.337841001486822e-09,3.448785244053454e-07
1829,9.430493719264632e-09,4.4666245990754305e-07
1830,2.0873671680021744e-09,4.769633985546307e-07
1831,1.5591206103948707e-09,3.8198454621607425e-07
1832,2.0294953273491956e-08,4.924908640902004e-07
1833,2.3167257001688313e-09,4.170106295831033e-07
1834,3.733812370398937e-09,5.311347930359034e-07
1835,7.563087933704082e-09,4.863065399263178e-07
1836,2.016224964762614e-09,5.040562331970477e-07
1837,1.3915781860163179e-09,4.863565852275542e-07
1838,4.418513332993257e-09,4.923486378594077e-07
1839,2.0974426639952526e-09,4.2578085057698445e-07
1840,5.732719632334238e-09,4.707200047526783e-07
1841,2.3113974734201292e-08,4.4815427546751607e-07
1842,1.341653010911159e-09,3.716378857987479e-07
1843,1.7720733214154905e-09,4.3593002363451205e-07
1844,3.2931368743049916e-09,5.620286653851281e-07
1845,3.9061593959388574e-09,4.905020252188308e-07
1846,2.9272506640865004e-09,4.7421461069063753e-07
1847,7.011190739092399e-09,4.460195928146504e-07
1848,4.82713291560799e-09,5.100670716906563e-07
1849,1.9272654583346593e-08,6.292940373242573e-07
1850,6.788996032014438e-09,3.8765167076348916e-07
1851,1.0964046337491595e-08,5.391730955039975e-07
1852,5.208436348880241e-09,4.6224873884170847e-07
1853,1.791579506971175e-08,3.810092437106505e-07
1854,7.79349651480743e-09,3.626573907844488e-07
1855,1.0083180512765466e-08,3.2637664304502323e-07
1856,1.3978411317339123e-08,3.7016904386177885e-07
1857,1.4156376515472857e-08,3.8417477554730795e-07
1858,1.5659763041853125e-08,3.9540902019297164e-07
1859,2.036869339860914e-09,4.435282905390636e-07
1860,4.57718396518203e-09,4.096579555579183e-07
1861,7.073945706981277e-09,4.7065318220518293e-07
1862,1.490935469528054e-08,3.921612057311563e-07
1863,3.9956967790022446e-08,4.615029598475928e-07
1864,1.4384183844029508e-09,4.5501969303529677e-07
1865,1.3179164426446732e-08,4.593880205128187e-07
1866,1.702964580463373e-08,4.4666325749176394e-07
1867,1.4073153309368536e-08,4.653846126245753e-07
1868,1.2349685274415378e-08,8.111273230859695e-07
1869,2.24641887314192e-08,4.6002751696860855e-07
1870,9.17447806614291e-09,4.621643312496815e-07
1871,2.2304472935275044e-08,4.6520755692114335e-07
1872,7.256807155187062e-09,4.069859267374909e-07
1873,2.5141218329416404e-08,4.770845638546461e-07
1874,1.1949218503559678e-08,4.7139665060313973e-07
1875,9.7265964171811e-09,5.309577062462267e-07
1876,2.1161051577678336e-08,4.806581701544133e-07
1877,2.2265337129567797e-08,3.3088765016842103e-07
1878,2.1740719446938783e-08,5.725055896022013e-07
1879,1.5273313280772527e-08,4.875241721435941e-07
1880,1.6044615858135103e-08,4.685027743533965e-07
1881,2.1614772693911988e-08,4.246257097051398e-07
1882,3.327692410515226e-08,4.851775781133938e-07
1883,8.847074184359371e-09,5.592615073268803e-07
