year,en_ADP être_NOUN,en_ADP lettres_NOUN
1839,4.6842885126352485e-08,3.039893423206763e-06
1840,3.885510224677091e-08,3.167646186241768e-06
1841,5.1364389630492724e-08,3.0240783246426872e-06
1842,6.171603672555648e-08,3.11397654861878e-06
1843,5.9069112268161916e-08,3.0733658191728352e-06
1844,5.598332558642838e-08,2.9155236780376015e-06
1845,2.622707206967334e-08,3.1885422679955866e-06
1846,8.313391930414582e-08,3.45532660794845e-06
1847,5.2853592613644196e-08,3.0752161190861216e-06
1848,2.413566591030758e-08,3.1577494210566215e-06
1849,3.5193544078993e-08,3.4732674292214938e-06
1850,4.6844071732721204e-08,3.349690614662393e-06
1851,3.418202609850596e-08,3.7690520660049742e-06
1852,6.445440292601745e-08,4.477301993155436e-06
1853,4.060913738612726e-08,3.3604060458714002e-06
1854,6.806320096419682e-08,4.168481367861077e-06
1855,7.641989441253827e-08,3.2918929839809152e-06
1856,5.7466799319172424e-08,3.0623074191993283e-06
1857,3.905207179855097e-08,3.6616198628713903e-06
1858,4.893675864536817e-08,3.231294238403848e-06
1859,5.855999241077825e-08,3.395461078525841e-06
1860,3.6159752692110914e-08,5.072892752977509e-06
1861,5.6119969671364345e-08,3.577058468984262e-06
1862,5.602302977081308e-08,3.563335732703621e-06
1863,6.542953423505082e-08,3.26947879702999e-06
1864,5.130358926574985e-08,3.6104301610606626e-06
1865,6.495445564747016e-08,3.3018513301286134e-06
1866,4.427707733789532e-08,3.6443440252220682e-06
1867,7.133633062039735e-08,3.6017567488499935e-06
1868,6.026646237611288e-08,3.0167810924908167e-06
1869,6.836926647046937e-08,3.076617100639112e-06
1870,4.873941605865184e-08,2.966223451306149e-06
1871,6.160282595146782e-08,2.8719663764942283e-06
1872,4.898344840853497e-08,3.2957999165361684e-06
1873,3.71132280463371e-08,3.095961540466874e-06
1874,4.95892557017541e-08,2.8277825436795467e-06
1875,4.748867610260277e-08,3.5004304073105175e-06
1876,4.957732135935089e-08,3.2987056028943584e-06
1877,4.0201303619369355e-08,3.0045836023617767e-06
1878,4.5293163830617544e-08,3.7128316039414244e-06
1879,3.665595116331133e-08,3.647878209722677e-06
1880,4.428314070992201e-08,3.6523962441137314e-06
1881,3.765154232837631e-08,3.433959880894122e-06
1882,4.658769525711648e-08,3.151324840189318e-06
1883,4.6131175601704655e-08,3.825727716844085e-06
1884,3.564916273290919e-08,3.5523732160314125e-06
1885,2.8360796378024133e-08,3.510937672590586e-06
1886,4.1947515683204983e-08,4.201850326346346e-06
1887,3.068594583988116e-08,2.78589207525215e-06
1888,3.8043688865840863e-08,3.2901449076305767e-06
1889,3.3831739187917265e-08,3.198978850704748e-06
1890,3.736000159237918e-08,2.998631709161259e-06
1891,4.653180718516836e-08,3.049426888779294e-06
1892,6.080456671497814e-08,3.81815094385729e-06
1893,4.618812354806323e-08,3.7246102264631986e-06
1894,3.780923507612499e-08,3.120522208632792e-06
1895,4.1528441130367355e-08,2.8492121506573653e-06
1896,3.3023361822870356e-08,2.720299510983182e-06
1897,4.3700350005337896e-08,3.1452600213199844e-06
