year,son_DET an_NOUN,son_DET lent_ADJ
1800,1.1947824818392405e-07,3.144164484325529e-09
1801,1.5715804924099075e-07,0.0
1802,1.1860552717735118e-07,0.0
1803,1.4042442475492578e-07,0.0
1804,9.887403673580764e-08,0.0
1805,1.7910129024301114e-07,0.0
1806,1.0950343032334331e-07,0.0
1807,2.021338083579849e-07,0.0
1808,1.4049658636494655e-07,0.0
1809,9.713831272684104e-08,0.0
1810,9.828532210320873e-08,0.0
1811,1.3036799018095735e-07,0.0
1812,1.0668832839400011e-07,0.0
1813,8.914798788062228e-08,0.0
1814,1.2272040805783035e-07,0.0
1815,1.7262230644909948e-07,0.0
1816,1.3442102897442965e-07,0.0
1817,1.1053801518556838e-07,0.0
1818,1.7762553694566918e-07,0.0
1819,1.7079232339511918e-07,0.0
1820,1.0798497562802822e-07,0.0
1821,1.400331290923873e-07,0.0
1822,1.1128433641260926e-07,0.0
1823,1.462637607696493e-07,0.0
1824,1.3221146666353434e-07,0.0
1825,1.5673689013340208e-07,3.522177216552791e-09
1826,1.1538459276927426e-07,0.0
1827,1.4747636600809244e-07,0.0
1828,1.2199160820403065e-07,0.0
1829,8.74463982336593e-08,0.0
1830,6.053364831615227e-08,0.0
1831,7.639690879912564e-08,0.0
1832,7.71208219507713e-08,0.0
1833,1.1583628245492861e-07,0.0
1834,1.0641365477681575e-07,0.0
1835,1.550433026409337e-07,0.0
1836,8.468145001883087e-08,6.720750067579218e-10
1837,9.393152344827627e-08,1.3915781860163179e-09
1838,1.1677499323070606e-07,6.312161904276081e-10
1839,1.1326189996996305e-07,0.0
1840,9.427138925044432e-08,1.2739377330817092e-09
1841,6.741575964142044e-08,0.0
1842,7.714504635103481e-08,0.0
1843,7.560846043697111e-08,0.0
1844,8.232841669508772e-08,0.0
1845,7.812318997268974e-08,0.0
1846,6.557041376531458e-08,0.0
1847,7.065122886729114e-08,0.0
1848,6.75798647598036e-08,0.0
1849,6.703532084983976e-08,0.0
1850,6.992665557703504e-08,0.0
1851,6.384944617465749e-08,0.0
1852,6.64075603395986e-08,0.0
1853,1.361600512339578e-07,0.0
1854,8.78067258902604e-08,0.0
1855,8.384960636931282e-08,5.306937111981824e-09
1856,6.885661679723043e-08,1.5531567143511893e-09
1857,6.882927949813933e-08,4.881509085841174e-10
1858,7.780944633051234e-08,0.0
1859,7.027199155906771e-08,1.018434669930457e-09
1860,6.316513795345813e-08,0.0
1861,5.4233584068086316e-08,0.0
1862,4.9246050931595065e-08,1.8071945051545413e-09
1863,6.842630428938179e-08,0.0
1864,6.376988459511068e-08,0.0
1865,5.64821325821363e-08,0.0
1866,5.936047775545461e-08,9.731225825149181e-10
1867,8.589476685472164e-08,4.85281148598915e-10
1868,1.0027944497004171e-07,9.87974813071446e-10
1869,5.71371735480497e-08,0.0
1870,7.511604183108034e-08,0.0
1871,7.22240054429335e-08,0.0
1872,6.228759585891197e-08,0.0
1873,5.028243821314504e-08,0.0
1874,6.03435516555173e-08,1.7923826867161097e-09
