year,aucun_DET art_NOUN,aucun_DET lard_NOUN
1800,4.653363534501409e-07,0.0
1801,3.262220005240124e-07,0.0
1802,3.6924362234458386e-07,0.0
1803,4.07620897036054e-07,0.0
1804,4.2763021212977037e-07,0.0
1805,2.9281640467893055e-07,0.0
1806,2.9969358461556794e-07,0.0
1807,3.672572095325677e-07,0.0
1808,2.9232354936681304e-07,0.0
1809,3.3885456618421017e-07,6.7770917766551975e-09
1810,4.3292344242829017e-07,0.0
1811,4.4876673888083474e-07,0.0
1812,2.90725702623007e-07,0.0
1813,3.422132679453682e-07,0.0
1814,2.3285410222229075e-07,0.0
1815,1.3486118088934518e-07,0.0
1816,3.082413133626005e-07,0.0
1817,3.3472779537024877e-07,0.0
1818,3.6359591715218187e-07,0.0
1819,4.3681430617059647e-07,0.0
1820,4.010870533477373e-07,0.0
1821,4.3094705048929427e-07,0.0
1822,3.699452264527281e-07,0.0
1823,2.678208073092492e-07,0.0
1824,2.4673860465895814e-07,0.0
1825,3.592620760883847e-07,0.0
1826,3.223722221390446e-07,0.0
1827,3.5763018146894865e-07,0.0
1828,2.9993424277563463e-07,0.0
1829,3.523575387021083e-07,0.0
1830,3.7572610267488926e-07,0.0
1831,2.9311467653059253e-07,0.0
1832,3.0036533260613396e-07,0.0
1833,1.8881314345353672e-07,0.0
1834,2.389639881528183e-07,0.0
1835,2.942041064102341e-07,0.0
1836,1.6197008106955124e-07,0.0
1837,2.824903803100298e-07,0.0
1838,2.2155688839120558e-07,0.0
1839,2.0834595781948906e-07,0.0
1840,2.8217719427736654e-07,0.0
1841,2.0353138996398457e-07,0.0
1842,1.9923546545896897e-07,0.0
1843,2.539971799553342e-07,0.0
1844,1.822202317924848e-07,0.0
1845,2.2209307015685908e-07,0.0
1846,2.3183824837680334e-07,0.0
1847,1.828302798045911e-07,0.0
1848,2.1239385716853576e-07,0.0
1849,1.4831564332240532e-07,0.0
1850,1.5886250626095944e-07,0.0
1851,1.7413484876271923e-07,0.0
1852,2.0247796683747765e-07,0.0
1853,1.8931023682000614e-07,0.0
1854,2.2445271019577717e-07,0.0
1855,2.0909331510665652e-07,0.0
1856,1.863788181566406e-07,0.0
