year,bien_ADV eu_VERB,bien_ADV lu_VERB
1800,2.5153315164061496e-07,1.603523855919775e-07
1801,4.0956339830700017e-07,1.9049460320275102e-07
1802,4.856112809648039e-07,1.9021641151084623e-07
1803,2.5354410126965377e-07,2.2623935080900992e-07
1804,3.831368928786105e-07,2.6201618652521574e-07
1805,3.752598445316835e-07,2.04687196969644e-07
1806,3.602086451337527e-07,1.7290014397985942e-07
1807,2.932363827312656e-07,1.4234775846944103e-07
1808,2.5380029455845943e-07,1.7222161829977267e-07
1809,4.3373387370593264e-07,3.140052342587296e-07
1810,2.69114565298878e-07,3.0421648489209474e-07
1811,4.78851688967552e-07,3.209058263564657e-07
1812,3.494042744023318e-07,2.827240734859515e-07
1813,4.3423699480626965e-07,2.6169249167651287e-07
1814,3.4613449884091096e-07,2.7061423679697327e-07
1815,3.263640451223182e-07,1.8610842289490392e-07
1816,2.9201808615653135e-07,2.75794860726819e-07
1817,3.829908621355571e-07,2.6778221240419953e-07
1818,3.552510747795168e-07,2.3723143272036396e-07
1819,3.7263779972818156e-07,3.001804600444302e-07
1820,5.078853746454115e-07,1.8155715508783032e-07
1821,3.816396088041074e-07,2.9781693910990725e-07
1822,5.383755592447415e-07,2.5164297312585404e-07
1823,5.277354944155377e-07,2.2631353147062327e-07
1824,5.776883540420386e-07,2.433701524751086e-07
1825,4.261834476437798e-07,1.9283920948964806e-07
1826,4.289488515496487e-07,1.9201405621060985e-07
1827,3.548650227003236e-07,2.497880871032976e-07
1828,4.06332958391431e-07,2.669139576028101e-07
1829,4.192283142856468e-07,2.571952677499212e-07
1830,4.1538606865287875e-07,2.859692926904245e-07
1831,4.7241354650395806e-07,1.6682589887295762e-07
1832,3.8154513504196075e-07,2.1647950632086577e-07
1833,3.9616008962184424e-07,2.1777221093088883e-07
1834,4.01384824044726e-07,2.1469421085384965e-07
1835,5.00676435422065e-07,1.6336269936800818e-07
1836,5.087607632958679e-07,2.0027835034852615e-07
1837,5.29495480350306e-07,1.976041090756553e-07
1838,5.352713401407527e-07,1.3003052856674913e-07
1839,3.355908120283857e-07,1.7059198853530688e-07
1840,3.363195730798907e-07,1.6433796190540306e-07
1841,4.1091510638580075e-07,1.7720714140523341e-07
1842,4.004834295301407e-07,1.5160678401571204e-07
1843,3.904468144355633e-07,1.8016078229265986e-07
1844,4.2097263985851896e-07,1.635591218018817e-07
1845,3.336976419632265e-07,2.081425094502265e-07
1846,4.437711993432458e-07,1.9027129383175634e-07
1847,3.5487411764734134e-07,1.3159466050183255e-07
1848,4.111108182769385e-07,1.6492704446591233e-07
1849,3.728839601535583e-07,2.2792008280703158e-07
1850,4.82018720049382e-07,1.575047008373076e-07
1851,3.5471913406581734e-07,1.5801124675363099e-07
1852,3.684968703510094e-07,2.037800754806085e-07
1853,5.303075454321515e-07,1.660197028741095e-07
1854,4.977446792508999e-07,1.8548522007222346e-07
1855,4.6701046585440054e-07,1.937032010346229e-07
1856,4.3125984916514426e-07,1.791307511211926e-07
1857,4.2713205061772896e-07,1.6157794391347124e-07
1858,5.304744945533457e-07,2.0455566129840008e-07
1859,4.6898915684323583e-07,1.950302390696379e-07
1860,3.9592640632690745e-07,2.1009273609706725e-07
1861,4.357550551503664e-07,2.0231485109434288e-07
1862,4.635454047274834e-07,2.512000492060906e-07
1863,4.400260991133109e-07,2.5222834665328264e-07
1864,3.8405769942073675e-07,1.9562490649605024e-07
1865,4.344417448010063e-07,1.958047306516164e-07
1866,4.6709882894901966e-07,1.9900356562629895e-07
1867,5.342945428310486e-07,1.5577525402932224e-07
1868,4.801557338396378e-07,2.0648673171308474e-07
1869,4.653993812553381e-07,2.6517508899814857e-07
1870,4.5413665361593303e-07,2.591790178030351e-07
1871,5.26810367773578e-07,2.3260378156919614e-07
1872,4.408510392295284e-07,2.6184977741650073e-07
1873,5.141977794664854e-07,2.184891627621255e-07
1874,5.263630669105623e-07,2.0253925470115064e-07
1875,4.771753765453468e-07,2.563244265729736e-07
1876,4.6796154151707015e-07,1.874264654588842e-07
1877,3.8655099388051894e-07,2.1585007914382004e-07
1878,4.1911275161510275e-07,1.6728274943034194e-07
1879,5.070739916845923e-07,2.3643089264169248e-07
1880,4.999502039026993e-07,2.4066923742793733e-07
1881,4.364789845112682e-07,2.1614773970668466e-07
1882,5.58386830107338e-07,2.3027632778394036e-07
1883,4.948042260366492e-07,2.4835003387124743e-07
1884,4.832442073166021e-07,2.858534742244956e-07
1885,4.5054994757265376e-07,2.210853011774816e-07
1886,4.581959274219116e-07,2.1490035351234837e-07
1887,4.5049580421618884e-07,2.069669164939114e-07
1888,5.376841158977186e-07,2.618673988763476e-07
1889,5.450668822959415e-07,2.6752132953333785e-07
1890,4.5487442434932746e-07,2.5758740207493247e-07
1891,5.137621315043361e-07,2.0971184255813569e-07
1892,6.061651447453187e-07,2.6327751356802764e-07
1893,5.487149223881715e-07,2.3401982218729245e-07
1894,5.784813197351468e-07,2.734868189691042e-07
1895,4.98341307775263e-07,2.419482996174338e-07
1896,5.218870455792057e-07,2.1052393606169062e-07
1897,5.110027814225759e-07,2.499660070043319e-07
1898,5.386754082792322e-07,2.3425589290582138e-07
1899,5.632602437799505e-07,2.6145445986003324e-07
1900,4.80172388961364e-07,2.211388618889032e-07
1901,4.962799948771135e-07,2.190785721722932e-07
1902,4.365242318726814e-07,1.9199210044007486e-07
1903,4.233772585848783e-07,2.3814970973035088e-07
1904,4.971528255737212e-07,2.4293305500577844e-07
1905,5.140116172697162e-07,2.3171807583821646e-07
1906,5.005291541237966e-07,2.4589201075286837e-07
1907,4.3919882841692015e-07,2.98799193387822e-07
1908,4.80825008253305e-07,2.706175337152672e-07
1909,5.616504381578125e-07,2.1563855057138426e-07
1910,5.231923410065065e-07,2.2498873875065328e-07
1911,4.953268444296555e-07,2.2717998149346386e-07
1912,4.7509922751487466e-07,2.443218534153857e-07
1913,5.186324187889113e-07,2.561343990237219e-07
1914,5.290427793624985e-07,2.705484405396419e-07
1915,5.489835075422889e-07,1.7435527865927725e-07
1916,6.240878178687126e-07,2.691928102649399e-07
1917,5.549010779759556e-07,2.2700498902850086e-07
1918,4.996573466087284e-07,2.389166411376209e-07
1919,4.926199039800849e-07,2.6150289045290265e-07
1920,4.944667466588726e-07,2.5518420443404466e-07
1921,4.816267278329178e-07,1.9234778392274166e-07
1922,4.825169526156969e-07,2.272404060477129e-07
1923,5.010727477383625e-07,2.600907293981436e-07
1924,5.646531349157158e-07,2.281817472749026e-07
1925,5.97201051277807e-07,2.793537134948565e-07
1926,4.848570256399398e-07,2.519027191283385e-07
1927,6.143222890386824e-07,2.9210968932602555e-07
1928,5.16457077992527e-07,2.4680250021447137e-07
1929,5.503360966940818e-07,2.506591556539206e-07
1930,5.125758661961299e-07,2.6153972498832445e-07
1931,4.65338558797157e-07,2.0073427720035397e-07
1932,5.73183740470995e-07,1.7206473046371684e-07
1933,5.276504566609219e-07,1.7091286963477614e-07
1934,5.667287155119993e-07,2.0488502627813432e-07
1935,4.94290134156472e-07,1.7354011561110383e-07
1936,4.571017484522599e-07,1.867205980943254e-07
1937,4.709078211817541e-07,1.561298716978854e-07
1938,5.004573040423566e-07,1.8280952929217165e-07
1939,5.444682074084994e-07,1.942344454164413e-07
1940,4.564409152862936e-07,1.6989746143281081e-07
1941,5.047069180363906e-07,1.9184767552360427e-07
1942,5.279528636492614e-07,2.0936060707299475e-07
1943,5.225823542787111e-07,1.6258117341294565e-07
1944,5.205361617299786e-07,2.3134940363433998e-07
1945,5.598755592473026e-07,2.374569447738395e-07
1946,6.041759093022847e-07,1.9628757286227483e-07
1947,5.066370363238093e-07,2.431857808460336e-07
1948,4.631424133094697e-07,2.065658719629937e-07
1949,4.977223397872876e-07,1.5118192209229164e-07
1950,4.668923736517172e-07,2.2440612212903943e-07
1951,5.415992063717567e-07,2.2069102101340832e-07
1952,4.6818928467473597e-07,1.782071876732516e-07
1953,5.192984531277034e-07,2.2301823321413394e-07
1954,5.013311010770849e-07,2.5213142862412496e-07
1955,5.46242404197983e-07,1.914663982915954e-07
1956,5.066983135293412e-07,2.258775708696703e-07
1957,4.974125999979151e-07,1.6609871522632602e-07
1958,4.996434768145264e-07,2.0266996614282107e-07
1959,5.25500695403025e-07,2.0229451536124543e-07
1960,5.121416961628711e-07,2.2631124352301413e-07
1961,5.294497213981231e-07,1.980225334818897e-07
1962,5.320901550476265e-07,2.3972594931365165e-07
1963,4.836607558900141e-07,1.739368258313334e-07
1964,5.499907160810835e-07,2.348411811681217e-07
1965,4.875590775554883e-07,2.571860306943563e-07
1966,5.627699692922761e-07,2.1103875269545824e-07
1967,4.979638674740272e-07,2.3221880951496132e-07
1968,5.407664502854459e-07,2.340027691616342e-07
1969,5.336565322977549e-07,2.207294329537035e-07
1970,4.7688780568933e-07,2.2855662962228962e-07
1971,4.912308213533834e-07,2.5075379994632385e-07
1972,5.453346147987759e-07,2.1187506149544788e-07
1973,5.7447584822512e-07,2.0068061701294937e-07
1974,5.383672032621689e-07,1.749552751562078e-07
