year,aucun_DET livre_NOUN
1800,6.31977083997981e-07
1801,4.6433060152395456e-07
1802,5.079897107407305e-07
1803,4.0957124269880296e-07
1804,4.82010932500998e-07
1805,5.259323889728051e-07
1806,2.7952189540769723e-07
1807,4.555128327865532e-07
1808,4.3961835238803815e-07
1809,6.302694970372613e-07
1810,6.903373801492307e-07
1811,5.039224362235473e-07
1812,5.494448984677547e-07
1813,4.112310456605428e-07
1814,4.657082044445815e-07
1815,4.072807548993751e-07
1816,4.4034474200316254e-07
1817,9.263396520964307e-07
1818,5.710243726753106e-07
1819,8.891551956935473e-07
1820,6.384166901796107e-07
1821,6.626920310282003e-07
1822,6.135677210750146e-07
1823,5.069818342917642e-07
1824,4.117924206070711e-07
1825,5.529818238869666e-07
1826,5.707573684787803e-07
1827,6.046531275671896e-07
1828,5.384140706610197e-07
1829,7.158601995627123e-07
1830,7.618890123239908e-07
1831,6.142935191633114e-07
1832,8.036801872890464e-07
1833,5.328468972720657e-07
1834,5.488703926914695e-07
1835,4.764745398233572e-07
1836,4.2878385286826415e-07
1837,5.559354718798204e-07
1838,6.716140177331908e-07
1839,5.432375971281544e-07
1840,5.133969160908691e-07
1841,5.675764640500347e-07
1842,5.708733681331069e-07
1843,7.170990059535143e-07
1844,4.791514065516367e-07
1845,5.574647872208516e-07
1846,6.820493894110768e-07
1847,5.172101715800181e-07
1848,4.521414744829144e-07
1849,5.320928551100224e-07
1850,5.404040592793535e-07
1851,5.301438719129692e-07
1852,5.852980464737811e-07
1853,6.748282928015215e-07
1854,6.307536786209766e-07
1855,6.225037090246133e-07
1856,6.026248087209751e-07
1857,6.858520507080357e-07
1858,5.397724827105321e-07
1859,5.621759591178943e-07
1860,5.863372791736765e-07
1861,6.555189457913002e-07
1862,5.218274274909618e-07
1863,6.243276118311769e-07
1864,4.943364579901299e-07
1865,5.069271260538244e-07
1866,4.987253170440908e-07
1867,5.624408743187814e-07
1868,5.137468903626541e-07
1869,5.152112692030641e-07
1870,5.114771610692515e-07
1871,3.9935627782483607e-07
1872,4.039622574225632e-07
1873,4.160273192610475e-07
1874,4.5227790224089404e-07
1875,4.2110439935072463e-07
1876,5.072606406031355e-07
1877,4.6447968315987964e-07
1878,4.644059181657667e-07
1879,5.724437563969786e-07
1880,5.352483540832509e-07
1881,4.5181847951880627e-07
1882,4.958261783372109e-07
1883,4.954361862985479e-07
1884,4.4825521428037973e-07
1885,3.996294068997486e-07
1886,4.323820697038627e-07
1887,3.832478725485089e-07
1888,4.6540112919046805e-07
1889,4.028483040485753e-07
1890,4.6470599102121923e-07
1891,5.277854171481522e-07
1892,4.2688568413495886e-07
1893,3.3624954554056785e-07
1894,3.7872251823500847e-07
1895,4.85702177144276e-07
1896,3.6620549437316186e-07
1897,4.5215298172252005e-07
1898,4.034406977382332e-07
1899,3.686894771703919e-07
1900,3.675265709546238e-07
1901,3.4873730925255586e-07
