year,on_PRON ira_VERB,on_PRON lira_VERB
1800,2.4524483421828336e-07,6.917161954334006e-07
1801,4.4766233031623415e-07,5.833897205320682e-07
1802,3.2672465977157117e-07,8.168116494289279e-07
1803,2.632957887271914e-07,6.241085657165968e-07
1804,4.276302263406251e-07,5.7346940707248e-07
1805,3.781027473337417e-07,6.766048841200245e-07
1806,6.858372643137045e-07,8.904357571282162e-07
1807,2.6191987245738346e-07,9.821995092806901e-07
1808,2.2207524530415412e-07,1.0038708069259883e-06
1809,2.891558992246246e-07,6.573778819074505e-07
1810,3.697400323687816e-07,7.628813136761892e-07
1811,4.061464267124393e-07,8.498990098360082e-07
1812,1.8137015800334666e-07,5.707825607714767e-07
1813,2.070533930975671e-07,7.074324344102934e-07
1814,2.8949429520253034e-07,8.590428706156672e-07
1815,1.8071397889229956e-07,6.662142197910725e-07
1816,3.151941356804855e-07,5.608601441053906e-07
1817,3.6119462976103023e-07,6.616712084905885e-07
1818,2.884924796831001e-07,7.677238045289414e-07
1819,2.5360073152569385e-07,5.579216093565265e-07
1820,2.586892833278398e-07,5.873908150988427e-07
1821,2.0117435539646067e-07,6.54802818189637e-07
1822,2.686865059331467e-07,5.594293952526641e-07
1823,1.4626377087267883e-07,7.797439707246667e-07
1824,2.5852815710436516e-07,6.197938944296766e-07
1825,2.0692791125043186e-07,6.498416951217223e-07
1826,2.431003629510542e-07,7.055195681004989e-07
1827,2.6361400529140155e-07,5.465842889407213e-07
1828,2.5865889341503134e-07,6.84253677718516e-07
1829,2.323330718922989e-07,6.618491852350417e-07
1830,2.901440403491051e-07,6.439527737711614e-07
1831,2.7284611547884197e-07,7.452596548773727e-07
1832,2.7601137375654616e-07,6.832634653619607e-07
1833,3.1854979098966396e-07,5.641227005526162e-07
1834,2.7163484617176437e-07,7.150250667109503e-07
1835,3.600029714334596e-07,5.27903537772545e-07
1836,3.461186182107667e-07,5.584943210124038e-07
1837,2.497882825025499e-07,5.392365665102261e-07
1838,3.0235255366051206e-07,5.18859721410081e-07
1839,2.684726503332513e-07,5.418393271838795e-07
1840,3.0001234918586306e-07,5.458823011394998e-07
1841,3.0947044749041197e-07,5.836278660353855e-07
1842,2.8644292271451377e-07,5.923398020968307e-07
1843,2.56950627885999e-07,5.133105531740512e-07
1844,3.1888541229818657e-07,5.175713226890366e-07
1845,2.840336037479574e-07,5.396080382524815e-07
1846,3.0033591968958717e-07,6.305297972630797e-07
1847,3.1820018797645844e-07,6.315464986528241e-07
1848,3.4353097078110295e-07,5.543157897136552e-07
1849,2.7400686164469334e-07,6.049937439911446e-07
1850,3.048259102911288e-07,5.682389883077121e-07
1851,2.5539777936955943e-07,5.881888114345202e-07
1852,3.365951997125194e-07,6.712372453421267e-07
1853,3.1591519444873484e-07,8.169602665475395e-07
1854,3.1070074513195323e-07,6.375080374709796e-07
1855,2.5791714719503034e-07,6.771651612780261e-07
1856,3.2046800413354504e-07,6.973673976062855e-07
1857,2.894734869585136e-07,7.166055411289562e-07
1858,3.361955265290817e-07,7.355195066338638e-07
1859,3.51869175574393e-07,7.887776405368641e-07
1860,3.908915005013114e-07,7.346380073158798e-07
1861,3.4237896073818774e-07,7.72474862742456e-07
1862,3.7815544473573937e-07,6.582705793789501e-07
1863,2.9767939935254617e-07,8.201167531751707e-07
1864,3.706324704921826e-07,6.952355420253298e-07
1865,3.628976941172368e-07,7.116748577118415e-07
1866,3.002083168723857e-07,7.872561695876357e-07
1867,3.9113660221801183e-07,6.71143823183229e-07
1868,3.848161966857333e-07,7.607406189436006e-07
1869,3.5356678296238897e-07,8.160360494002816e-07
1870,3.5436422507473253e-07,6.330389794584335e-07
1871,6.595751216309509e-07,6.680720616714098e-07
1872,4.7048300189089787e-07,7.49265353761075e-07
1873,3.813084958892432e-07,7.231093377413345e-07
1874,4.206124941674716e-07,7.88648407024084e-07
1875,4.0794488143092167e-07,8.696721351952874e-07
1876,3.2588020104640236e-07,8.688123216415988e-07
1877,4.007760878721456e-07,8.231990307194792e-07
1878,3.291303372066068e-07,8.980125016933016e-07
1879,3.916077417898123e-07,9.102894580337306e-07
1880,3.6389188551311236e-07,8.811702798539045e-07
1881,3.9464393353227933e-07,9.475637625655509e-07
1882,3.780258808205872e-07,1.1626958098531759e-06
1883,4.2213182638306534e-07,1.037635456668795e-06
1884,3.5715181212481184e-07,1.172461395526625e-06
1885,3.796479361994898e-07,9.584660460859595e-07
1886,4.194751426211951e-07,1.0319088517007913e-06
1887,3.714958012324132e-07,1.0302643431714387e-06
1888,3.82339074178617e-07,1.1222888076645177e-06
1889,3.765347074136116e-07,1.1684480227813765e-06
1890,3.7884355208461784e-07,1.1548829093044333e-06
1891,4.5575672658060284e-07,1.0804303087752487e-06
1892,4.0808016166238303e-07,1.0650202568740497e-06
1893,3.688891538899952e-07,1.2791031167580513e-06
1894,5.034929912994812e-07,1.143099211731169e-06
1895,3.906080934257261e-07,1.1176567227266787e-06
1896,3.833068760172864e-07,1.1251531475409138e-06
1897,4.463262541776203e-07,1.1909802140053216e-06
1898,3.966506696428951e-07,1.2074929713890015e-06
1899,4.908489472654765e-07,1.1154653236644663e-06
1900,4.24109053653865e-07,1.1425507864259998e-06
1901,3.459429436247774e-07,1.2440532941582205e-06
1902,3.3733650184331054e-07,1.1156164987369266e-06
1903,4.087966800625509e-07,1.197768824567902e-06
1904,3.9449747646358446e-07,1.258737256648601e-06
1905,3.710585616545359e-07,1.2886415561297326e-06
1906,3.95073371350918e-07,1.296334517064679e-06
1907,3.8519896605748727e-07,1.416339046045323e-06
1908,3.6589847951518095e-07,1.4414927136385813e-06
1909,4.257761361259327e-07,1.6491948713337479e-06
1910,4.5585605334963475e-07,1.532702412987419e-06
1911,4.224377079253827e-07,1.5413123719554278e-06
1912,4.485311606572395e-07,1.6581587374275841e-06
1913,4.0090601771680667e-07,2.0331663108663633e-06
1914,4.453334483400795e-07,1.729768882796634e-06
1915,4.865454812374992e-07,1.4796636946812214e-06
1916,4.823495771688613e-07,1.4272712860474712e-06
1917,5.592876561877347e-07,1.4442780980061798e-06
1918,4.468200245355547e-07,1.3117441994836554e-06
1919,4.318481003906527e-07,1.350791364984616e-06
1920,5.171834160933031e-07,1.6022842146412586e-06
1921,4.520930119156219e-07,1.55089867348579e-06
1922,4.1242660131501907e-07,1.462306840949168e-06
1923,3.9703645882127603e-07,1.801526366307371e-06
1924,4.357369078888951e-07,1.8164299149248109e-06
1925,4.2672931499510014e-07,1.6035343719522643e-06
1926,3.834271566915959e-07,1.6407116163463797e-06
1927,4.2478546191659916e-07,1.5397079664580815e-06
1928,3.690611478646133e-07,1.6990522908599814e-06
1929,4.3113372782954684e-07,1.8214564647678344e-06
1930,3.9388513783933377e-07,1.7036844610629487e-06
1931,3.9804695717293725e-07,1.6971170566648652e-06
1932,4.18654302336563e-07,1.7217432173310954e-06
1933,4.221203582233102e-07,1.603598605015577e-06
1934,4.7087608834317507e-07,1.823596505801106e-06
1935,4.152994677042443e-07,1.8754300867840357e-06
1936,3.3342966077043457e-07,1.568938046148105e-06
1937,3.7017886711510073e-07,1.551225750517915e-06
1938,3.7988076684314365e-07,1.5960179098328808e-06
1939,3.181162568921536e-07,1.688463157734077e-06
1940,2.7386455059286163e-07,1.4986476912781654e-06
1941,3.3647129527025754e-07,1.4314787790681294e-06
1942,4.09618593266714e-07,1.7871507225208916e-06
1943,4.81937036056479e-07,1.5909728858787275e-06
1944,4.2414056622419594e-07,1.2820613051189866e-06
1945,5.511615128739322e-07,1.5663443946323241e-06
1946,4.301621316926685e-07,1.5716927350695187e-06
1947,4.398801394245311e-07,1.5592499380545632e-06
1948,4.120445566968556e-07,1.5851212538109394e-06
1949,4.506006661131323e-07,1.5707212810411875e-06
1950,4.605111456612576e-07,1.471934012897691e-06
1951,4.1153010954531055e-07,1.6674432004037953e-06
1952,4.2179216563908994e-07,1.6629155652481131e-06
1953,4.395721475702885e-07,1.7819909885474772e-06
1954,3.7917439499324246e-07,1.6427633227067417e-06
1955,3.8105568478385976e-07,1.7757570276444312e-06
1956,4.238474957674043e-07,1.6517842027496954e-06
1957,3.9227568748856356e-07,1.6609870954198414e-06
1958,4.996435194470905e-07,1.6403859035563073e-06
1959,4.123398014144186e-07,1.8206506524620636e-06
1960,4.3670459604072676e-07,1.7558153899699391e-06
1961,4.530199930741219e-07,1.6661686004226794e-06
1962,4.857938620261848e-07,1.8093601283908356e-06
1963,4.771947175186142e-07,1.6882864883882576e-06
1964,5.451235551845457e-07,1.8349247739024577e-06
1965,4.5636841150553664e-07,1.7488650314589904e-06
1966,4.392486232518422e-07,1.6484286220475042e-06
1967,4.4767448059701564e-07,1.7325199905826594e-06
1968,4.751917970224895e-07,1.7076363292289898e-06
1969,4.809721474430262e-07,1.3865986829841859e-06
1970,4.2584193238326407e-07,1.4536569779011188e-06
1971,4.7530177482713043e-07,1.5882786783549818e-06
1972,4.2426314905696927e-07,1.6067619981185999e-06
1973,4.4546686694957316e-07,1.5078612705110572e-06
1974,4.286685424403913e-07,1.3535125162889017e-06
1975,4.266475741587783e-07,1.5129710959627118e-06
1976,4.125166270796399e-07,1.6466384522573208e-06
1977,4.384079375086003e-07,1.674882867064298e-06
1978,4.1524732807829423e-07,1.4554448739545478e-06
1979,5.073660815924086e-07,1.4764528941668686e-06
1980,4.11604908379104e-07,1.350223271856521e-06
1981,5.313461599598668e-07,1.5016854604255059e-06
1982,5.214301808109667e-07,1.5754640685372578e-06
1983,4.755432883030153e-07,1.5011506206974445e-06
1984,4.818976009346443e-07,1.587768508670706e-06
1985,4.463544200916658e-07,1.5429906170538743e-06
1986,4.981417305316427e-07,1.6820526411720493e-06
1987,4.577001817551718e-07,1.5998118669813266e-06
1988,5.187019098684686e-07,1.66524296218995e-06
1989,4.708808916120688e-07,1.617349653315614e-06
1990,4.702185663063574e-07,1.5169044331742043e-06
1991,4.2847311476634786e-07,1.6552777992728807e-06
1992,5.047108970757108e-07,1.590169858900481e-06
1993,4.957590675758183e-07,1.6340661659342004e-06
1994,5.259101953924983e-07,1.6763716530476813e-06
1995,4.744644428456013e-07,1.7373532159581373e-06
1996,5.076525724234671e-07,1.7898623241308087e-06
1997,4.2962253132827755e-07,1.7846597302195732e-06
1998,5.092362016512197e-07,1.8028296722150117e-06
1999,5.027221305908824e-07,1.634760963042936e-06
2000,5.239785281219156e-07,1.6094888337647717e-06
2001,4.985818975455913e-07,1.5776743680362415e-06
2002,4.626569847232531e-07,1.582935340138647e-06
2003,4.6961220334651443e-07,1.6021818964873091e-06
2004,4.669078776942115e-07,1.521855381270143e-06
2005,4.976643310783402e-07,1.3943608792033046e-06
2006,5.279134995817003e-07,1.4688513374494505e-06
2007,6.1914430204979e-07,1.3513324006453331e-06
2008,7.203587983894977e-07,1.2504100368460058e-06
2009,6.837588131247685e-07,1.0308831974725763e-06
2010,8.384732552713103e-07,1.0453754271111393e-06
2011,9.907911646678258e-07,6.642239327447896e-07
2012,1.2146373649102316e-06,5.858719021034631e-07
2013,1.105609186424772e-06,5.893421075597871e-07
2014,1.3798216684790532e-06,6.695556464819674e-07
2015,1.2459370282158488e-06,5.734280534852587e-07
2016,1.1959917571857659e-06,5.393769697548123e-07
2017,1.4912543520040344e-06,5.378377068154805e-07
2018,1.5145464544730203e-06,4.5614517318881553e-07
2019,1.5071235566210817e-06,5.181056224046188e-07
