year,bon_ADJ lard_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,0.0
1804,7.4155526164076946e-09
1805,1.7057265822018053e-08
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,1.5862518409903714e-08
1809,6.7770917766551975e-09
1810,0.0
1811,1.7549536490690798e-08
1812,5.3344164641089264e-09
1813,8.627224934443234e-09
1814,2.5173417128598885e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,3.944595206029078e-09
1822,3.0076847679083585e-09
1823,0.0
1824,7.57900142644985e-09
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,5.791814139399776e-09
1834,0.0
1835,8.31939672707449e-09
1836,1.3441500135158435e-09
1837,4.174734336004349e-09
1838,5.680945491803868e-09
1839,2.7965900706306e-09
1840,1.910906599622564e-09
1841,0.0
1842,7.379091560011375e-09
1843,3.5441467538532834e-09
1844,1.6465684371524958e-09
1845,3.348136878855712e-09
1846,6.439951238945696e-09
1847,2.6966118227278457e-09
1848,8.045221711050488e-10
1849,2.513824481908955e-09
1850,2.0366988096043315e-09
1851,6.449438760824933e-10
1852,3.906327261660181e-09
1853,5.971931837933653e-10
1854,7.793496792363186e-09
1855,7.429711956774554e-09
1856,7.248064703979651e-09
1857,2.9289055625270066e-09
1858,0.0
1859,1.1202781369235026e-08
1860,4.577184048448757e-09
1861,4.715963730639317e-10
1862,1.355395878865906e-09
1863,9.989241656072068e-10
1864,2.3973640850272204e-09
1865,9.41368871743009e-10
1866,2.919367692033603e-09
1867,5.338092634588065e-09
1868,4.93987406535723e-10
1869,2.441759683335931e-09
1870,1.1468097582678638e-09
1871,6.37270636261178e-09
1872,5.442605477412599e-09
1873,1.7958013909247228e-08
1874,3.584765539965673e-09
1875,1.716458086775674e-09
1876,7.255217759905008e-09
1877,3.0924081073635534e-09
1878,1.2078177347163432e-09
1879,7.33119043250241e-09
1880,1.2835692508872398e-09
1881,2.7890030285249168e-09
1882,7.986462158271479e-09
