year,en_ADP heures_NOUN,en_ADP leurre_NOUN
1800,1.9808235851570544e-07,0.0
1801,1.476333271188679e-07,0.0
1802,2.103569727296417e-07,0.0
1803,2.0868629979631237e-07,1.950339223455444e-09
1804,2.175228814849106e-07,0.0
1805,1.9331568523739406e-07,8.528632911009026e-09
1806,1.8442682403474464e-07,0.0
1807,1.1387820553210304e-07,0.0
1808,1.155697759713803e-07,0.0
1809,5.873479480555943e-08,0.0
1810,2.0827128199840672e-07,2.3401267590372754e-09
1811,2.2312983105621242e-07,0.0
1812,1.5469807124190993e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,4.1536137018738373e-07,0.0
1815,8.361393355471591e-08,0.0
1816,1.9236112791531923e-07,0.0
1817,5.231094523105995e-07,0.0
1818,1.0371424252753059e-07,0.0
1819,4.326738860527257e-07,0.0
1820,7.238553223487543e-08,0.0
1821,1.3214393845828454e-07,0.0
1822,1.0927921323400369e-07,0.0
1823,7.3131884548161e-08,0.0
1824,8.168479315173727e-08,0.0
1825,9.68598712347557e-08,1.7610886082763955e-09
1826,1.5502052974625258e-07,0.0
1827,1.7051955286673248e-07,0.0
1828,1.1832268853595451e-07,1.8344602503717056e-09
1829,8.315980437600956e-08,0.0
1830,7.305784777145163e-08,1.0436835840010872e-09
1831,1.3096612860863388e-07,0.0
1832,1.2582871633526338e-07,1.3529969367098715e-09
1833,5.79181431703546e-08,5.791814139399776e-09
1834,2.202949307417157e-07,0.0
1835,1.0815215745196838e-07,7.563087933704082e-10
1836,1.1492482449027008e-07,1.3441500135158435e-09
1837,9.253994626146067e-08,0.0
1838,8.710783561127755e-08,0.0
1839,9.997809213846409e-08,0.0
1840,9.363442643461894e-08,1.2739377330817092e-09
1841,7.126809142832258e-08,6.420548537278137e-10
1842,1.0934472127743788e-07,0.0
1843,1.1991029680302745e-07,3.5441467538532834e-09
1844,1.1745520822614708e-07,1.6465684371524958e-09
1845,9.542189938205325e-08,1.674068439427856e-09
1846,8.898842196458645e-08,7.610851504580296e-09
1847,8.521293093366467e-08,0.0
1848,9.654265958891628e-08,1.6090443422100975e-09
1849,8.044238342108656e-08,0.0
1850,1.289909228319175e-07,6.788996032014438e-10
1851,1.096404611544699e-07,0.0
1852,1.2239824798143673e-07,0.0
1853,1.1824425172335395e-07,0.0
1854,1.4703729789289355e-07,0.0
1855,1.1038429192922194e-07,0.0
1856,8.542362195385067e-08,5.177189232874468e-10
1857,1.0983395526409367e-07,0.0
1858,9.787351729073634e-08,1.468102750479261e-09
1859,4.4811123700583266e-08,2.036869339860914e-09
1860,7.506581312100025e-08,2.746310290291376e-09
1861,8.913171711810719e-08,9.431927461278633e-10
1862,6.912519268098549e-08,0.0
1863,1.1887197359783386e-07,0.0
1864,9.685350477184329e-08,0.0
1865,8.236977322439998e-08,0.0
