year,en_ADP art_NOUN,en_ADP lard_NOUN
1800,3.5529058095562505e-07,9.432493897065797e-09
1801,2.3335590038087162e-07,2.3811825400343878e-08
1802,2.528759353026544e-07,8.951360541686881e-09
1803,2.96451567294298e-07,4.095712213825209e-08
1804,3.5347467886026607e-07,3.9549615138412264e-08
1805,4.3780317948716174e-07,2.842877711017877e-08
1806,1.2679343619481642e-07,2.305335300434308e-08
1807,4.0711458382247656e-07,0.0
1808,1.994145080175258e-07,2.4926814390369145e-08
1809,3.478907117937524e-07,3.388545621874073e-08
1810,3.1591712490453006e-07,7.020380277111826e-09
1811,3.133846036007526e-07,1.2535384286138651e-08
1812,2.347143261971496e-07,2.6672082320544632e-09
1813,3.163315744902917e-07,0.0
1814,2.1082736223476672e-07,2.2026739543434815e-08
1815,3.425474046636623e-07,5.394447111228828e-09
1816,1.9931394135142e-07,6.952811659743929e-09
1817,1.7125607354451233e-07,2.1796227045456362e-08
1818,2.0027577329884139e-07,7.152706427149269e-09
1819,2.856889746993829e-07,0.0
1820,2.9191542783024715e-07,1.1866481131050932e-09
1821,3.4416593208685953e-07,1.7750679148775816e-08
1822,3.448811725093037e-07,1.1028177482330648e-08
1823,2.5793813007712885e-07,1.087095569118901e-08
1824,2.080014889216386e-07,2.5263338088166165e-09
1825,2.3246369362794894e-07,5.283265824829186e-09
1826,1.98179641364149e-07,2.642395191543301e-09
1827,2.1199727545662128e-07,4.608636583469661e-09
1828,1.6601865127086057e-07,2.7516904310687096e-09
1829,1.3974277424111392e-07,2.571952817387313e-09
1830,1.6281463843803579e-07,1.0436835840010872e-09
1831,2.2451337100548585e-07,9.354723218280014e-09
1832,2.0565553371376666e-07,1.3529969367098715e-09
1833,2.3283092964732077e-07,9.266902800675325e-09
1834,2.1936147609480372e-07,1.6802156110884425e-08
1835,2.102538445569735e-07,1.4369867074037757e-08
1836,2.5337227693711384e-07,1.2769424795333606e-08
1837,2.5048406193661776e-07,6.957890930081589e-10
1838,1.956770185884693e-07,1.8936485712828244e-09
1839,1.8527408773838516e-07,1.2584655095793096e-08
1840,2.465069468549075e-07,2.5478754661634184e-09
1841,2.3499206980304166e-07,7.0626033910059505e-09
1842,1.6837745286935046e-07,1.341653010911159e-09
1843,2.72308605886451e-07,1.7130041385371442e-08
1844,1.816713766089606e-07,1.975882035765153e-08
1845,2.310214348710815e-07,2.2320911341466854e-08
1846,2.3418005912212436e-07,4.0981511517657054e-09
1847,2.448523579445805e-07,1.6718992412734224e-08
1848,2.0273959022709676e-07,2.252662056889676e-08
1849,1.458018203948086e-07,2.513824481908955e-09
1850,2.0570657888185906e-07,2.0366988096043315e-09
1851,2.2121575149469663e-07,1.805842941848823e-08
1852,2.500049509635005e-07,6.510545436100301e-10
1853,1.9587936606058065e-07,1.3138249599364826e-08
1854,2.51989728639046e-07,4.1565315633818045e-09
1855,3.5874894521725764e-07,5.837630823180007e-09
1856,2.4746964832900176e-07,6.212626857404757e-09
1857,1.9965372066721443e-07,9.274867096564776e-09
1858,2.1630048152587733e-07,8.808616946964776e-09
1859,2.3373075563881685e-07,1.018434669930457e-09
1860,2.0093836816670319e-07,1.4189270203246451e-08
1861,1.876953561463779e-07,9.903524222920623e-09
1862,2.218331287551223e-07,4.969785055708442e-09
1863,2.497310411797571e-07,5.9935452156878455e-09
1864,3.1213678575170434e-07,1.2466292886870178e-08
1865,2.4051974989447444e-07,2.8241067262513297e-09
1866,2.4182096414193666e-07,3.4059290943133647e-09
1867,3.2174139263929646e-07,6.79393608038481e-09
1868,3.606107963349814e-07,3.951899252285784e-09
1869,2.6224497418070314e-07,1.025539064780645e-08
1870,3.314280263566616e-07,6.880858549607183e-09
1871,2.570324895145859e-07,6.37270636261178e-09
1872,2.9087701491903317e-07,1.3304146229131675e-08
1873,2.9690581726526943e-07,1.6760813348337678e-08
1874,2.8976854693496534e-07,3.1067965977626955e-08
1875,3.684663383296538e-07,1.258735993214799e-08
1876,4.867041951683859e-07,3.02300739996042e-09
1877,2.9996358463790784e-07,1.608052180301911e-08
1878,3.9314468480711184e-07,1.9325083755461492e-08
1879,4.1726692145971356e-07,1.4662380642960215e-08
1880,3.651754560962672e-07,2.5671384129566377e-08
1881,4.288092299020718e-07,1.3945014698535374e-08
1882,5.623800376497456e-07,7.986462158271479e-09
1883,5.579976374292528e-07,8.215140678835553e-09
1884,7.189247916983277e-07,1.5844072720483382e-08
1885,5.343431936921661e-07,1.740321664556177e-08
1886,5.97590766204803e-07,1.936039106809062e-09
1887,5.490825607523675e-07,1.697520346510828e-08
1888,6.73373254045373e-07,1.0779044989916997e-08
1889,6.641044763000536e-07,1.2530273707511697e-08
1890,6.757572421633995e-07,1.5730527991308918e-08
1891,7.272985200756921e-07,2.677172439291553e-08
1892,8.07384399337252e-07,6.8953633913793055e-09
1893,8.917387077644889e-07,4.926733243593162e-09
1894,8.86626551732661e-07,1.386338599473902e-08
1895,8.925605605725195e-07,4.814891374493868e-09
1896,1.0325697559210312e-06,5.897029087265082e-09
1897,1.0447297391635857e-06,1.0488084400961384e-08
1898,1.0603756770422024e-06,8.487532454637403e-09
1899,9.557183062725016e-07,1.1607914629507832e-08
1900,1.077143508609879e-06,9.34389543516545e-09
1901,9.802648186507668e-07,4.470991132876634e-09
1902,1.0051350756157262e-06,9.820567470342212e-09
1903,1.1864283351314953e-06,6.480264325148255e-09
